Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AFG,1,1,3,1,3,3,7,7,6,1,3,5,13,11,5,6,8,9,2,17
AGO,1,2,2,4,2,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
ALB,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
AND,1,1,1,2,4,6,1,6,2,9,2,2,5,1,7,13,1,11,7,12
ARE,1,1,1,2,1,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
ARG,1,2,1,2,5,6,3,6,1,7,2,2,7,1,15,13,1,4,18,6
ARM,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
ATG,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
AUS,1,1,1,2,4,5,6,8,2,3,2,7,9,7,7,7,1,12,11,4
AUT,1,1,1,2,4,5,6,8,2,9,2,7,9,7,7,13,1,12,11,4
AZE,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
BDI,1,1,3,1,3,3,7,7,7,1,3,5,13,11,9,14,8,9,2,17
BEL,1,1,1,2,4,5,6,8,2,9,2,7,9,7,7,13,1,12,11,4
BEN,1,2,2,4,2,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
BFA,1,1,3,1,3,3,7,7,7,1,3,5,13,11,5,6,10,9,2,17
BGD,1,2,2,4,5,2,5,5,1,10,5,6,12,10,4,6,3,10,3,3
BGR,1,1,1,2,1,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
BHR,1,1,1,2,1,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
BHS,1,1,1,2,1,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
BIH,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
BLR,1,1,1,2,1,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
BLZ,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
BOL,1,2,2,4,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
BRA,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
BRB,1,2,1,2,5,6,3,6,1,7,2,2,7,1,15,13,1,4,18,6
BRN,1,1,1,2,4,5,6,8,2,3,6,7,9,7,7,7,14,12,11,4
BTN,1,2,2,4,5,2,5,5,1,10,5,6,12,10,4,6,3,10,3,3
BWA,1,2,2,4,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
CAF,1,1,3,1,3,4,4,7,7,2,8,5,13,11,3,14,9,3,2,17
CAN,1,1,1,2,4,5,6,8,2,9,2,7,9,7,7,13,1,12,11,4
CHE,1,1,1,2,4,5,2,8,2,3,6,7,9,7,11,7,14,12,11,4
CHL,1,2,1,2,5,6,3,6,1,7,2,2,7,1,15,13,1,4,18,6
CHN,1,2,2,3,5,1,3,1,1,7,7,12,7,5,15,15,17,4,18,6
CIV,1,1,2,4,3,2,7,5,6,2,5,6,13,10,5,6,3,9,2,17
CMR,1,2,2,4,2,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
COD,1,2,2,4,2,2,7,5,5,10,5,6,12,10,5,6,3,10,3,3
COG,1,2,2,4,2,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
COL,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
COM,1,2,2,4,2,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
CPV,1,2,2,4,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
CRI,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
CUB,1,2,2,3,5,1,3,1,1,7,7,12,7,5,15,13,17,4,18,6
CYP,1,1,1,2,1,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
CZE,1,1,1,2,4,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
DEU,1,1,1,2,4,5,6,8,2,3,6,7,9,7,7,7,14,12,11,4
DJI,1,2,2,4,2,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
DMA,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
DNK,1,1,1,2,4,5,6,8,2,3,6,7,9,7,7,7,14,12,11,4
DOM,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
DZA,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
ECU,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
EGY,1,2,2,4,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
ERI,1,2,2,4,2,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
ESP,1,1,1,2,4,6,1,6,2,9,2,2,5,1,7,13,1,11,7,12
EST,1,1,1,2,1,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
ETH,1,1,3,1,3,3,7,7,7,1,3,5,13,11,9,14,5,9,2,17
FIN,1,1,1,2,4,5,6,8,2,3,2,7,9,7,7,7,1,12,11,4
FJI,1,2,2,4,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
FRA,1,1,1,2,4,6,1,6,2,9,2,2,5,1,7,13,1,11,7,12
FSM,1,2,2,4,5,2,5,5,1,10,5,6,12,10,4,6,3,10,3,3
GAB,1,2,2,4,5,1,3,1,1,7,5,12,7,5,4,4,17,4,18,6
GBR,1,1,1,2,4,5,1,6,2,9,2,2,5,1,7,13,1,11,7,12
GEO,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
GHA,1,2,2,4,5,2,5,5,1,10,5,6,12,10,4,6,3,10,3,3
GIN,1,1,2,4,3,2,7,5,6,2,5,6,13,10,5,6,3,9,2,17
GMB,1,2,2,4,2,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
GNB,1,2,2,4,2,2,7,5,5,10,5,6,12,10,5,6,3,10,3,3
GNQ,1,2,2,4,2,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
GRC,1,1,1,2,1,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
GRD,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
GTM,1,2,2,4,5,2,5,5,1,10,5,6,12,10,4,6,3,10,3,3
GUY,1,2,2,4,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
HKG,1,1,1,2,4,5,6,8,2,3,6,7,9,7,11,7,14,12,11,4
HND,1,2,2,4,5,2,5,5,1,10,5,6,12,10,4,6,3,10,3,3
HRV,1,1,1,2,1,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
HTI,1,2,2,4,2,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
HUN,1,1,1,2,1,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
IDN,1,2,2,4,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
IND,1,2,2,4,2,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
IRL,1,1,1,2,4,6,1,6,2,9,2,2,5,1,7,13,1,11,7,12
IRN,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
IRQ,1,2,2,4,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
ISL,1,1,1,2,4,5,6,8,2,3,2,7,9,7,7,7,1,12,11,4
ISR,1,1,1,2,4,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
ITA,1,1,1,2,4,6,1,6,2,9,2,2,5,1,7,13,1,11,7,12
JAM,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
JOR,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
JPN,1,1,1,2,4,6,1,6,2,9,2,2,5,1,7,13,1,11,7,12
KAZ,1,2,1,2,5,6,3,6,1,7,2,2,7,1,15,13,1,4,18,6
KEN,1,2,2,4,5,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
KGZ,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
KHM,1,2,2,4,2,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
KIR,1,2,2,4,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
KNA,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
KOR,1,1,1,2,1,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
KWT,1,1,1,2,4,5,6,8,2,3,6,7,9,7,11,7,14,12,11,4
LAO,1,2,2,4,5,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
LBN,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
LBR,1,2,2,4,2,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
LBY,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
LCA,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
LIE,1,1,1,2,4,5,2,8,2,4,6,4,1,7,1,10,2,7,12,4
LKA,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
LSO,1,2,2,4,2,2,7,5,5,10,5,6,12,10,5,6,3,10,3,3
LTU,1,1,1,2,1,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
LUX,1,1,1,2,4,5,2,8,2,3,6,7,9,7,1,10,2,12,11,4
LVA,1,1,1,2,1,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
MAR,1,2,2,4,5,1,3,1,1,10,5,12,7,5,4,4,3,4,18,6
MCO,1,1,1,2,1,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
MDA,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
MDG,1,2,2,4,2,2,5,5,5,10,5,6,12,10,5,6,3,10,3,3
MDV,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
MEX,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
MHL,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
MKD,1,2,2,3,5,1,3,1,1,7,7,12,7,5,8,4,17,4,18,6
MLI,1,1,3,1,3,3,7,7,7,1,3,5,13,11,5,6,13,9,2,17
MLT,1,1,1,2,1,6,1,6,8,9,2,2,5,1,15,13,1,11,7,12
MMR,1,2,2,4,5,2,5,5,1,10,5,6,12,10,4,6,3,10,3,3
