Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AFG,1,1,3,2,2,2,2,8,9,2,5,2,3,10,14,8,12,12,14,15
AGO,1,1,3,2,2,2,2,7,3,2,10,2,3,10,3,8,12,6,1,4
ALB,1,2,1,1,4,1,6,4,5,9,8,8,8,2,15,11,6,16,8,13
AND,1,2,1,3,1,1,6,5,1,9,6,8,8,2,5,11,6,1,12,3
ARE,1,2,1,3,1,1,6,5,1,9,6,8,8,2,5,11,6,1,12,3
ARG,1,2,1,1,4,1,6,5,5,9,6,8,8,2,5,11,6,16,8,3
ARM,1,2,1,1,4,1,6,4,5,9,8,8,8,2,15,11,6,16,8,13
ATG,1,2,1,1,4,5,3,4,5,1,8,3,9,3,15,1,8,16,8,13
AUS,1,2,1,3,1,1,6,5,1,9,9,8,7,2,5,6,6,13,12,3
AUT,1,2,1,3,1,1,6,5,1,9,6,8,8,2,5,6,6,1,12,3
AZE,1,2,1,1,4,5,6,4,5,1,8,3,9,3,15,1,8,16,8,13
BDI,1,1,3,2,2,2,2,8,9,5,5,2,3,10,14,8,12,12,14,15
BEL,1,2,1,3,1,1,6,5,1,9,6,8,8,2,5,11,6,1,12,3
BEN,1,1,3,2,2,2,2,7,3,2,10,2,3,10,3,8,12,6,14,4
BFA,1,1,3,2,2,2,2,8,9,2,5,2,3,10,14,8,12,12,14,15
BGD,1,1,3,4,5,2,2,7,3,2,10,2,3,10,3,8,12,6,1,4
BGR,1,2,1,1,4,1,6,5,1,9,6,8,8,2,5,11,6,1,12,3
BHR,1,2,1,1,4,1,6,5,1,9,6,8,8,2,5,11,6,1,8,3
BHS,1,2,1,1,4,1,6,5,1,9,6,8,8,2,5,11,6,1,8,3
BIH,1,2,1,1,4,1,6,4,5,9,8,8,8,2,15,11,6,16,8,13
BLR,1,2,1,1,4,1,6,5,1,9,6,8,8,2,5,11,6,1,12,3
BLZ,1,2,1,1,4,5,3,4,5,1,8,3,9,3,15,1,8,16,8,13
BOL,1,1,3,4,5,5,2,7,5,2,8,3,9,3,15,1,8,16,1,4
BRA,1,2,1,1,4,5,3,4,5,1,8,3,9,3,15,1,8,16,8,13
BRB,1,2,1,1,4,1,6,4,5,9,8,8,8,2,15,11,6,16,8,13
BRN,1,2,1,3,1,1,6,5,8,9,9,11,8,4,6,6,17,13,12,3
BTN,1,1,3,4,5,2,2,7,3,2,10,2,3,10,3,8,12,6,1,4
BWA,1,1,2,4,5,5,3,4,5,1,8,3,9,3,15,1,8,16,8,13
CAF,1,1,3,2,2,3,7,8,9,5,5,7,13,5,14,13,10,10,14,15
CAN,1,2,1,3,1,1,6,5,1,9,6,8,8,2,5,6,6,1,12,3
CHE,1,2,1,3,1,4,6,5,8,9,9,11,7,7,6,6,17,13,12,3
CHL,1,2,1,1,4,1,6,5,1,9,6,8,8,2,5,11,6,1,8,3
CHN,1,1,2,4,5,6,4,3,2,10,2,1,2,6,12,13,13,8,8,1
CIV,1,1,3,2,2,2,2,8,9,5,5,2,3,10,14,8,12,12,14,15
CMR,1,1,3,2,2,2,2,7,3,2,10,2,3,10,3,8,12,6,1,4
COD,1,1,3,2,2,2,2,8,9,2,5,2,3,10,14,8,12,12,14,15
