Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AFG,1,2,3,2,3,3,7,6,9,2,1,2,12,8,12,7,13,13,5,9
AGO,1,2,3,2,3,3,3,3,9,1,9,8,12,2,15,7,13,13,15,9
ALB,1,1,2,1,2,1,5,4,6,10,10,3,13,5,11,11,16,10,19,4
AND,1,2,2,1,5,1,1,5,1,9,5,5,8,11,2,13,14,12,10,18
ARE,1,2,2,1,5,4,1,5,1,9,5,5,8,11,2,5,14,3,3,18
ARG,1,1,2,1,2,1,5,4,6,10,10,3,13,5,11,13,16,12,19,4
ARM,1,1,2,1,2,1,5,4,6,10,10,3,13,5,11,11,16,10,19,4
ATG,1,1,2,1,2,1,5,4,6,10,10,3,13,5,11,11,16,10,19,4
AUS,1,2,2,1,5,4,1,5,1,9,5,5,8,11,2,5,14,3,3,18
AUT,1,2,2,1,5,1,1,5,1,9,5,5,8,11,2,13,14,12,10,18
AZE,1,1,2,1,2,2,5,4,4,10,10,3,1,5,11,11,6,10,19,17
BDI,1,2,3,2,1,3,7,6,9,2,1,2,12,8,12,15,13,8,5,9
BEL,1,2,2,1,5,1,1,5,1,9,5,5,8,11,2,13,14,12,10,18
BEN,1,2,3,2,3,3,7,6,9,1,9,8,12,2,15,7,13,13,15,9
BFA,1,2,3,2,1,3,7,6,9,2,1,2,12,8,12,15,13,8,5,9
BGD,1,1,3,2,4,3,3,3,4,1,9,8,1,2,15,7,6,13,15,17
BGR,1,1,2,1,2,1,1,4,6,9,5,5,13,11,2,13,16,12,10,4
BHR,1,1,2,1,2,1,1,5,6,9,5,5,13,11,2,13,16,12,10,4
BHS,1,1,2,1,2,1,5,4,6,10,10,3,13,5,11,13,16,12,19,4
BIH,1,1,2,1,2,1,5,4,6,10,10,3,13,5,11,11,16,12,19,4
BLR,1,1,2,1,2,1,1,4,6,9,5,5,13,11,2,13,16,12,10,4
BLZ,1,1,2,1,2,2,5,4,4,10,10,3,1,5,11,11,6,10,19,17
BOL,1,1,3,1,4,2,5,4,4,10,10,3,1,5,11,11,6,10,19,17
BRA,1,1,2,1,2,1,5,4,6,10,10,3,13,5,11,11,16,10,19,4
BRB,1,1,2,1,2,1,5,4,6,10,10,3,13,5,11,13,16,12,19,4
BRN,1,2,2,1,5,1,1,5,1,9,5,5,8,11,2,13,14,12,10,18
BTN,1,1,3,2,4,3,3,3,4,1,9,8,1,2,15,7,6,13,15,17
BWA,1,1,3,1,4,2,5,4,4,10,10,3,1,5,11,11,6,10,19,17
CAF,1,2,1,2,1,5,7,6,5,2,1,2,3,8,12,15,15,8,5,10
CAN,1,2,2,1,5,1,1,5,1,9,5,5,8,11,2,13,14,12,10,18
CHE,1,2,2,4,5,4,4,8,1,3,4,7,8,3,1,5,14,3,9,18
CHL,1,1,2,1,2,1,5,4,6,10,10,3,13,5,2,13,16,12,10,4
CHN,1,2,2,1,3,1,1,1,1,9,5,9,4,11,2,13,7,12,3,3
CIV,1,2,3,2,3,3,7,6,9,2,1,2,12,8,12,6,13,13,5,9
CMR,1,2,3,2,3,3,3,3,9,1,9,8,12,2,15,7,13,13,15,9
COD,1,2,3,2,3,3,7,6,9,2,1,2,12,8,12,7,13,13,5,9
COG,1,1,3,2,4,3,3,3,4,1,9,8,1,2,15,7,6,13,15,17
COL,1,1,2,1,2,2,5,4,4,10,10,3,1,5,11,11,6,10,19,17
COM,1,2,3,2,3,3,3,6,9,1,9,8,12,2,15,7,13,13,15,9
CPV,1,1,3,2,4,2,3,3,4,1,9,8,1,2,15,11,6,10,19,17
CRI,1,1,2,1,2,1,5,4,6,10,10,3,13,5,11,11,16,10,19,4
CUB,1,1,2,1,2,1,1,5,6,9,5,5,13,11,2,13,16,12,10,4
CYP,1,1,2,1,2,1,1,5,6,9,5,5,13,11,2,13,16,12,10,4
CZE,1,2,2,1,5,1,1,5,1,9,5,5,8,11,2,13,14,12,10,18
DEU,1,2,2,1,5,4,1,5,1,9,5,5,8,11,2,5,14,3,3,18
DJI,1,2,3,2,3,3,7,6,9,2,1,8,12,8,15,7,13,13,15,9
DMA,1,1,2,1,2,2,5,4,4,10,10,3,1,5,11,11,6,10,19,17
DNK,1,2,2,1,5,4,1,5,1,9,5,5,8,11,2,5,14,3,3,18
DOM,1,1,2,1,2,2,5,4,4,10,10,3,1,5,11,11,6,10,19,17
DZA,1,1,3,1,4,2,5,4,4,10,10,3,1,5,11,11,6,10,19,17
ECU,1,1,2,1,2,2,5,4,4,10,10,3,1,5,11,11,6,10,19,17
EGY,1,1,3,2,4,2,3,3,4,1,9,8,1,2,15,11,6,10,15,17
ERI,1,2,3,2,3,3,7,6,9,2,1,2,12,8,12,6,13,13,5,9
ESP,1,2,2,1,5,1,1,5,1,9,5,5,8,11,2,13,14,12,10,18
