"Sex ratio at birth (male to female births)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2015","","2016","","2017",""
"168"," Afghanistan","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"68"," Albania","1.07","","1.07","","1.08","","1.08","","1.08","","1.08","","1.08","","1.08"," a,b"
"85"," Algeria","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"147"," Angola","1.02","","1.02","","1.02","","1.02","","1.02","","1.03","","1.03","","1.03"," a,b"
"70"," Antigua and Barbuda","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"47"," Argentina","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a,b"
"83"," Armenia","1.06","","1.08","","1.15","","1.17","","1.15","","1.14","","1.13","","1.13"," a,b"
"3"," Australia","1.05","","1.06","","1.05","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"20"," Austria","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"80"," Azerbaijan","1.06","","1.08","","1.13","","1.17","","1.17","","1.16","","1.13","","1.13"," a,b"
"54"," Bahamas","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"43"," Bahrain","1.05","","1.05","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a,b"
"136"," Bangladesh","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"58"," Barbados","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a,b"
"53"," Belarus","1.06","","1.07","","1.07","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"17"," Belgium","1.06","","1.05","","1.04","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"106"," Belize","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"163"," Benin","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a,b"
"134"," Bhutan","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a,b"
