Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AFG,1,2,1,3,5,3,6,6,8,10,8,6,3,3,14,5,7,2,1,3
AGO,1,2,1,3,5,2,1,3,7,10,6,8,3,9,7,4,5,6,4,16
ALB,1,1,3,2,2,5,3,2,3,8,7,11,10,6,4,12,11,13,12,6
AND,1,1,2,1,4,6,4,1,2,4,1,5,8,7,8,2,10,11,2,18
ARE,1,1,2,1,4,6,2,8,4,6,10,3,11,14,6,16,8,15,16,11
ARG,1,1,3,4,1,4,7,7,9,5,4,7,4,8,2,13,17,8,5,8
ARM,1,1,3,2,2,5,3,2,3,8,7,11,10,6,4,12,11,13,12,6
ATG,1,1,3,2,2,5,3,2,3,8,7,11,10,6,4,12,11,13,12,6
AUS,1,1,2,1,4,6,4,1,2,4,1,5,8,7,8,2,10,11,2,18
AUT,1,1,2,1,4,6,4,1,2,4,1,5,8,7,8,2,10,11,2,18
AZE,1,1,3,2,2,5,3,2,3,8,7,11,10,6,4,12,11,13,12,6
BDI,1,2,1,3,5,3,6,6,8,9,8,6,2,3,14,5,7,2,1,3
BEL,1,1,2,1,4,6,4,1,2,4,1,5,8,7,8,2,10,11,2,18
BEN,1,2,1,3,5,3,6,6,8,10,8,6,3,3,14,5,7,2,1,3
BFA,1,2,1,3,5,3,6,6,8,9,8,6,2,3,14,5,7,2,1,3
BGD,1,2,1,3,3,2,1,3,7,2,6,8,13,9,7,4,5,6,4,16
BGR,1,1,3,4,1,4,7,7,9,5,4,7,4,8,2,13,17,8,5,8
BHR,1,1,2,4,1,4,7,7,9,5,4,7,4,8,2,13,17,8,5,8
BHS,1,1,3,4,1,4,7,7,9,5,4,7,4,8,2,13,17,8,5,8
BIH,1,1,3,2,2,5,3,2,3,8,7,11,10,6,4,12,11,13,12,6
BLR,1,1,2,4,1,4,7,7,9,5,4,7,4,8,2,13,17,8,5,8
BLZ,1,1,3,2,2,5,3,2,3,8,7,1,10,12,10,12,11,10,8,14
BOL,1,2,3,2,3,1,5,5,5,7,2,9,6,1,9,10,4,3,15,1
BRA,1,1,3,2,2,5,3,2,3,8,7,1,10,12,4,12,11,10,8,6
BRB,1,1,3,4,1,4,7,7,9,5,4,7,4,8,2,13,17,8,5,8
BRN,1,1,2,1,4,6,2,8,4,6,10,3,11,14,6,16,8,15,16,11
BTN,1,2,1,3,3,2,1,3,7,2,6,8,13,9,7,4,5,6,4,16
BWA,1,1,3,2,3,1,5,5,5,7,9,9,6,10,1,9,15,18,3,9
CAF,1,2,1,3,5,3,6,6,8,9,8,6,2,3,14,5,7,2,1,3
CAN,1,1,2,1,4,6,4,1,2,4,1,5,8,7,8,2,10,11,2,18
CHE,1,1,2,1,4,6,2,1,2,4,1,5,8,7,8,2,10,11,2,18
CHL,1,1,3,4,1,4,7,7,9,5,4,7,4,8,2,13,17,8,5,8
CHN,1,1,3,2,3,1,5,8,5,7,9,1,6,10,1,9,15,18,3,9
CIV,1,2,1,3,5,3,6,6,8,9,8,6,2,3,14,5,7,2,1,3
CMR,1,2,1,3,5,3,6,6,7,10,6,8,3,9,14,4,5,2,4,16
COD,1,2,1,3,5,3,6,6,8,10,8,6,2,3,14,5,7,2,1,3
COG,1,2,1,3,5,2,1,3,7,2,6,8,13,9,7,4,5,6,4,16
COL,1,1,3,2,2,5,3,2,3,8,7,1,10,12,10,12,11,10,8,14
COM,1,2,1,3,5,2,1,3,7,10,6,8,3,9,7,4,5,6,4,16
CPV,1,1,3,2,3,1,5,5,5,7,2,9,6,1,9,10,4,3,15,1
CRI,1,1,3,2,2,5,3,2,3,8,7,11,10,6,4,12,11,13,12,6
CUB,1,1,3,4,1,4,7,7,9,5,4,7,4,8,2,13,17,8,5,8
CYP,1,1,2,4,1,4,4,1,2,4,1,5,8,7,8,2,10,11,2,18
CZE,1,1,2,4,1,4,4,1,2,4,1,5,8,7,8,2,10,11,2,18
DEU,1,1,2,1,4,6,4,1,2,4,1,5,8,7,8,2,10,11,2,18
