Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AFG,1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
AGO,1,1,3,2,3,5,5,6,7,8,4,2,12,4,2,12,4,1,19,20
ALB,1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
AND,1,2,2,1,2,1,7,3,8,2,7,9,7,10,8,9,7,16,1,8
ARE,1,2,2,1,2,1,1,5,3,3,5,5,10,8,1,6,16,18,16,9
ARG,1,2,1,3,1,3,2,3,4,10,10,4,13,14,11,14,15,7,4,13
ARM,1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
ATG,1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
AUS,1,2,2,1,2,1,7,8,8,4,3,9,4,10,8,9,3,16,9,9
AUT,1,2,2,1,2,1,7,8,8,4,3,9,4,10,8,9,3,16,9,9
AZE,1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
BDI,1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
BEL,1,2,2,1,2,1,7,8,8,4,3,9,4,10,8,9,3,16,9,9
BEN,1,1,3,2,3,5,5,6,7,8,4,2,6,4,2,12,4,1,19,20
BFA,1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
BGD,1,1,3,2,3,5,5,1,1,7,9,10,12,2,15,8,9,8,19,10
BGR,1,2,1,3,1,3,2,3,4,10,10,4,13,14,11,14,15,7,4,13
BHR,1,2,2,1,1,3,2,3,4,10,10,4,13,14,11,14,15,7,4,13
BHS,1,2,2,3,1,3,2,3,4,10,10,4,13,14,11,14,15,7,4,13
BIH,1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,6,11,17,11
BLR,1,2,2,3,1,3,2,3,4,10,10,4,13,14,11,14,15,7,4,13
BLZ,1,2,1,4,4,4,6,4,9,5,2,3,5,11,5,5,6,11,14,11
BOL,1,1,1,4,5,2,3,7,2,6,8,6,8,9,12,15,5,9,2,7
BRA,1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,6,11,17,11
