Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AFG,1,1,1,3,2,6,6,1,9,4,5,7,8,10,8,3,4,4,9,12
AGO,1,1,1,3,2,6,6,1,9,4,5,7,8,10,8,3,4,4,9,12
ALB,1,2,2,2,3,4,1,7,4,3,4,11,10,5,10,5,3,17,14,20
AND,1,2,3,1,4,3,3,4,6,9,3,8,13,3,3,14,16,1,3,15
ARE,1,2,3,1,4,5,7,8,2,7,1,9,3,9,9,11,8,5,13,7
ARG,1,2,2,2,1,4,1,7,4,3,4,11,10,5,10,12,3,17,14,20
ARM,1,2,2,2,3,4,1,7,1,3,2,4,1,5,15,5,13,17,14,20
ATG,1,2,2,2,3,4,1,7,4,3,4,11,10,5,10,5,3,17,14,20
AUS,1,2,3,1,4,5,4,6,7,8,6,6,12,8,11,14,12,5,13,9
AUT,1,2,3,1,4,5,4,6,7,8,6,6,12,8,11,14,12,5,13,9
AZE,1,2,2,2,3,4,1,7,1,2,2,4,1,11,15,5,13,17,14,5
BDI,1,1,1,3,2,6,6,1,9,4,5,7,5,10,8,3,4,4,9,13
BEL,1,2,3,1,4,5,4,6,7,8,6,6,12,8,11,14,12,5,13,9
BEN,1,1,1,3,2,6,6,1,9,4,5,7,8,10,8,3,4,4,9,12
BFA,1,1,1,3,2,6,6,1,9,4,5,7,5,10,8,3,4,4,9,12
BGD,1,1,1,3,5,2,2,3,3,10,9,10,2,4,13,13,6,10,11,8
BGR,1,2,2,2,1,4,1,7,4,3,4,11,10,5,10,12,3,17,14,20
BHR,1,2,3,2,1,3,3,4,6,9,3,8,13,3,3,12,16,1,3,15
BHS,1,2,2,2,1,4,1,7,4,3,4,11,10,5,10,12,3,17,14,20
BIH,1,2,2,2,3,4,1,7,1,2,4,4,10,5,10,5,3,17,14,20
BLR,1,2,2,2,1,4,1,7,4,3,4,11,13,5,10,12,3,17,14,20
BLZ,1,2,2,4,3,1,5,2,1,2,2,4,1,11,15,7,15,12,8,5
BOL,1,2,2,4,5,1,5,2,8,6,8,12,6,14,12,7,15,12,8,10
BRA,1,2,2,4,3,1,5,2,1,2,2,4,1,11,15,5,13,12,8,5
BRB,1,2,2,2,1,4,1,7,4,3,4,11,10,5,10,12,3,17,14,20
BRN,1,2,3,1,4,5,7,8,2,7,1,9,3,9,9,11,8,5,13,7
