Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016
AFG,,,-0.10774545489127954,,,,,,,,
ALB,-0.24958518834081359,,-0.23855320907251648,,,,,,,,
DZA,-0.07097219066362256,,,,,,0.08084885736198982,,,,
AGO,,,-0.2684971528007514,-0.2679718204546421,,,,,,,
ATG,-0.2532625147635793,,,-0.2191159122664692,,,-0.22594523276589124,,,,
ARG,,-0.2532625147635793,,,,-0.24800919130248544,,,,,
ARM,,-0.0730735200480601,,,,,-0.07149752300973196,,,-0.049433564473137764,
AUS,,,,-0.2506358530330324,,,-0.254313179455798,,,-0.2527371824174699,
AUT,-0.2448571972258291,,,,-0.24695852661026665,,,,,,
AZE,,,,-0.08568149635468535,,,-0.08935882277745105,,,,
BHR,0.5757119273970308,,,,,,,,,,
BRB,,,,0.18906732066052315,,,,,,,
BLR,,-0.2527371824174699,-0.25378784710968866,-0.2553638441480168,-0.2564145088402356,,,-0.25693984118634494,,,
BLZ,,,-0.2679718204546421,,,,,,,,
BIH,,,,-0.26587049107020455,,,-0.26587049107020455,-0.26587049107020455,,,
BWA,,-0.2642944940318763,-0.2621931646474388,,,,,,,,
BRA,,,,,-0.26587049107020455,,,,,,
BGR,-0.08568149635468535,,,,,,-0.12980941342787372,,,-0.13191074281231127,
BFA,,,,-0.23855320907251648,,,,,,,
BDI,,,-0.25851583822467317,,,,,,,,
CMR,,,-0.26902248514686083,,,,,,,,
CAF,,,-0.270598482185189,-0.2700731498390796,,,,,,,
TCD,,,,-0.2606171676091107,,,,,,,
CHN,-0.17813998926993715,,-0.16868400703996825,,,,-0.15975335715610867,,,-0.16080402184832746,
COL,,,-0.26902248514686083,,,,,,,,
COD,,,-0.270598482185189,-0.2700731498390796,,,,,,,
CRI,,,,,,,,-0.2595665029168919,,,
HRV,,,,,,,-0.26744648810853267,-0.26744648810853267,,,
CUB,,-0.19862795076820322,,,,,,-0.17446266284717146,,,
CYP,-0.12035343119790479,,,,,,-0.13558806923507696,-0.12140409589012356,,,
CZE,,,,,,,-0.19705195372987505,-0.20440660657540644,,,
CIV,-0.263769161685767,,-0.2616678323013294,-0.26114249995522004,,,,,,,
DNK,-0.16132935419443684,,,,,,-0.21491325349759413,,,,
DJI,,,-0.23750254438029772,,,,,,,,
DMA,,,-0.22699589745811,,-0.21806524757425044,,,,,,
DOM,,,-0.16185468654054624,-0.1487213778878116,-0.11089744896793587,,,,,,
ECU,,,-0.2595665029168919,-0.2590411705707825,,,,,,,
EGY,,0.2578858580008526,0.24317655230978982,,0.3944722679892928,,,,,,
SLV,,,-0.24328120018750093,-0.22804656215032876,,,,,,,
GNQ,,,-0.2700731498390796,,,,,,,,
ERI,,,-0.240654538456954,,,,,,,,
EST,,-0.21491325349759413,,,,,-0.20388127422929708,,-0.20020394780653136,,
SWZ,,,-0.14924671023392097,,,,,,,,
ETH,,,,-0.23697721203418834,,,,,,,-0.22541990041978185
FJI,,,-0.26902248514686083,-0.26902248514686083,,,,,,,
FIN,-0.2595665029168919,-0.25799050587856376,,,,,,,,,
FRA,,,,,,,-0.19652662138376564,,,,
GAB,,,-0.2700731498390796,-0.2700731498390796,,,,,,,
GMB,,,-0.26481982637798573,,,,,,,,
GEO,,,,-0.2553638441480168,,,,,,,
DEU,,-0.11615077242902971,,,-0.15817736011778052,,,,,,
GHA,,,-0.2616678323013294,,,,,,,,
GRD,,,,-0.24433186487971972,,,,,-0.23382521795753203,,
GNB,,,-0.26744648810853267,,,,,,,,
GUY,,,-0.26744648810853267,,-0.2679718204546421,,,,,,
HTI,,-0.22226790634312557,,,,,,,,,
HUN,,,,,,,-0.2448571972258291,,,,
ISL,,,,,,,-0.2595665029168919,,,-0.2695478174929702,
IND,-0.13296140750453003,,-0.10301746377629507,,-0.09251081685410738,,,,,,
IDN,-0.2511611853791417,,-0.2411798708030634,,,,,,,,
IRN,,-0.0032043180155118707,,,,,,,,,
IRQ,-0.02054028543712157,0.04722758721098912,0.11499545985909986,,,,,,,,
ISR,0.19694730585216394,0.18171266781499174,,,,,,,,,
ITA,,,-0.14662004850337404,,,,,,,,
JOR,,,,,,,0.20535262338991409,,,0.34824302153166686,
KAZ,,-0.1093214519296077,,,-0.1739373305010621,,,,,,
KEN,-0.23540121499586017,,,,-0.21543858584370354,,,,,,
PRK,,,,-0.21176125942093785,,,,,,,
KOR,-0.11562544008292032,,,-0.051534893857575294,,,,,,,
KGZ,,,-0.046281570396481446,,,,,,,,
LAO,,,,-0.26534515872409514,,,,,,,
LVA,,-0.2642944940318763,,,,,-0.26692115576242326,-0.26692115576242326,,,
LBN,,-0.11667610477513908,-0.1229800929284517,-0.14294272208060835,,,,,,,
LSO,,,-0.2632438293396576,,,,,,,,
LBR,,,-0.2700731498390796,,,,,,,,
LBY,3.301661471358631,,2.9622967757719683,3.3484160501623665,,,4.052361393948942,,,,
LTU,,-0.1776146569238278,,,,-0.25693984118634494,,,,,
LUX,,-0.2621931646474388,,,,,-0.263769161685767,-0.2642944940318763,,,
MDG,,,-0.24958518834081359,,,,,,,,
MWI,,,,-0.22909722684254755,,,,,,,
MYS,-0.2616678323013294,,-0.2621931646474388,-0.2606171676091107,,,,,,,
MLT,,0.036195607942692026,,,,,-0.09356148154632613,-0.03735092051262191,,,
MRT,,,-0.19705195372987505,-0.2086092653442815,,,,,,,
MUS,-0.1623800188866556,-0.1529240366566867,-0.15397470134890545,,,,,,,,
MEX,,,,,,,-0.1776146569238278,,,-0.17288666580884332,
MAR,,-0.0667695318947475,,,-0.08305483462413842,,,,,,
