Country,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,0.13454335926246036,0.14203399596658023,0.16796312301930277,0.15125324114088157,0.13627196773264189,0.15730337078651682,0.14347450302506481,0.1647940074906367,0.1633535004321521,0.15355805243445692,0.15413425525785077,0.15442235666954765,0.15326995102275998,0.19245174301354073,0.1284932296168251,0.1486603284356093,0.1065975223278594,0.15125324114088157,0.16392970325554593,0.15269374819936618,0.13771247479112647,0.1668107173725151,0.17804667242869487,0.1933160472486315,0.13569576490924803,0.16306539902045517,0.12964563526361278,0.14289830020167096,0.14405070584845864,0.1633535004321521,0.18870642466148083,0.16277729760875828,0.18352059925093633,0.16392970325554593,0.17314894842984727,0.15701526937481994,0.15240564678766924,0.14088159031979255,0.15730337078651682,0.15067703831748774,0.13598386632094495,0.1714203399596658,0.17084413713627195,0.146355517142034,0.156727167963123,0.11091904350331316,0.11725727456064533,0.1284932296168251,0.14433880726015555,0.11956208585422068,0.16076058772687984,0.1282051282051282,0.16392970325554593,0.15845577643330452,0.12532411408815902,0.15125324114088157,0.201959089599539,0.14750792278882163,0.17286084701815038,0.1466436185537309,0.15269374819936618,0.13886488043791412,0.16248919619706134,0.14952463267070007,0.1647940074906367,0.16594641313742434,0.1832324978392394,0.17718236819360414,0.19590895995390376,0.12762892538173434,0.10400460962258713,0.201959089599539,0.1316623451454912,0.14261019878997405,0.1751656583117257,0.16623451454912128,0.15240564678766924,0.15067703831748774,0.16392970325554593,0.1864016133679055,0.177758571016998,0.19101123595505615,0.15298184961106306,0.13742437337942953,0.11840968020743299,0.1751656583117257,0.156727167963123,0.15586286372803224,0.18063958513396716,0.16220109478536443,0.19302794583693458,0.1918755401901469,0.15298184961106306,0.1714203399596658,0.17228464419475653,0.15759147219821376,0.1864016133679055,0.1688274272543935,0.16047248631518293,0.1385767790262172,0.10285220397579946,0.1598962834917891,0.1702679343128781,0.15269374819936618,0.16104868913857676,0.1647940074906367,0.14289830020167096,0.15413425525785077,0.18438490348602707,0.14261019878997405,0.16392970325554593,0.16450590607893975,0.1486603284356093,0.16191299337366752,0.17718236819360414,0.15615096513972918
ALB,0.4010371650821089,0.3676174013252665,0.3497551138000576,0.36387208297320656,0.3569576490924805,0.3817343704984154,0.3494670123883607,0.3146067415730337,0.3921060213195045,0.36300777873811574,0.35724575050417745,0.3563814462690867,0.3635839815615096,0.38519158743877846,0.4569288389513109,0.3707865168539326,0.32382598674733504,0.3595505617977528,0.40017286084701814,0.3330452319216364,0.30769230769230765,0.32584269662921345,0.3921060213195045,0.3673292999135695,0.3500432152117545,0.34197637568424083,0.35609334485738975,0.3434168827427254,0.3509075194468453,0.3849034860270816,0.3730913281475079,0.3151829443964275,0.38922500720253533,0.35926246038605586,0.3503313166234514,0.38980121002592916,0.4379141457793143,0.34197637568424083,0.4160184384903486,0.400749063670412,0.3465859982713915,0.36531259003169114,0.34197637568424083,0.3915298184961106,0.3186401613367905,0.29962546816479396,0.3480265053298761,0.30798040910400454,0.36905790838375113,0.35119562085854217,0.3823105733218093,0.3316047248631518,0.32757130509939497,0.3745318352059925,0.38519158743877846,0.37395563238259866,0.3488908095649668,0.3730913281475079,0.3854796888504754,0.3915298184961106,0.32757130509939497,0.3635839815615096,0.3935465283779891,0.3583981561509651,0.3212330740420628,0.3719389225007203,0.3431287813310285,0.37798905214635553,0.3857677902621723,0.3578219533275713,0.3500432152117545,0.3808700662633247,0.37395563238259866,0.3840391817919908,0.3249783923941227,0.4059348890809565,0.32382598674733504,0.3730913281475079,0.40910400460962254,0.38836070296744457,0.34745030250648223,0.36156727167963115,0.3431287813310285,0.3451454912129069,0.3120138288677614,0.36416018438490344,0.3837510803802939,0.32382598674733504,0.3235378853356381,0.2984730625180063,0.3650244886199942,0.31892826274848746,0.32180927686545663,0.34860270815326994,0.39988475943532126,0.4307116104868914,0.32757130509939497,0.33794295592048396,0.39613944108326127,0.28089887640449435,0.3267070008643042,0.36387208297320656,0.36012676462114657,0.4021895707288966,0.383462978968597,0.37251512532411407,0.3497551138000576,0.3465859982713915,0.4171708441371363,0.4376260443676174,0.31835205992509363,0.35061941803514834,0.3805819648516278,0.435609334485739,0.3480265053298761,0.3820224719101124
DZA,0.07173725151253241,0.06482281763180639,0.05473926822241429,0.07404206280610774,0.05646787669259579,0.06251800633823106,0.0515701526937482,0.06136560069144339,0.0532987611639297,0.042927110342840684,0.05589167386920196,0.056755978104292705,0.0449438202247191,0.0515701526937482,0.05473926822241429,0.05128205128205128,0.049553442811869776,0.05416306539902045,0.04407951598962835,0.04119850187265917,0.04753673292999135,0.04868913857677903,0.058772687986171135,0.04523192163641601,0.05099394987035436,0.03313166234514549,0.050417747046960525,0.05733218092768655,0.052722558340535866,0.050417747046960525,0.042927110342840684,0.059060789397868046,0.06107749927974646,0.05531547104580812,0.05185825410544511,0.0466724286949006,0.03831748775569,0.0532987611639297,0.05589167386920196,0.04782483434168828,0.05762028233938346,0.049553442811869776,0.06914433880726015,0.04062229904926534,0.04062229904926534,0.04465571881302218,0.038605589167386926,0.04897723998847594,0.05473926822241429,0.05531547104580812,0.06597522327859406,0.05445116681071738,0.07202535292422932,0.05646787669259579,0.059060789397868046,0.052722558340535866,0.073177758571017,0.05819648516277729,0.05012964563526361,0.05243445692883895,0.04119850187265917,0.06222990492653414,0.059348890809564965,0.052146355517142036,0.05128205128205128,0.04753673292999135,0.05070584845865745,0.04811293575338518,0.061653702103140307,0.03572457505041774,0.0532987611639297,0.06136560069144339,0.0414866032843561,0.05099394987035436,0.05445116681071738,0.07519446845289542,0.04724863151829444,0.043791414577931426,0.06222990492653414,0.06194180351483722,0.04119850187265917,0.06309420916162489,0.03313166234514549,0.043503313166234514,0.05589167386920196,0.0599250936329588,0.057044079515989624,0.056755978104292705,0.049265341400172864,0.05733218092768655,0.058484586574474216,0.06050129645635263,0.045808124459809856,0.05358686257562662,0.05243445692883895,0.06078939786804955,0.052722558340535866,0.04465571881302218,0.05387496398732353,0.03831748775569,0.037453183520599245,0.04436761740132527,0.059348890809564965,0.06367041198501873,0.04724863151829444,0.06194180351483722,0.049553442811869776,0.05531547104580812,0.058484586574474216,0.06050129645635263,0.06251800633823106,0.05387496398732353,0.05243445692883895,0.04465571881302218,0.04263900893114376,0.042927110342840684
AND,0.4209161624891962,0.4140017286084702,0.3555171420339959,0.3454335926246038,0.39873235378853356,0.3808700662633247,0.4047824834341688,0.4122731201382887,0.3719389225007203,0.40823970037453183,0.37741284932296165,0.3713627196773264,0.41947565543071164,0.442523768366465,0.4713339095361568,0.39988475943532126,0.42149236531259004,0.38519158743877846,0.4197637568424086,0.42178046672428693,0.38519158743877846,0.41630653990204547,0.3909536156727168,0.3742437337942956,0.3782771535580524,0.42264477095937775,0.4033419763756842,0.3687698069720541,0.3555171420339959,0.47306251800633825,0.3719389225007203,0.48199366176894265,0.3903774128493229,0.3955632382598675,0.4033419763756842,0.43042350907519444,0.3921060213195045,0.39671564390665515,0.4353212330740421,0.3909536156727168,0.42898300201670986,0.36070296744454045,0.41947565543071164,0.38692019590896,0.3336214347450302,0.369346009795448,0.39988475943532126,0.3814462690867185,0.36329588014981273,0.35609334485738975,0.4675885911840968,0.3794295592048401,0.36531259003169114,0.4050705848458658,0.3995966580236243,0.4134255257850763,0.41803514837222705,0.38778450014405075,0.4488619994237972,0.42005185825410546,0.3831748775569,0.43906655142610196,0.44367617401325266,0.3995966580236243,0.4024776721405935,0.41025641025641024,0.35061941803514834,0.4344569288389513,0.46153846153846156,0.3676174013252665,0.4549121290694324,0.46413137424373385,0.35407663497551134,0.411120714491501,0.3831748775569,0.4148660328435609,0.4589455488331893,0.39988475943532126,0.42120426390089316,0.418323249783924,0.4171708441371363,0.41140881590319794,0.35522904062229904,0.4151541342552579,0.3733794295592049,0.3664649956784788,0.42120426390089316,0.40017286084701814,0.3647363872082973,0.3825986747335062,0.38692019590896,0.4407951598962835,0.4059348890809565,0.3670411985018726,0.3713627196773264,0.5010083549409392,0.4148660328435609,0.3396715643906655,0.418323249783924,0.39873235378853356,0.37741284932296165,0.4373379429559205,0.43964275424949584,0.4137136271967733,0.3808700662633247,0.34600979544799765,0.3849034860270816,0.4454047824834342,0.4070872947277442,0.4044943820224719,0.3730913281475079,0.3817343704984154,0.46153846153846156,0.4454047824834342,0.3733794295592049,0.46643618553730914
AGO,0.21521175453759722,0.2235666954768078,0.22615960818208009,0.18899452607317774,0.19936617689426678,0.23192163641601843,0.21607605877268798,0.21117833477384038,0.24258138864880438,0.22500720253529238,0.201959089599539,0.24315759147219818,0.21290694324402185,0.18985883030826847,0.1901469317199654,0.21434745030250643,0.2065687121866897,0.2117545375972342,0.2120426390089311,0.21924517430135404,0.2201094785364448,0.20916162489196194,0.2656295015845578,0.22587150677038315,0.21636416018438487,0.23192163641601843,0.2131950446557188,0.19418035148372223,0.2071449150100835,0.18928262748487468,0.22385479688850474,0.19273984442523764,0.2235666954768078,0.23653125900316907,0.2301930279458369,0.2134831460674157,0.24258138864880438,0.22241428983002015,0.21117833477384038,0.21607605877268798,0.19734946701238834,0.2082973206568712,0.21694036300777872,0.23912417170844136,0.23393834629789687,0.21117833477384038,0.23249783923941228,0.2146355517142034,0.21434745030250643,0.23624315759147219,0.24834341688274272,0.21953327571305098,0.22270239124171706,0.23393834629789687,0.22875252088735232,0.2247191011235955,0.2417170844137136,0.20628061077499277,0.23048112935753384,0.24344569288389512,0.25813886488043786,0.23624315759147219,0.23451454912129066,0.21002592912705267,0.2166522615960818,0.2336502448861999,0.24719101123595502,0.23768366464995677,0.24690290982425814,0.2131950446557188,0.2131950446557188,0.21492365312590028,0.22875252088735232,0.23566695476807833,0.22443099971189856,0.23537885335638145,0.23595505617977525,0.22241428983002015,0.2336502448861999,0.21146643618553726,0.198501872659176,0.21607605877268798,0.21261884183232496,0.21751656583117257,0.22039757994814174,0.23941227312013827,0.21492365312590028,0.23336214347450301,0.20916162489196194,0.22760011524056467,0.22385479688850474,0.19562085854220682,0.22126188418323248,0.20080668395275136,0.19994237971766057,0.20628061077499277,0.22760011524056467,0.21866897147796022,0.22068568135983863,0.2232785940651109,0.22183808700662633,0.23134543359262458,0.22299049265341397,0.23192163641601843,0.2146355517142034,0.2322097378277153,0.22097378277153557,0.22558340535868623,0.22615960818208009,0.21261884183232496,0.21866897147796022,0.22702391241717082,0.21492365312590028,0.2281763180639585,0.20628061077499277,0.2120426390089311
ATG,0.5753385191587439,0.5361567271679631,0.5185825410544511,0.5142610198789974,0.5194468452895419,0.5151253241140882,0.49178910976663787,0.47046960530106596,0.5482569864592336,0.5136848170556035,0.5350043215211755,0.4598098530682801,0.5180063382310574,0.5217516565831173,0.5499855949294151,0.5563238259867473,0.5079227888216652,0.4707577067127629,0.5390377412849323,0.4975511380005762,0.5479688850475367,0.5105157015269375,0.4658599827139153,0.48516277729760876,0.47191011235955055,0.46326707000864303,0.5620858542206857,0.5399020455200231,0.5015845577643331,0.509075194468453,0.6367041198501873,0.5439354652837799,0.5473926822241428,0.45203111495246323,0.505041774704696,0.5352924229328724,0.4399308556611928,0.5197349467012388,0.4560645347162201,0.4701815038893691,0.491501008354941,0.5494093921060214,0.5047536732929991,0.5131086142322098,0.48055315471045806,0.4721982137712475,0.4580812445980985,0.5289541918755403,0.5188706424661481,0.5422068568135984,0.5102276001152406,0.5655430711610487,0.526361279170268,0.5741861135119563,0.5479688850475367,0.5557476231633535,0.4975511380005762,0.5560357245750503,0.5185825410544511,0.5687121866897148,0.5119562085854221,0.5324114088159032,0.5234802650532988,0.48170556035724577,0.5197349467012388,0.5200230481129358,0.46441947565543074,0.4684528954191876,0.5468164794007491,0.5312590031691156,0.5249207721117833,0.4995678478824546,0.460097954479977,0.47536732929991354,0.5188706424661481,0.4848746758859118,0.4785364448285797,0.4889080956496687,0.6044367617401325,0.4874675885911841,0.5459521751656583,0.5203111495246328,0.5093632958801498,0.560933448573898,0.4747911264765197,0.5352924229328724,0.5960818208009219,0.5641025641025641,0.5646787669259579,0.5422068568135984,0.4972630365888793,0.5713050993949871,0.5292422932872372,0.43964275424949584,0.5021607605877269,0.5491212906943245,0.5231921636416019,0.575050417747047,0.5393258426966292,0.4837222702391242,0.5194468452895419,0.5790838375108037,0.5787957360991068,0.606165370210314,0.6073177758571017,0.6395851339671564,0.5586286372803226,0.6191299337366752,0.5318352059925094,0.5669835782195333,0.6228752520887353,0.5102276001152406,0.5684240852780179,0.5900316911552866,0.40996830884471336,0.5753385191587439
ARG,0.16796312301930277,0.17919907807548258,0.19562085854220682,0.19936617689426678,0.19072313454335926,0.17113223854796886,0.17574186113511955,0.1751656583117257,0.15816767502160758,0.16421780466724287,0.18409680207433013,0.1800633823105733,0.1866897147796024,0.22183808700662633,0.1817919907807548,0.1613367905502737,0.16853932584269662,0.20138288677614516,0.2131950446557188,0.19418035148372223,0.18582541054451165,0.2033995966580236,0.19619706136560067,0.16306539902045517,0.18611351195620857,0.20224719101123595,0.18208009219245175,0.1933160472486315,0.17199654278305962,0.20455200230481127,0.19273984442523764,0.20109478536444828,0.18035148372227022,0.1964851627772976,0.17401325266493806,0.17804667242869487,0.16709881878421204,0.17977528089887637,0.20772111783347735,0.2180927686545664,0.1982137712474791,0.18467300489772398,0.1901469317199654,0.18496110630942092,0.19072313454335926,0.21434745030250643,0.1800633823105733,0.18438490348602707,0.1918755401901469,0.18467300489772398,0.1852492077211178,0.18438490348602707,0.19475655430711608,0.1918755401901469,0.18755401901469315,0.1996542783059637,0.20368769806972054,0.20455200230481127,0.2166522615960818,0.18985883030826847,0.19936617689426678,0.16911552866609045,0.21607605877268798,0.18870642466148083,0.20109478536444828,0.19533275713050993,0.19360414866032843,0.18928262748487468,0.1918755401901469,0.19101123595505615,0.19043503313166232,0.22039757994814174,0.20541630653990203,0.1933160472486315,0.20426390089311433,0.2071449150100835,0.21694036300777872,0.2033995966580236,0.2131950446557188,0.21089023336214346,0.20599250936329586,0.2146355517142034,0.20484010371650818,0.22961682512244308,0.21521175453759722,0.21261884183232496,0.20944972630365888,0.16594641313742434,0.1884183232497839,0.20397579948141745,0.21694036300777872,0.23192163641601843,0.19936617689426678,0.2065687121866897,0.17804667242869487,0.19878997407087293,0.21780466724286945,0.2002304811293575,0.21549985594929413,0.22875252088735232,0.22731201382886773,0.22990492653414,0.19302794583693458,0.20397579948141745,0.20397579948141745,0.19158743877845,0.19129933736675306,0.18467300489772398,0.18236819360414863,0.18553730913281472,0.19619706136560067,0.19878997407087293,0.1866897147796024,0.22414289830020165,0.20944972630365888,0.21780466724286945
ARM,0.3333333333333333,0.3111495246326707,0.3094209161624892,0.3488908095649668,0.3200806683952751,0.3125900316911553,0.30567559781042924,0.32440218957072886,0.3186401613367905,0.3027945836934601,0.31028522039757994,0.32555459521751656,0.28954191875540186,0.3382310573321809,0.3350619418035148,0.3027945836934601,0.2765773552290406,0.3166234514549121,0.34255257850763465,0.39757994814174585,0.31892826274848746,0.34053586862575624,0.31028522039757994,0.2967444540478248,0.27744165946413135,0.30423509075194466,0.33045231921636414,0.3298761163929703,0.31547104580812446,0.31547104580812446,0.3598386632094497,0.3105733218092768,0.3180639585133967,0.2938634399308556,0.3212330740420628,0.3509075194468453,0.33736675309709013,0.3013540766349755,0.3434168827427254,0.3644482857966003,0.31777585710169975,0.3509075194468453,0.3442811869778162,0.31547104580812446,0.303082685105157,0.3563814462690867,0.31748775569000287,0.28896571593200804,0.29760875828291555,0.30682800345721695,0.3465859982713915,0.28406799193316046,0.32094497263036587,0.3267070008643042,0.3125900316911553,0.3333333333333333,0.31230193027945835,0.3004897723998847,0.3367905502736963,0.3140305387496399,0.2267358110054739,0.30884471333909536,0.4125612215499856,0.2904062229904926,0.324114088159032,0.34860270815326994,0.35234802650532987,0.3235378853356381,0.37654854508787095,0.2817631806395851,0.28262748487467587,0.37798905214635553,0.30740420628061077,0.3644482857966003,0.299337366753097,0.3287237107461826,0.32382598674733504,0.33448573898012096,0.32382598674733504,0.28694900605012963,0.3212330740420628,0.33448573898012096,0.30740420628061077,0.3146067415730337,0.30740420628061077,0.32785940651109186,0.34082397003745313,0.36243157591472197,0.28089887640449435,0.30913281475079224,0.3220973782771535,0.33102852203975797,0.3166234514549121,0.3422644770959377,0.2814750792278882,0.2984730625180063,0.3148948429847306,0.2929991356957649,0.2742725439354653,0.26130798040910397,0.2921348314606741,0.3287237107461826,0.36214347450302503,0.2947277441659464,0.31575914721982135,0.28550849899164504,0.324114088159032,0.2757130509939499,0.3353500432152117,0.29501584557764327,0.3220973782771535,0.271679631230193,0.25756266205704403,0.28089887640449435,0.2912705272255834,0.3120138288677614
AUS,0.1587438778450014,0.13598386632094495,0.1869778161912993,0.18265629501584554,0.15240564678766924,0.17574186113511955,0.17401325266493806,0.177758571016998,0.18063958513396716,0.18985883030826847,0.16047248631518293,0.1564390665514261,0.1668107173725151,0.16162489196197058,0.15816767502160758,0.19504465571881302,0.20311149524632668,0.16076058772687984,0.15298184961106306,0.19245174301354073,0.1933160472486315,0.1647940074906367,0.16306539902045517,0.1647940074906367,0.16248919619706134,0.15960818208009217,0.1653702103140305,0.1501008354940939,0.14952463267070007,0.17545375972342261,0.17602996254681647,0.1665226159608182,0.1766061653702103,0.16969173148948427,0.15413425525785077,0.16364160184384902,0.15730337078651682,0.1503889369057908,0.18352059925093633,0.14318640161336788,0.17574186113511955,0.1878421204263901,0.1647940074906367,0.14577931431864014,0.16940363007778736,0.15154134255257848,0.18755401901469315,0.156727167963123,0.17314894842984727,0.19763756842408525,0.15355805243445692,0.16796312301930277,0.16853932584269662,0.17199654278305962,0.20426390089311433,0.19994237971766057,0.15730337078651682,0.18121578795736096,0.160184384903486,0.1817919907807548,0.14577931431864014,0.17170844137136268,0.17401325266493806,0.17545375972342261,0.1486603284356093,0.17084413713627195,0.1547104580812446,0.19677326418899452,0.16565831172572745,0.1598962834917891,0.1817919907807548,0.14376260443676173,0.22615960818208009,0.22241428983002015,0.20628061077499277,0.17545375972342261,0.1668107173725151,0.20051858254105442,0.1748775569000288,0.17055603572457503,0.18813022183808698,0.15298184961106306,0.18380870066263322,0.1878421204263901,0.16709881878421204,0.17084413713627195,0.1763180639585134,0.17747046960530105,0.17862287525208873,0.16911552866609045,0.1613367905502737,0.1869778161912993,0.18553730913281472,0.1382886776145203,0.1933160472486315,0.18265629501584554,0.1852492077211178,0.20397579948141745,0.19936617689426678,0.2085854220685681,0.18726591760299624,0.1382886776145203,0.17977528089887637,0.1832324978392394,0.17055603572457503,0.16853932584269662,0.17458945548833185,0.17314894842984727,0.1665226159608182,0.22241428983002015,0.21060213195044653,0.17919907807548258,0.18092768654566405,0.1702679343128781,0.17055603572457503,0.2016709881878421
AUT,0.4900605012964564,0.4900605012964564,0.5128205128205128,0.5010083549409392,0.5021607605877269,0.5231921636416019,0.49582252953039474,0.44165946413137425,0.5027369634111207,0.5531547104580812,0.4707577067127629,0.5254969749351772,0.5030250648228176,0.5033131662345146,0.5387496398732353,0.5543071161048689,0.47450302506482284,0.4972630365888793,0.5200230481129358,0.4690290982425814,0.4485738980121003,0.5188706424661481,0.5177182368193605,0.460097954479977,0.5033131662345146,0.5154134255257851,0.49553442811869775,0.49351771823681934,0.4572169403630078,0.491212906943244,0.5033131662345146,0.44367617401325266,0.5102276001152406,0.4658599827139153,0.5096513972918467,0.508787093056756,0.5384615384615384,0.4802650532987612,0.5079227888216652,0.4975511380005762,0.515701526937482,0.44828579660040335,0.44281186977816195,0.5315471045808124,0.4886199942379718,0.46182656295015845,0.45404782483434175,0.4938058196485163,0.46441947565543074,0.49063670411985016,0.49553442811869775,0.5033131662345146,0.4364736387208297,0.5254969749351772,0.4992797464707577,0.4874675885911841,0.487755690002881,0.5286660904638433,0.4721982137712475,0.5067703831748775,0.4759435321233074,0.5041774704696053,0.47191011235955055,0.4900605012964564,0.5341400172860847,0.53644482857966,0.48458657447421494,0.4707577067127629,0.48055315471045806,0.5229040622299049,0.4399308556611928,0.4782483434168827,0.48314606741573035,0.49294151541342557,0.4802650532987612,0.4747911264765197,0.4987035436473639,0.4762316335350043,0.5324114088159032,0.4989916450590608,0.4897723998847594,0.4675885911840968,0.45030250648228176,0.4796888504753673,0.49668683376548545,0.480841256122155,0.5254969749351772,0.5082108902333621,0.4701815038893691,0.4848746758859118,0.4713339095361568,0.4693171996542783,0.4776721405934889,0.4992797464707577,0.5422068568135984,0.5108038029386344,0.477384039181792,0.4759435321233074,0.5108038029386344,0.491501008354941,0.5004321521175454,0.5001440507058484,0.4272543935465284,0.5067703831748775,0.4987035436473639,0.4572169403630078,0.5021607605877269,0.4897723998847594,0.5370210314030539,0.5312590031691156,0.4151541342552579,0.5070584845865744,0.5148372227023913,0.5355805243445693,0.4344569288389513,0.5416306539902045
