Country,2011,2014,2017
AFG,-1.5062377531345978,-1.468228240760921,-1.3605346223688364
ALB,-0.8695784208755098,-0.5243253501479447,-0.38178967874665626
DZA,-0.9424299862583906,-0.3184404914571948,-0.6605261028202869
AGO,-0.3564500038308718,-0.8822482583334021,-0.8822482583334021
ARG,-0.58133961870846,0.023645119905897197,0.020477660541424077
ARM,-1.0152815516412712,-1.122975170033356,-0.2931008165414103
AUS,1.5345232367595536,1.5471930742174462,1.5535279929463923
AUT,1.4711740494700922,1.4965137243858773,1.528188318030608
AZE,-1.1356450074912479,-0.7682197212123715,-0.7112054526518561
BHR,-0.04287152674803742,0.5241036994926431,0.7996726642018007
BGD,-0.7650522618478983,-0.749214965025533,-0.4546412441295371
BLR,0.2517021941479587,0.691979045809716,0.9865527667057119
BEL,1.490178805656931,1.5630303710398115,1.5408581554885
BLZ,,0.0679895510085202,0.0679895510085202
BEN,-1.2781806788925363,-1.1578172230425596,-0.6826983183715983
BTN,,-0.7112054526518561,-0.7112054526518561
BOL,-0.793559396128156,-0.3849571381111294,0.11866890084008944
BIH,-0.07771357975724107,-0.09671833594407955,0.14400857575587417
BWA,-0.6890332371005446,-0.04603898611251031,-0.10622071403749891
BRA,0.026812579270370316,0.4639219715676545,0.5494433744084276
BGR,0.16934825067165868,0.4132426217360855,0.742658395641285
BFA,-1.2465060852478056,-1.1894918166872903,-0.495818215867687
BDI,-1.4017115941069864,-1.3763719191912016,-1.3763719191912016
KHM,-1.471395700125394,-0.9392625268939174,-0.9075879332491867
CMR,-1.2433386258833328,-1.2655108414346443,-0.6383538872689754
CAN,1.490178805656931,1.5535279929463923,1.575700208497704
CAF,-1.4808980782188133,,-1.2813481382570098
TCD,-1.3732044598267288,-1.341529866181998,-1.1198077106688826
CHL,-0.28993335717693713,0.28654424715716253,0.6698068302584044
CHN,0.311883922072947,0.8281797984820581,0.8313472578465315
COL,-0.7840570180347368,-0.5116555126900524,-0.24242146670984102
COM,-1.0216164703702175,-1.0216164703702175,-1.0216164703702175
COG,-1.347864784910944,-1.1134727919399365,-0.9234252300715521
COD,-1.4999028344056518,-1.1356450074912479,-0.8220665304084137
CRI,-0.2994357352703563,0.3182188408018933,0.34039105635320466
HRV,1.1734328692096234,1.1892701660319889,1.030897197808335
CYP,1.0435670352662272,1.2716241095082885,1.2621217314148694
CZE,0.9612130917899273,0.9263710387807237,0.9010313638649388
CIV,,-0.6636935621847599,-0.46097616285848314
DNK,1.5630303710398115,1.578867667862177,1.578867667862177
DJI,-1.309855272537267,-1.309855272537267,-1.309855272537267
DOM,-0.4039618942979679,0.18518554749402405,0.12500381956903567
ECU,-0.5369951876058369,-0.2962682759058834,-0.23925400734536792
EGY,-1.382706837920148,-1.2940179757149017,-0.7333776682031676
SLV,-1.2686783007991171,-0.578172159343987,-0.8157316116794676
EST,1.4933462650214038,1.49968118375035,1.528188318030608
SWZ,-0.7207078307452753,-0.7207078307452753,-0.7207078307452753
ETH,,-0.9234252300715521,-0.666861021549233
FIN,1.5725327491332306,1.578867667862177,1.5661978304042845
FRA,1.4711740494700922,1.4363319964608885,1.3032987031530194
GAB,-1.043788685921529,-0.6161816717176639,0.11233398211114343
GEO,-0.48314837840979474,-0.32794286955061414,0.4259124591939778
DEU,1.537690696124027,1.5598629116753386,1.5535279929463923
GHA,-0.7302102088386945,-0.3406127070085064,0.11233398211114343
GRC,0.8091750422952199,1.1544281130227847,1.0879114663688503
GTM,-1.094468035753098,-0.4894832971387408,-0.2550913041677333
GIN,-1.4967353750411787,-1.4587258626675017,-0.9646022018097021
HTI,-0.9202577707070789,-1.0786307389307328,-0.6383538872689754
HND,-1.1166402513044098,-0.7333776682031676,-0.28993335717693713
HKG,1.2336145971346115,1.461671671376673,1.4109923215451041
