Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.06746031746031746,24.8,16.6,26.5,21.7,13.4,5.1,3.6,327.6,22.1,6.4,4.7
ALB,2.364950838635049,55.3,10.2,11.2,18.1,13.0,7.9,1.9,172.9,408.9,37.5,11.5
DZA,0.04293381037567085,35.0,13.7,0.5,30.2,23.3,16.5,4.3,391.3,16.8,4.3,10.2
AND,1.6827838827838828,57.5,8.8,24.4,12.9,8.5,4.1,1.5,136.5,229.7,32.3,9.3
AGO,0.6129426129426129,66.2,13.2,0.0,28.6,22.0,15.5,3.6,327.6,200.8,17.2,17.5
ATG,2.1115384615384616,56.9,7.1,0.0,30.3,26.7,23.2,4.0,364.0,768.6,52.4,27.4
ARG,0.4917582417582417,47.0,13.1,15.3,20.9,14.3,7.8,4.0,364.0,179.0,19.3,9.9
ARM,0.924812030075188,48.6,11.5,34.8,14.2,8.4,2.6,1.9,172.9,159.9,30.1,6.3
AUS,0.14322344322344324,32.7,14.8,1.7,28.8,21.4,14.0,6.0,546.0,78.2,13.3,11.6
AUT,3.505494505494505,63.3,6.5,30.1,9.9,6.7,3.4,1.1,100.1,350.9,46.8,8.5
AZE,0.7538461538461538,55.2,9.0,14.2,16.9,12.4,7.9,2.0,182.0,137.2,23.3,10.2
BHS,1.1714285714285717,62.0,9.5,0.0,30.7,25.9,21.2,3.5,318.5,373.1,34.1,25.0
BHR,0.0,27.1,14.1,0.0,35.0,27.9,20.9,6.3,573.3,0.0,0.0,16.1
BGD,2.40053050397878,52.5,7.3,0.0,29.4,25.8,22.1,2.9,263.9,633.5,23.3,27.1
BRB,1.8126084441873915,55.4,7.2,0.0,30.3,26.7,23.2,3.8,345.8,626.8,48.7,28.0
BLR,1.7230769230769232,74.7,7.1,37.2,9.4,5.9,2.3,1.0,91.0,156.8,46.6,7.8
BEL,3.387362637362637,71.8,7.5,11.1,14.3,10.5,6.8,1.2,109.2,369.9,65.1,10.9
BLZ,2.3084249084249087,63.0,8.4,0.0,29.2,25.0,20.8,3.0,273.0,630.2,50.4,27.9
BEN,0.8672408672408672,69.5,11.1,0.0,33.1,27.5,22.0,3.7,336.7,292.0,24.1,23.8
BTN,2.2006940427993062,47.1,11.7,37.3,14.0,8.1,2.3,1.9,172.9,380.5,22.7,9.2
BOL,0.5582417582417583,56.6,14.1,7.5,30.3,23.2,16.2,5.0,455.0,254.0,21.2,18.6
BIH,2.652747252747253,62.3,8.7,16.1,14.8,10.4,6.1,1.5,136.5,362.1,41.7,9.9
BWA,0.22352115969137248,45.5,15.2,0.2,30.2,22.6,15.1,4.7,427.7,95.6,15.2,14.5
BRA,1.0160380160380162,70.1,11.0,0.0,30.8,25.3,19.9,3.7,336.7,342.1,45.0,24.4
BRN,3.277206664303438,74.2,6.7,0.0,30.3,26.9,23.6,3.1,282.1,924.5,65.8,30.4
BGR,1.050420168067227,60.6,10.1,16.5,16.5,11.4,6.4,1.7,154.7,162.5,22.5,10.6
BFA,0.536123451017068,32.5,13.0,0.0,35.3,28.8,22.3,4.7,427.7,229.3,22.3,20.8
BDI,0.9055631868131868,75.3,12.5,0.0,26.5,20.2,14.0,3.2,291.2,263.7,46.9,17.3
CPV,0.3889037791476816,44.0,7.2,0.0,28.7,25.1,21.5,4.1,373.1,145.1,14.3,24.1
KHM,2.4048763736263736,65.4,7.3,0.0,30.3,26.7,23.1,3.2,291.2,700.3,45.6,29.2
CMR,2.101991758241758,73.9,10.5,0.0,30.3,25.0,19.7,3.2,291.2,612.1,48.4,22.6
CAN,2.705128205128205,67.9,7.9,70.2,0.4,-3.5,-7.4,0.6,54.6,147.7,34.7,4.8
CAF,1.69010989010989,49.7,12.5,0.0,30.4,24.1,17.9,3.5,318.5,538.3,39.8,22.5
TCD,0.17177559282822438,21.6,15.4,0.1,34.3,26.6,18.9,5.7,518.7,89.1,8.5,14.4
CHL,0.5346722243273968,47.6,10.3,34.3,12.9,7.7,2.6,2.9,263.9,141.1,10.3,6.7
