Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.3512725344644751,44.7,13.8,22.2,20.3,13.3,6.4,4.1,377.2,132.5,20.6,6.5
ALB,1.5360869565217392,68.6,10.0,25.6,14.9,9.9,4.9,2.5,230.0,353.3,40.7,8.7
DZA,0.01956521739130435,40.0,15.2,1.1,30.1,22.5,14.9,5.5,506.0,9.9,2.7,7.9
AND,0.8591897233201581,66.6,9.2,44.6,10.4,5.8,1.2,2.2,202.4,173.9,40.2,6.6
AGO,0.7240532959326789,63.0,13.1,0.0,28.6,22.0,15.5,3.1,285.2,206.5,19.3,18.6
ATG,1.848288621646624,54.2,7.1,0.0,29.7,26.2,22.7,4.7,432.4,799.2,46.6,25.8
ARG,0.4662668665667166,45.7,12.8,15.6,20.8,14.3,8.0,2.9,266.8,124.4,17.1,11.4
ARM,0.7636876006441223,58.8,12.2,43.1,13.4,7.3,1.2,2.7,248.4,189.7,37.2,5.2
AUS,0.31313598519889,39.5,13.0,0.4,29.5,23.0,16.5,4.7,432.4,135.4,16.4,14.6
AUT,1.0772311212814645,66.9,8.8,47.2,9.3,4.9,0.4,1.9,174.8,188.3,41.8,7.0
AZE,0.40404797601199394,61.9,11.6,21.9,17.2,11.4,5.7,2.9,266.8,107.8,24.2,8.6
BHS,1.0545948616600789,51.8,10.8,0.0,29.7,24.3,18.9,4.4,404.8,426.9,27.5,22.2
BHR,0.00719932241671372,35.8,13.9,0.0,35.4,28.5,21.6,7.7,708.4,5.1,3.8,17.1
BGD,0.9611111111111109,45.7,11.1,0.0,33.0,27.5,21.9,4.5,414.0,397.9,18.0,24.7
BRB,1.2053402646502835,55.0,7.6,0.0,30.4,26.6,22.8,4.6,423.2,510.1,39.0,26.2
BLR,0.9553140096618356,71.3,8.3,44.8,9.0,4.8,0.7,1.8,165.6,158.2,45.1,7.0
BEL,1.0194508009153316,70.5,9.4,36.2,12.0,7.3,2.6,1.9,174.8,178.2,46.1,8.2
BLZ,0.7509881422924901,50.3,8.7,0.0,31.2,26.8,22.4,4.4,404.8,304.0,23.8,28.5
BEN,0.4469565217391304,69.3,12.9,0.0,36.6,30.1,23.7,5.0,460.0,205.6,18.4,22.9
BTN,1.001207729468599,51.7,12.3,39.1,14.1,7.9,1.8,2.7,248.4,248.7,19.0,7.7
BOL,1.0942028985507246,63.2,11.7,8.1,27.1,21.3,15.4,3.3,303.6,332.2,26.6,19.9
BIH,1.2887523629489603,68.0,9.6,33.9,13.3,8.5,3.7,2.3,211.6,272.7,43.1,8.5
BWA,0.2346547314578005,38.6,16.0,0.6,30.0,21.9,14.0,3.4,312.8,73.4,10.8,17.5
BRA,2.032608695652174,75.7,9.6,0.0,29.9,25.1,20.3,2.8,257.6,523.6,57.4,26.7
BRN,1.3046415981198591,61.7,8.3,0.0,31.9,27.8,23.6,3.7,340.4,444.1,38.2,30.3
BGR,0.8842155009451795,75.8,10.4,29.1,15.0,9.8,4.6,2.3,211.6,187.1,30.4,9.2
BFA,0.16149068322981364,37.7,14.7,0.0,39.4,32.0,24.7,6.3,579.6,93.6,12.2,16.9
BDI,1.7130434782608697,80.9,9.9,0.0,25.2,20.3,15.4,2.5,230.0,394.0,56.3,20.3
CPV,0.007173913043478261,38.5,8.1,0.0,27.2,23.1,19.1,5.0,460.0,3.3,1.5,18.8
KHM,0.4401017576318224,49.9,11.5,0.0,35.1,29.4,23.6,4.7,432.4,190.3,21.5,28.7
CMR,1.1855978260869566,65.5,11.9,0.0,32.7,26.7,20.8,4.0,368.0,436.3,38.6,22.9
CAN,0.8586956521739131,59.7,10.3,77.6,-1.1,-6.3,-11.4,1.1,101.2,86.9,24.6,3.9
CAF,0.7922705314009661,42.6,13.4,0.0,34.4,27.6,21.0,4.5,414.0,328.0,26.9,22.5
TCD,0.041334966319657065,24.1,17.8,0.1,37.9,29.0,20.1,7.1,653.2,27.0,4.1,10.9
CHL,0.8464673913043478,44.3,10.2,29.2,14.0,8.8,3.8,2.4,220.8,186.9,12.9,7.3
CHN,0.4822463768115942,59.3,12.9,41.9,14.2,7.8,1.3,3.0,276.0,133.1,25.0,6.9
COL,1.7952408930669803,70.4,10.7,0.1,31.2,25.8,20.5,3.7,340.4,611.1,48.8,26.0
COM,1.2328375286041189,53.3,7.7,0.0,30.6,26.7,22.9,3.8,349.6,431.0,30.8,28.1
COG,1.6484257871064467,75.3,10.0,0.0,30.9,25.8,20.9,2.9,266.8,439.8,37.1,25.8
COD,1.4340813464235624,71.5,11.1,0.0,30.6,25.1,19.5,3.1,285.2,409.0,36.8,23.9
CRI,1.1444444444444444,48.5,11.2,0.0,32.6,26.9,21.4,4.5,414.0,473.8,27.9,28.4
CIV,1.0875139353400225,65.0,11.2,0.0,34.0,28.3,22.7,3.9,358.8,390.2,31.6,26.0
