Country,Aridity Index (AI),Cloud Cover (CLD) [percentage],Diurnal Temperature Range (DTR) [degrees Celsius],Ground Frost Frequency (FRS) [days],Maximum Temperature (TMX) [degrees Celsius],Mean Temperature (TMP) [degrees Celsius],Minimum Temperature (TMN) [degrees Celsius],Potential Evapotranspiration (PET) [mm_day],Potential Evapotranspiration (PET) [mm_month],Precipitation (PRE) [mm_month],Rain Days (WET) [days],Vapour Pressure (VAP) [hPa]
AFG,0.01358695652173913,24.6,15.3,2.6,30.5,22.8,15.1,6.8,625.6,8.5,5.0,7.9
ALB,0.3338846880907373,34.2,12.7,0.1,26.8,20.4,14.0,4.6,423.2,141.3,23.7,15.7
DZA,0.013043478260869566,38.1,15.0,0.0,38.8,31.3,23.8,7.0,644.0,8.4,3.3,11.9
AND,0.7860411899313501,47.5,12.2,3.4,20.2,14.1,8.0,3.8,349.6,274.8,39.0,10.6
AGO,0.007905138339920948,45.3,16.5,1.9,27.0,18.7,10.5,3.3,303.6,2.4,0.4,11.2
ATG,1.1235822306238186,59.2,8.2,0.0,29.3,25.2,21.1,4.6,423.2,475.5,43.7,24.7
ARG,0.4207161125319693,48.8,12.1,37.8,14.3,8.2,2.1,1.7,156.4,65.8,13.0,7.6
ARM,0.6344276841171251,36.9,13.9,1.0,25.7,18.7,11.7,4.9,450.8,286.0,33.0,10.3
AUS,0.3800841514726508,37.6,13.0,8.1,21.7,15.2,8.8,3.1,285.2,108.4,18.2,10.1
AUT,1.7713643178410794,59.7,8.8,3.6,18.1,13.7,9.3,2.9,266.8,472.6,53.3,12.3
AZE,0.3093645484949833,41.5,12.7,1.0,29.5,23.1,16.8,5.2,478.4,148.0,20.8,14.6
BHS,0.5781683626271971,55.1,10.7,0.0,32.4,27.1,21.8,4.7,432.4,250.0,26.4,26.8
BHR,0.0,29.2,14.3,0.0,42.6,35.5,28.3,10.1,929.2,0.0,0.0,18.9
BGD,5.405570652173914,84.4,6.0,0.0,31.0,28.0,25.1,3.2,294.4,1591.4,47.4,31.1
BRB,1.817168338907469,60.4,6.9,0.0,29.2,25.7,22.3,3.9,358.8,652.0,55.9,27.4
BLR,0.5051487414187642,48.4,11.6,0.1,23.5,17.7,11.9,3.8,349.6,176.6,36.6,14.1
BEL,0.753155680224404,65.6,10.6,0.0,21.5,16.1,10.8,3.1,285.2,214.8,45.0,14.5
BLZ,3.040617848970252,60.4,8.3,0.0,30.4,26.3,22.2,3.8,349.6,1063.0,68.3,29.6
BEN,1.4957180500658762,79.8,9.4,0.0,31.0,26.3,21.6,3.3,303.6,454.1,40.3,26.6
BTN,4.064381270903009,82.7,9.4,11.5,18.7,13.9,9.2,2.6,239.2,972.2,50.5,12.4
BOL,0.4114906832298137,44.6,15.2,16.7,25.7,18.0,10.5,3.5,322.0,132.5,12.6,14.7
BIH,0.8731884057971014,43.9,11.0,0.1,23.7,18.2,12.7,3.9,358.8,313.3,38.3,13.8
BWA,0.00459866220735786,27.2,18.9,14.2,24.6,15.1,5.6,2.6,239.2,1.1,0.3,10.3
BRA,0.8390603085553998,58.7,12.0,0.3,28.9,22.9,17.0,3.1,285.2,239.3,35.4,21.8
BRN,1.7866847826086958,71.7,8.4,0.0,31.2,27.0,22.8,3.2,294.4,526.0,43.9,29.3
BGR,0.4395854398382204,42.8,13.0,0.1,27.1,20.5,14.0,4.3,395.6,173.9,23.5,16.7
BFA,1.1450046253469008,48.6,10.6,0.0,33.1,27.8,22.5,4.7,432.4,495.1,39.3,25.6
BDI,0.03598200899550225,57.1,13.6,0.7,23.8,17.0,10.2,2.9,266.8,9.6,5.7,15.7
CPV,0.327639751552795,50.2,6.4,0.0,27.5,24.3,21.1,4.2,386.4,126.6,11.7,23.4
KHM,2.5434782608695654,81.2,7.5,0.0,31.3,27.5,23.8,3.2,294.4,748.8,53.2,30.1
CMR,2.3828502415458934,84.4,8.9,0.0,28.2,23.7,19.3,2.7,248.4,591.9,49.9,23.9
CAN,0.6340579710144928,60.6,10.8,24.2,15.5,10.0,4.7,2.7,248.4,157.5,29.4,9.4
CAF,2.2370266479663394,63.7,10.3,0.0,28.4,23.3,18.1,3.1,285.2,638.0,45.3,23.8
TCD,0.4889462048636698,36.6,14.2,0.0,35.4,28.3,21.2,5.9,542.8,265.4,28.5,18.3
CHL,1.6710144927536232,48.0,9.1,45.8,9.6,5.0,0.4,1.5,138.0,230.6,15.1,5.8
CHN,0.8190217391304347,62.5,11.9,11.6,24.6,18.7,12.7,4.0,368.0,301.4,39.1,14.2
COL,3.481159420289855,76.0,9.2,0.1,28.5,23.9,19.3,3.0,276.0,960.8,62.1,25.1
COM,0.5730211817168338,41.5,8.7,0.0,28.0,23.7,19.3,3.9,358.8,205.6,11.1,21.1
COG,0.7139130434782608,78.9,9.0,0.0,28.0,23.5,19.0,2.5,230.0,164.2,14.4,23.4
