Country,2000,2005,2010,2015
AFG,2.3,2.6,2.8,3.1
ALB,3.1,3.6,2.8,2.4
DZA,2.3,2.1,1.4,1.3
AGO,12.0,13.3,14.3,14.3
ATG,0.1,0.0,0.0,0.0
ARG,5.0,4.5,4.6,4.8
ARM,1.7,1.5,1.8,1.8
AUS,5.2,4.9,5.1,5.6
AUT,7.8,6.3,5.4,5.3
AZE,1.0,1.4,1.3,1.1
BHS,1.0,0.2,1.2,0.4
BHR,3.5,3.4,3.1,2.9
BGD,8.6,9.2,8.3,6.6
BRB,0.6,0.3,0.3,0.1
BLR,10.1,9.5,7.2,5.4
BEL,10.4,8.7,9.1,9.1
BLZ,2.5,1.3,2.4,2.0
BEN,7.9,8.2,8.3,8.4
BTN,13.7,11.7,10.5,9.9
BOL,19.2,18.5,16.4,14.4
BIH,3.5,2.6,2.0,1.9
BWA,7.7,7.7,6.9,6.2
BRA,2.2,2.6,2.7,2.7
BRN,0.9,1.1,0.3,1.3
BGR,7.8,5.6,4.9,4.8
BFA,8.5,8.8,9.4,10.1
BDI,6.2,6.9,7.0,6.3
CPV,8.9,7.8,7.9,7.0
KHM,10.5,9.1,8.7,8.5
CMR,7.7,8.1,8.6,8.5
CAN,5.1,5.5,5.8,5.6
CAF,7.8,8.9,10.1,9.3
TCD,6.6,7.0,7.4,7.9
CHL,3.1,3.3,4.2,3.3
CHN,12.7,10.9,10.0,9.5
COL,2.7,2.4,2.2,2.1
COM,7.9,8.9,8.5,8.0
COG,8.5,8.8,7.0,6.1
COD,7.7,7.2,7.1,7.3
CRI,1.8,2.3,2.2,2.0
HRV,6.9,7.1,6.0,5.7
CUB,8.6,5.6,4.8,4.2
CYP,1.2,1.1,2.0,1.0
CZE,5.2,4.4,3.8,3.9
CIV,10.7,12.4,13.5,14.4
DNK,6.3,6.1,4.9,4.7
DJI,7.9,7.3,6.4,6.5
DOM,2.7,3.0,2.4,2.6
ECU,3.7,4.7,4.5,3.7
EGY,2.4,2.2,1.9,1.8
SLV,7.5,6.1,5.0,4.4
GNQ,12.8,13.4,13.7,13.2
ERI,8.0,7.1,5.9,5.4
EST,9.8,6.0,4.7,4.8
SWZ,11.7,9.9,9.8,9.6
ETH,6.0,5.4,5.6,5.6
FJI,5.7,5.4,4.8,4.3
FIN,10.4,9.0,7.8,7.2
FRA,8.3,7.9,7.2,5.9
GAB,7.0,6.8,7.3,7.0
GMB,8.7,8.1,7.6,7.7
GEO,1.7,1.5,1.5,1.5
DEU,5.2,4.7,4.5,4.5
GHA,3.6,3.7,3.9,3.9
GRC,1.3,1.3,1.2,1.2
GRD,0.8,0.7,0.0,0.5
GTM,1.6,1.6,1.4,1.5
GIN,6.9,6.9,7.1,7.5
GNB,7.6,6.9,6.2,5.8
GUY,11.7,13.3,14.4,15.5
HTI,4.8,4.4,5.1,6.0
HND,2.2,2.9,2.9,2.6
HUN,10.6,8.1,7.5,6.9
ISL,5.7,7.1,5.1,6.3
IND,16.8,16.6,16.0,14.2
IDN,1.9,1.9,1.9,1.6
IRN,7.8,6.4,3.9,2.9
IRQ,2.9,2.8,3.0,3.5
IRL,4.3,4.3,4.8,4.2
ISR,2.9,3.7,2.4,2.3
ITA,2.8,2.4,2.1,2.2
JAM,0.1,0.9,0.2,0.3
JPN,9.8,10.0,10.4,9.2
JOR,2.8,2.4,2.5,2.4
KAZ,12.4,9.1,9.0,9.6
KEN,4.5,4.6,4.6,4.5
KIR,7.8,7.4,7.2,6.6
