Country,2004-2015
AFG,74
ALB,189
DZA,162
AND,72
AGO,106
ATG,373
ARG,160
ARM,130
AUS,151
AUT,95
AZE,236
BHS,363
BHR,301
BGD,43
BRB,322
BLR,306
BEL,105
BLZ,449
BEN,77
BTN,145
BOL,122
BIH,73
BWA,188
BRA,301
BRN,132
BGR,125
BFA,34
BDI,93
CPV,286
KHM,105
CMR,115
CAN,106
CAF,16
TCD,39
CHL,247
CHN,119
COL,244
COM,31
COG,27
COD,32
CRI,352
HRV,89
CUB,510
CYP,94
CZE,195
CIV,52
DNK,61
DJI,68
DMA,300
DOM,233
ECU,162
EGY,76
SLV,492
GNQ,129
EST,216
SWZ,289
ETH,128
FJI,174
FIN,57
FRA,95
GAB,210
GMB,58
GEO,274
DEU,78
GHA,53
GRC,109
GRD,398
GTM,121
GIN,26
GUY,259
HTI,97
HND,196
HKG,114
HUN,187
ISL,45
IND,33
IDN,64
IRN,287
IRQ,123
IRL,80
ISR,256
ITA,86
JAM,145
JPN,48
JOR,150
KAZ,234
KEN,118
KIR,136
KOR,101
KWT,92
KGZ,166
LAO,71
LVA,239
LBN,120
LSO,92
LBR,39
LBY,99
LIE,21
LTU,268
LUX,112
MDG,83
MWI,73
MYS,171
MDV,341
MLI,33
MLT,135
MHL,66
MRT,44
MUS,155
MEX,212
FSM,127
MDA,215
MCO,74
MNG,266
MNE,174
MAR,222
MOZ,61
MMR,113
NAM,144
NRU,140
NPL,59
NLD,69
NZL,194
NIC,171
NER,39
NGA,31
NOR,71
OMN,36
PAK,43
PLW,343
PAN,392
PNG,61
PRY,158
PER,242
PHL,121
POL,191
PRT,138
QAT,53
ROU,143
RUS,445
RWA,434
KNA,607
LCA,349
VCT,378
WSM,250
STP,101
SAU,161
SEN,62
SRB,148
SYC,799
SLE,55
SGP,227
SVK,184
SVN,73
SLB,56
ZAF,292
SSD,65
ESP,136
LKA,92
SDN,50
SUR,183
SWE,55
CHE,84
SYR,60
TJK,121
TZA,69
THA,461
MKD,147
TLS,50
TGO,64
TON,166
TTO,258
TUN,212
TUR,220
TKM,583
TUV,110
UGA,115
UKR,195
ARE,229
GBR,146
USA,698
URY,291
UZB,150
VUT,87
VEN,178
VNM,154
YEM,53
ZMB,125
ZWE,145
