Country,2000,2005,2010,2015
AFG,10.9,11.7,11.1,10.9
ALB,9.8,9.5,7.3,5.3
DZA,4.8,5.4,5.3,5.0
AGO,36.3,38.5,38.8,38.1
ATG,4.6,3.2,0.4,0.0
ARG,22.8,20.5,21.4,23.7
ARM,6.7,7.3,7.9,8.0
AUS,20.0,16.8,16.6,15.3
AUT,24.9,21.1,19.4,18.5
AZE,4.8,6.0,6.0,5.3
BHS,2.5,1.1,2.6,2.9
BHR,9.0,10.2,9.9,9.5
BGD,6.6,5.2,5.0,5.3
BRB,3.3,3.7,2.3,0.5
BLR,68.7,56.0,42.8,35.0
BEL,28.2,24.8,23.8,23.4
BLZ,16.5,11.2,11.8,14.7
BEN,21.8,22.9,22.3,22.7
BTN,20.0,17.2,14.5,13.9
BOL,36.7,32.6,29.7,26.7
BIH,14.7,11.1,7.5,7.1
BWA,23.9,23.2,20.7,19.5
BRA,9.5,10.1,9.4,9.6
BRN,1.3,2.4,0.9,1.4
BGR,24.4,19.9,18.0,18.3
BFA,25.9,25.0,24.9,25.1
BDI,20.3,21.7,21.5,20.3
CPV,22.6,18.7,18.8,18.5
KHM,18.2,17.9,17.2,17.9
CMR,23.8,26.4,27.2,27.1
CAN,17.4,16.6,16.1,15.3
CAF,25.8,29.6,32.1,30.3
TCD,17.6,18.7,19.8,20.9
CHL,19.2,17.3,19.0,15.3
CHN,10.9,9.1,8.2,7.7
COL,10.0,9.5,11.6,10.1
COM,18.1,18.4,17.9,17.2
COG,25.8,25.9,20.6,17.9
COD,20.3,18.2,17.1,17.3
CRI,13.8,13.5,14.2,12.6
HRV,27.8,24.3,21.5,19.2
CUB,21.6,17.0,18.5,17.0
CYP,2.3,2.6,6.3,6.7
CZE,22.9,22.0,20.5,17.7
CIV,32.2,36.5,37.9,38.8
DNK,18.7,16.1,12.7,13.5
DJI,15.9,15.7,14.2,15.4
DOM,13.5,17.0,12.5,12.2
ECU,9.8,14.8,13.7,11.5
EGY,5.1,4.5,4.2,4.5
SLV,27.3,26.1,21.6,19.2
GNQ,41.6,38.3,41.1,39.1
ERI,31.4,29.8,26.9,23.4
EST,44.7,35.5,26.6,26.4
SWZ,32.6,31.8,28.5,27.3
ETH,23.2,20.6,20.4,20.7
FJI,13.6,14.2,14.6,13.5
FIN,33.2,25.4,25.3,21.4
FRA,23.9,22.4,21.3,19.0
GAB,17.8,16.4,18.1,18.1
GMB,18.1,16.7,15.7,15.5
GEO,9.7,7.7,9.3,9.7
DEU,17.9,15.8,15.2,13.9
GHA,15.4,16.2,16.5,17.8
GRC,5.0,5.1,5.1,5.4
GRD,4.1,5.7,1.6,0.0
GTM,7.4,7.0,5.8,4.2
GIN,13.7,15.8,16.4,15.5
GNB,14.8,14.5,14.7,13.6
GUY,41.2,44.4,43.4,46.0
HTI,15.5,15.0,15.9,17.7
HND,6.3,7.1,6.7,5.8
HUN,43.5,34.9,32.7,25.8
ISL,22.0,13.7,18.6,17.2
IND,21.5,20.3,19.5,17.9
IDN,4.8,5.0,4.8,4.5
IRN,10.2,10.4,6.9,4.2
IRQ,4.9,4.1,4.3,4.8
IRL,19.5,17.0,17.0,18.0
ISR,12.0,10.7,11.5,8.7
ITA,8.7,8.2,8.0,8.7
JAM,0.4,3.3,0.9,2.6
JPN,27.5,28.5,27.7,21.7
JOR,6.7,6.2,5.5,5.3
KAZ,70.3,53.3,45.7,48.1
KEN,18.8,18.1,17.8,17.1
KIR,25.8,23.9,24.7,23.6
PRK,23.7,23.6,21.0,17.3
KOR,20.8,34.7,39.3,36.1
KWT,4.0,3.8,5.0,5.7
KGZ,26.4,20.5,15.7,13.4
LAO,23.9,21.5,19.6,18.5
LVA,57.2,41.1,36.7,31.9
LBN,4.4,3.9,3.5,4.0
LSO,23.2,21.2,21.2,19.9
LBR,14.8,17.5,16.7,16.1
LBY,9.7,9.6,9.8,9.2
LTU,80.0,64.2,50.4,47.1
LUX,20.0,16.9,14.6,11.6
MDG,13.8,13.3,13.4,12.5
MWI,21.0,18.4,17.8,18.0
MYS,11.2,9.6,9.2,9.5
MDV,26.4,19.9,14.6,13.1
MLI,14.1,14.3,14.7,14.5
MLT,9.1,7.0,12.0,8.2
MRT,12.1,12.8,13.8,14.5
MUS,19.3,13.7,12.6,14.0
MEX,6.6,7.3,7.3,8.1
FSM,16.1,17.4,15.9,15.7
MDA,30.5,31.7,31.6,22.3
MNG,51.6,57.7,55.8,48.2
MNE,14.1,15.0,13.1,12.4
MAR,14.6,11.6,8.2,7.0
MOZ,23.2,21.8,21.9,20.5
MMR,4.7,4.7,5.1,5.9
NAM,21.5,20.3,18.9,16.4
NPL,12.8,10.8,9.3,8.2
NLD,11.3,11.6,11.5,12.9
NZL,20.7,19.4,17.8,18.7
NIC,26.7,25.8,17.2,15.9
NER,11.2,12.1,12.2,11.5
NGA,20.4,20.1,20.3,20.3
NOR,18.8,14.5,14.1,12.9
OMN,8.0,6.4,6.8,6.4
PAK,4.1,3.0,2.5,2.5
PAN,12.6,12.9,10.4,10.1
PNG,19.9,17.4,18.1,18.1
PRY,16.3,14.6,13.0,13.7
PER,10.7,10.5,10.3,9.2
PHL,4.7,5.2,6.6,5.8
POL,32.6,34.3,34.6,32.7
PRT,9.1,12.6,14.3,14.3
QAT,4.9,5.1,7.9,7.3
ROU,19.6,17.8,19.7,16.4
RUS,63.1,52.9,40.0,32.2
RWA,31.8,30.0,26.2,24.3
LCA,12.9,5.3,11.5,12.0
VCT,13.9,15.1,6.4,4.9
WSM,17.9,14.7,12.6,11.4
STP,4.0,3.6,3.5,3.6
SAU,5.2,4.9,5.7,5.5
SEN,23.5,23.7,21.6,20.2
SRB,26.2,23.0,19.1,19.5
SYC,17.3,17.8,16.7,15.7
SLE,32.8,32.0,29.1,29.7
SGP,15.0,14.6,12.0,11.9
SVK,21.9,21.1,20.0,18.1
SVN,40.0,33.6,26.3,24.5
SLB,18.3,14.8,13.8,13.7
SOM,13.1,12.7,11.5,12.7
ZAF,20.7,19.6,20.2,20.7
SSD,17.4,16.7,15.7,14.3
ESP,10.1,9.2,7.9,9.4
LKA,59.5,48.2,47.6,58.8
SDN,18.2,18.6,17.8,16.6
SUR,46.3,49.4,45.7,41.6
SWE,17.1,17.2,16.9,17.8
CHE,24.1,20.4,15.2,15.5
SYR,4.0,3.8,4.3,5.2
TJK,8.9,8.9,7.7,7.2
TZA,19.1,16.2,16.1,16.5
THA,14.5,17.9,19.5,18.2
MKD,10.5,9.9,7.3,9.9
TLS,22.0,15.3,15.1,13.2
TGO,24.7,24.7,23.3,23.1
TON,5.1,5.1,5.4,5.1
TTO,23.5,16.8,19.2,22.4
TUN,7.1,6.7,6.8,6.7
TUR,18.7,16.5,14.9,12.6
TKM,15.7,19.9,16.0,15.8
UGA,19.1,17.8,18.0,18.3
UKR,57.1,40.4,34.1,28.7
ARE,5.7,4.4,4.2,3.6
GBR,12.5,10.9,10.6,11.7
USA,15.9,16.7,18.2,19.5
URY,26.4,22.0,24.2,25.2
UZB,14.0,11.3,10.4,13.6
VUT,15.4,13.4,11.8,10.8
VEN,15.9,10.4,6.2,5.4
VNM,11.7,11.1,11.5,11.3
YEM,13.0,13.6,13.5,12.6
ZMB,21.2,18.5,18.3,18.2
ZWE,30.7,29.3,28.5,26.9
