Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Socio-economic sustainability] Research and development expenditure (% of GDP)
AFG,,-2.0662589540923366,-2.136034816102448,-1.7424214458521046,-1.4997636648374424,-1.5036800555938352,,,
AGO,,,-2.3153258950611946,,-2.51839318710243,-2.520692183394449,-0.6913288330720434,-1.0114589912543324,
ALB,-0.08488727103105212,-0.10642035696610361,-0.4327695659943552,0.24323606620538737,0.4700364709332615,0.46807815136653885,-0.5525308265655979,-0.3756187085572853,
AND,,,-0.283360333528733,,1.0029618501315005,0.9973395648137966,1.2298767775470403,1.3199553786348408,
ARE,0.6995823377186542,-0.09576906024259087,-0.10406925456998653,-0.04042929265996849,0.5442412705684601,0.5407218747808687,4.632204637581295,1.8797122087014722,
ARG,0.5004477447283446,0.43147012757125985,0.5234495217856264,0.33779118582717294,0.517257707064751,0.5095888504604421,-0.044717483908967647,0.5156445936847304,-0.6281266452068811
ARM,-0.25988433759829377,0.26637502835682153,-0.5224151054737287,0.9681586499724086,0.14623370888876264,0.1463702333887942,-0.6813685416819377,-0.9462446032854045,
ATG,,,,,0.4835282526851164,0.4888335009134905,0.07189868447464784,0.6297697726303537,
AUS,1.393536222381856,1.688323140945692,2.286478464879967,1.377897501666812,1.0906584315185526,1.090738637775078,0.8177899110612633,1.135181279389545,0.7161138228753607
AUT,0.995267036401236,0.7137294907443318,0.9417953726893685,0.4638646786562202,0.9422488322481568,0.9454511909464184,1.0479534012920833,1.2438719260044249,0.6127107099459576
AZE,-0.25988433759829377,0.19181595129223653,-0.5821787984599773,0.9051219035578852,-0.25177385279093484,-0.24798140800328178,-0.6295211870404688,-0.6690834544174605,-0.8349328710656877
BDI,-2.178817688232191,-2.1088641409863853,-2.136034816102448,-1.83697656547389,-1.9180088991449211,-1.9187870465328614,-0.7695575000440624,-1.8864186965041152,
BEL,1.2185391558146141,1.2569456236434506,1.7486052280037285,0.7475300375215763,0.9422488322481568,0.9454511909464184,1.012096352287703,1.2275683290121928,0.7161138228753607
