Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Gender] Share of seats in parliament (% held by women),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
AFG,,-2.002351173751264,-2.0463892766230747,-1.7109030726448429,,-1.4525424287059527,-1.451791681726457,,
AGO,,,-2.28544404856807,,-0.7307828536003304,-2.4509342783431594,-2.4480484599801198,-0.6774921039517344,-0.9190719416316845
ALB,-0.08488727103105212,-0.037186928263274056,-0.3431240265149822,0.2747544394126496,,0.5037659253128969,0.49921117568696555,-0.5796120512641015,-0.46800575817993323
AND,,,-0.283360333528733,,-0.9465371962177925,1.029945413635208,1.0284725891342248,1.4160534674226368,1.3906042989345129
ARE,0.7418230089590236,-0.031861279901517985,-0.07418740807686221,0.0541258269618168,-1.5758206955187237,0.5712248340721676,0.5718548991012954,4.753666353127665,1.8797122087014722
ARG,0.5487227975744804,0.49005225955057663,0.6130950612649999,0.36930955903443463,0.46485579507143937,0.5374953796925322,0.5407218747808687,0.00696835249374282,0.5699899169921697
ARM,-0.19350613993485705,0.3356084570596499,-0.40288771950123087,0.9996770231796703,-1.0184553104236131,0.20020083589617924,0.19825860725617248,-0.6712467320530736,-0.8864647476472205
ATG,,,,,-0.5869466251886889,0.5105118161888247,0.5095888504604421,0.10323322279379106,0.6623769666148172
AUS,1.4116393671991574,1.688323140945692,2.525533236824963,1.377897501666812,0.2580912167297047,1.1176419950222607,1.1218716620955047,0.8661377038629654,1.156919408712521
AUT,1.0194045628243047,0.7297064358295994,0.9716772191824928,0.4638646786562202,0.6356613163102635,0.9759782866277922,0.9765842152668465,1.0768651660298494,1.2547409906659128
AZE,-0.2297124295694589,0.20246724801574867,-0.6120606449531022,0.9366402767651469,-0.5060387467071406,-0.21804439841129947,-0.21684838368285364,-0.6188071438694902,-0.6201726634407646
BDI,-2.1667489250206566,-2.1088641409863853,-2.1659166625955724,-1.8054581922666282,,-1.8505499903856504,-1.8461433231185316,-0.769719018282821,-1.8918532288348593
BEL,1.248711063843449,1.2888995138139865,1.7784870744968524,0.7475300375215763,-0.16442770422949202,0.9624865048759373,0.96620654049337,1.077026684268608,1.2547409906659128
BEN,-1.653826488530464,-1.7573713491104848,-1.6878071187055816,-1.6163479530230576,-0.937547431942065,-1.3311163929392655,-1.3376372592182246,-0.7271858820764238,-1.3049237371145082
BFA,,,-2.5543806670061895,,-0.6139159180158716,-1.8977712265171394,-1.8980316969859097,-0.7567437197692238,-1.6636028709436117
BGD,-1.2857292105786788,-1.4112042055963403,-1.4487523467605858,-1.2066091013286544,-0.7667419107032407,-0.4811341425724547,-0.4866679277932215,-0.7271320426635043,-1.3049237371145082
BGR,0.2952787701322681,0.47407531446530843,0.28439474984063073,0.6214565446925291,-0.6139159180158716,0.31488098078693955,0.3124130297644041,-0.3647389543024166,0.07001294256372255
BHR,0.7478573905647907,0.26637502835682153,0.5234495217856264,0.0541258269618168,,0.604954288451803,0.602987923421722,1.4199299051528402,1.3906042989345129
BHS,,,0.045339977895635625,,0.17718333824815652,0.3823398895462103,0.3746790784052574,0.34960237631337765,0.8580201305216016
BIH,,,,,,0.517257707064751,0.5199665252339172,-0.5571071766637546,-0.3919223055495167
BLR,0.07200665071888994,0.372887995591943,0.3441584428268799,0.40082793224169627,,-0.035905344761268415,-0.04042791253376872,-0.47080259775381206,-0.15280288299678138
BLZ,0.053903505901589016,0.30898021525087016,-0.07418740807686221,0.6529749178997908,-0.6139159180158716,0.0855206910054182,0.08410418474793942,-0.49643015830348936,-0.21801727096570933
BOL,-0.452984548982837,-0.021209983178006427,0.07522182438875995,-0.07194766586723016,,-0.9331088312595688,-0.9329079430526743,-0.582304021910076,-0.47887482284142063
BRA,0.053903505901589016,-0.16500248894541983,0.583213214771875,-0.7653518764269894,-0.982496253320703,0.06528301837763772,0.06334883520098782,-0.20203624845971763,0.32543596210869047
BRB,0.5125165079398786,0.4847266111888206,0.583213214771875,0.36930955903443463,0.06930616693942517,0.5037659253128969,0.5095888504604421,-0.06926825620025512,0.4884719320310104
BRN,0.9349232203435669,0.2930032701656019,0.37404028932000427,0.24323606620538737,,0.6791590880870017,0.686009321609527,3.689476517361024,1.8797122087014722
BTN,,,-1.4786341932537106,,-1.4050151742798997,-1.0140595217706936,-1.0159293412404793,-0.6590790247332688,-0.8158158273475485
BWA,-0.5133283650405068,-0.1916307307542002,-0.22359664054248435,-0.10346603907449212,-0.8206804963576063,-1.6346814823559839,-1.6385898276490185,-0.29959326466983366,0.18413812150934591
CAF,-2.130542635386055,-1.8958382065161425,-2.0463892766230747,-1.5217928334012722,-1.2701687101439858,-2.3699835878320346,-2.365027061792314,-0.7652503470105032,-1.8049007115429552
CAN,1.248711063843449,1.2675969203669621,1.4199049165793594,1.0627137695941942,0.3210195666597978,1.0906584315185526,1.090738637775078,0.9360212618324635,1.1895266026969848
CHE,1.2607798270549837,0.9587093153851105,0.9119135261962442,0.9366402767651469,0.2401116881782496,1.1513714494018963,1.1530046864159313,1.8377775888210026,1.5319021395338561
