Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Gender] Female share of employment in senior and middle management (%),"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",[Gender] Total unemployment rate (female to male ratio),[Gender] Youth unemployment rate (female to male ratio),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,"[Work, employment and vulnerability] Employment in agriculture (% of total employment)","[Work, employment and vulnerability] Employment in services (% of total employment)","[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)","[Work, employment and vulnerability] Unemployment, total (% of labour force)","[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)","[Work, employment and vulnerability] Vulnerable employment (% of total employment)"
AFG,,-2.3698209107124324,-2.644026206485563,-1.83697656547389,,-2.5452972339783706,-0.1363655056470686,-0.3805227923552304,-1.8033287542541605,-1.804632624024629,,,1.5622068663711843,-1.323849222454832,-1.0497476462213948,0.5710652648978534,0.6109094104600644,0.8496602707492437
AGO,,,-2.4348532810336923,,,0.15205846441359386,-0.24104515200834906,-0.18898670578667828,-2.714024022504315,-2.707490329317011,-0.7026351097851363,-1.0929769762154924,0.2961359140396641,0.17503553582586764,0.19814949041964197,2.433133695902118,2.885531794303117,1.2492899903562114
ALB,-0.1754029951175561,0.05867474224833468,0.015458131402511297,0.11716257337634042,,-0.5827980559816529,0.09202645005027042,-1.2424351819137145,0.39583167129806446,0.395434427952209,-0.6389430843013796,-0.7125597130634126,1.431763192494604,-1.6478017347284024,-0.5764073530127257,2.2103220887734025,1.0437960233021677,0.2872184431542518
AND,,,-0.283360333528733,,,,,,0.9017734869925944,0.9039404918525166,1.2965299707413689,1.3471280402885608,,,,,,
ARE,0.5004477447283446,-0.394005368500931,-0.19371479404936004,-0.4816865175616333,,-2.337808334102066,1.586090493570363,0.433505575561115,0.40257756217399077,0.395434427952209,4.328819545779969,1.8797122087014722,-0.8855303081364212,0.5618445057047579,1.248104322627963,-1.0522764441827877,-1.041930384027967,-1.4075075899938154
ARG,0.3495882045841702,0.2876776218038459,0.4338039823062529,0.18019931979086404,,-0.02084895214999363,0.06347745558810303,0.433505575561115,0.39583167129806446,0.395434427952209,-0.18173878978906988,0.3526086237624104,-1.1617639704632983,0.8326107846199807,-0.09446087265480792,-0.4475020819762744,-0.23912248384806598,-0.5231418216043218
ARM,-0.16333423190602214,0.31430586361262625,-0.3132421800218579,0.873603530350623,,0.31632051014900187,-0.17443083159662512,-0.18898670578667828,-0.015667672133487184,-0.009294888213340579,-0.6314594059055705,-0.6799525190789486,0.31148222861337976,-0.7388006555130107,0.043238121733168676,-1.0204462145929711,-1.049801049716005,0.20211211397869394
ATG,,,,,,,,,0.3688481077943554,0.3746790784052574,0.02268946106623392,0.5862935139844018,,,,,,
AUS,1.278882971872284,1.5764845253488151,1.658959688524355,1.377897501666812,-1.0830925663421442,0.3249658809771813,-0.4504044447309097,-0.7157109438501966,0.955740614000011,0.9558288657198949,0.6533643440051407,1.048228762097641,-0.9622618810049982,1.02118015743594,-0.025611375460819315,0.18910250982005541,-0.026614510271033457,-0.9782756689344795
AUT,0.8745794042858972,0.559285688253405,0.7027406007443728,0.40082793224169627,,0.15205846441359386,-0.2981431409326837,-0.7635949654923341,0.8140769056055431,0.8105414188912351,0.9226152480155104,1.184092070366241,-0.88936688677985,0.28624311466604846,-0.2751908027890272,-0.7976346074642556,-1.1127663752203112,-1.0559814477469456
AZE,,,-0.3431240265149822,,,0.2817390268362845,0.13009177599982696,0.24196948899256293,-0.33947043417798684,-0.34138048096456175,-0.3523020499180144,0.09175107188669794,0.2462603916750892,0.12184930246752018,-0.18052274414729322,0.07769670625569781,0.13866946917776976,1.1937858626330213
BDI,-2.1426113985975888,-2.1408180311569214,-2.136034816102448,-1.8684949386811518,,-1.3781721721741553,-0.8120250412516965,-1.8170434416193701,-2.093402061919025,-2.095207517681948,-0.7528134426261011,-1.6092575476361717,2.34486890963067,-2.111972498583071,2.6853375765524676,-1.0841066737726042,-1.175731700724617,2.026347778480871
BEL,0.9349232203435669,0.6924268972973069,0.7326224472374973,0.6529749178997908,,-0.02084895214999363,0.8533329690414003,0.8165777486982193,0.8410604691092507,0.8416744432116618,0.8768517470339439,1.1623539410432648,-1.069686083021006,0.7939298876320918,-1.0153228976244002,-0.2246904748475589,-0.3099584750404102,-0.8524663127619156
BEN,-1.8167547918861724,-1.9703972835807273,-1.8969800441574525,-1.8054581922666282,,0.9301418389497376,-1.078482322898592,-1.8170434416193701,-1.4120670834503903,-1.4102809826325544,-0.7325698233683727,-1.359269060421948,0.8984787610579935,-0.521220609956135,1.1964671997324723,-1.1000217885675123,-1.270179688981076,1.9301406237606753
BFA,,,-2.7336717459649367,,,0.18663994772631123,-0.2220124890335708,0.0025493807818738404,-1.9315006808967747,-1.9291647213063372,-0.7622891792999313,-1.7559899205662592,2.237444707614662,-2.0152702561133484,2.0226611660603306,-0.9249555258235218,-1.104895709532273,1.9116392478529454
BGD,-1.5753795276554936,-1.6934635687694117,-1.7774526581849548,-1.4272377137794867,,-2.8305944713082902,0.044444792613324756,-0.4284068139973684,-0.9263629403836416,-0.9329079430526743,-0.7387613558541142,-1.4299179807216198,1.4931484507894652,-1.5801101649995968,-0.19773511844578992,-0.9886159850031546,-1.049801049716005,1.0753770568235494
