Country,Human Development Index (HDI),[Demography] Median age (years),[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"[Demography] Population, ages 15–64 (millions)","[Demography] Population, ages 65 and older (millions)","[Demography] Population, total (millions)","[Demography] Population, under age 5 (millions)","[Demography] Population, urban (%)",[Demography] Sex ratio at birth (male to female births),[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),[Education] Education Index,[Education] Expected years of schooling (years),"[Education] Expected years of schooling, female (years)","[Education] Expected years of schooling, male (years)",[Education] Government expenditure on education (% of GDP),"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)","[Education] Gross enrolment ratio, primary (% of primary school-age population)","[Education] Gross enrolment ratio, secondary (% of secondary school-age population)","[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)","[Education] Literacy rate, adult (% ages 15 and older)",[Education] Mean years of schooling (years),"[Education] Mean years of schooling, female (years)","[Education] Mean years of schooling, male (years)",[Education] Population with at least some secondary education (% ages 25 and older),"[Education] Population with at least some secondary education, female (% ages 25 and older)","[Education] Population with at least some secondary education, male (% ages 25 and older)",[Education] Primary school dropout rate (% of primary school cohort),"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",[Education] Survival rate to the last grade of lower secondary general education (%),[Environmental Sustainability] Carbon dioxide emissions (kg per 2011 PPP $ of GDP),[Environmental Sustainability] Carbon dioxide emissions per capita (tonnes),[Environmental Sustainability] Forest area (% of total land area),[Environmental Sustainability] Fossil fuel energy consumption (% of total energy consumption),[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),[Environmental Sustainability] Renewable energy consumption (% of total final energy consumption),"[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)","[Gender] Antenatal care coverage, at least one visit (%)","[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","[Gender] Maternal mortality ratio (deaths per 100,000 live births)",[Gender] Proportion of births attended by skilled health personnel (%),"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)","[Health] HIV prevalence, adult (% ages 15-49), total","[Health] Infants lacking immunization, DTP (% of one-year-olds)","[Health] Infants lacking immunization, measles (% of one-year-olds)",[Health] Life expectancy Index,[Health] Life expectancy at birth (years),"[Health] Life expectancy at birth, female (years)","[Health] Life expectancy at birth, male (years)","[Health] Mortality rate, female adult (per 1,000 people)","[Health] Mortality rate, infant (per 1,000 live births)","[Health] Mortality rate, male adult (per 1,000 people)","[Health] Mortality rate, under-five (per 1,000 live births)",[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",[Income_composition of resources] Gross fixed capital formation (% of GDP),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,"[Mobility and communication] Net migration rate (per 1,000 people)",[Socio-economic sustainability] Adjusted net savings (% of GNI),[Socio-economic sustainability] Gross capital formation (% of GDP),[Socio-economic sustainability] Rural population with access to electricity (%),"[Socio-economic sustainability] Total debt service (% of exports of goods, services and primary income)",[Trade and financial flows] Exports and imports (% of GDP),"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",[Trade and financial flows] Net official development assistance received (% of GNI),[Trade and financial flows] Private capital flows (% of GDP),"[Trade and financial flows] Remittances, inflows (% of GDP)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male"
AFG,,-1.2273471366016582,-0.9382568368010475,-0.19023101327757877,-0.23869091361574676,-0.17021539079082793,-0.09487241579687428,-1.471960700344317,0.45211888024812785,1.885676095645169,-2.4284030426917496,-2.7336717459649367,,,,,-4.520133519544722,-2.2317056394410035,-1.2419244600004322,,-1.8684949386811518,-1.9987855599187074,-1.963745251759657,-1.6905468872667277,-1.7137318591029014,-1.6535782657357707,,1.1247008272061563,,,-0.6818371300480814,-1.2485878049906514,,,-0.5576796510742614,2.226577788769827,,,3.469847350451829,,,-0.43287192317237316,3.8471935914237654,4.192465481181703,-1.8842794447652857,-1.8772763474389589,-2.179319737503851,-2.0510756632709306,1.8346268627960671,3.0293490951198376,1.5585770709926055,2.801644496065423,,,,,,,-2.313497823139876,,,,,,,,,,-1.0541499918480257,-2.221686994725108,1.4520724544023103
AGO,,-1.239609008899285,-0.8351816654780695,-0.19130589397294379,-0.23869091361574676,-0.17021539079082793,-0.09487241579687428,-0.7975585618797294,-1.6291748764151157,1.952220112691006,,-2.3750895880474436,,,,-1.2477825893085788,-1.9261557393945676,-2.3310303163568658,-1.2799617822629146,,,,,,,,2.7673968971736396,,,-0.6920985377970712,-0.6499176502218332,0.7068283393488072,-1.2995011470332236,,1.2992109336933964,3.49897312537759,,,2.9099213595379414,,,-0.4106513281371493,4.029592736927363,3.037883731887144,-2.7275158042561696,-2.728245678863962,-2.91000867986947,-3.1101964366026866,2.2921997588865533,3.393258411440162,2.2311782847599853,3.7264763221411723,,-0.6866371324905053,-0.2600631765545736,-2.2467623940096306,-0.7002123362037592,-1.0766733792232601,-0.20926046011863572,-3.733130397969133,-2.4592849320254673,-1.7682582549608266,-0.4165146644465054,-0.5475104175910661,-0.6069865620282648,-0.4252252336382757,0.29754536134144594,,1.4945700843151284,1.4965336492420587,0.8742772123653694
ALB,-0.06074974460798355,-0.2218736081962493,-0.3584589981092959,-0.23430112178754442,-0.2481543173416273,-0.23723925775691584,-0.26416488671485583,-0.8272492220637051,0.9724423194139388,0.06819263008075602,0.032046500439554315,-0.044305561583737885,-0.3370748428440347,-0.21406103494156126,,-0.05334409691695633,-0.09139096806884858,0.38384418601002795,-1.0137005264255377,,0.11716257337634042,-0.057323303438149883,-0.037423430073654645,0.29544351592783674,0.17956196027418814,0.38290739013246694,,,,0.37136364686722656,-0.4424410313512198,-0.1329978252072423,0.38170148042541596,-0.24958518834081359,-0.2416131685606175,-0.8825298718450935,,,-0.47763088549107674,0.24645877419850332,,-0.43287192317237316,-0.4391863279107736,-0.16928779393107443,0.39583167129806446,0.395434427952209,0.3363379069263509,0.24938020998729224,-0.7678189837185722,0.12147558620510339,-0.7319027380530669,-0.07770719827018722,,-0.6178113371842642,-0.27568548262209885,0.615241345791789,-0.5681980957251695,-0.42996403186472526,0.04898685261578933,-0.10274372541499092,0.5341673668911722,0.7739466558758455,,-0.9377819631437422,,-0.6187410953715309,0.1729574588288279,,0.1586238733894607,0.16683884941274085,0.05856628243086726
AND,,,,,,-0.2613377267784306,,1.6455586189731146,,,,-0.283360333528733,,,,,,,,,,,,,,,,,,,0.48322388360997853,0.08427063527491976,,,-0.6103573981598687,,,,,,,,,,0.8882817052407402,0.883185142305565,,,,-0.8070033236588997,,-0.7320099867863635,,,,,1.3257109325437326,1.3579971049500488,,,,0.7739466558758455,,,,,,,,,
ARE,0.43406954706490786,0.09693507154205075,-1.273251143600726,-0.2418252866550995,-0.2670811247933885,-0.24778233795382856,-0.281094133806654,0.9838810491588023,-0.06820455891768304,-0.23541444769087352,-0.5005183357360524,-0.3132421800218579,-0.3370748428440347,-0.7687801652863951,,-0.024211450761063104,0.28821553634336916,-0.6094025831485916,-1.0897751709505026,,-0.5762416371834188,-0.5075174498684241,-0.9160965417199013,-0.47786248177624135,-0.33679089955592717,-0.6153698921558849,-0.5667224430864306,-0.5402486330711818,0.4136149005331502,-0.09101121603029412,3.754970565800421,-1.2151618879933959,1.151567262862445,,-1.081164762737484,0.38128269689347677,,,-0.645608682765243,0.5372226139245867,,,-0.25678718240717624,0.3438596501998405,0.3688481077943554,0.3643014036317823,0.1380080511413966,0.42020614116983357,-0.3579099309708451,-0.5757338516048623,-0.7137243268701648,-0.5684342896573196,-0.7069474071627294,5.013385254168246,-0.16288411675810485,,4.585902742470534,1.8797122087014722,3.1288251748559692,,,0.7739466558758455,,,-0.39578289606535244,,,,1.0018807015623994,-1.335223794838896,1.8372692824269359
ARG,0.2952787701322681,0.15824443303018543,0.42748918322841184,-0.04404723870793661,0.016820986983029154,-0.015834573621749018,-0.010226180337883499,1.3189613569493837,-0.588527998083494,-0.02330539335726918,0.26637502835682153,0.4338039823062529,,,-1.9362381214510012,,0.35148328707873877,-0.24521210112376446,,,0.14868094658360237,0.11149950147320312,-0.1388087891097597,-0.6676739539399698,-0.5883474210116244,-0.7496835628637724,,,,0.23265118799797047,-0.17112545282810998,-0.8056944047770134,0.7797944704890081,,-0.7881447945737934,0.3426602414821113,,,-0.4745201855415551,0.432356966810262,,-0.38843073310192533,-0.25678718240717624,-0.4900049465128963,0.3688481077943554,0.3746790784052574,0.35721473385108315,0.13549625586559802,-0.48183592366201844,-0.19141840539741786,-0.17746119697455104,-0.3125851223529172,-0.5486780865699944,-0.2932327220132679,-0.07461511745642238,-0.8792520746505906,-0.2519453842360849,0.2547870418090179,0.14463400548039118,0.006646456808862726,-1.02896642742366,0.5156036703421727,1.9030915932907078,-1.3590563884833131,-0.2826380750137922,-0.6556012595111985,0.1563457384938122,-0.5725610726601469,-0.2961663260745969,-0.40566863384710455,0.18318878561530463
ARM,-0.14523108708872123,0.15824443303018543,-0.3713433945246681,-0.23107647970144934,-0.2481543173416273,-0.23573310344307116,-0.26416488671485583,0.48762287179806885,0.45211888024812785,-0.18966543597186078,0.298328918527358,-0.3132421800218579,,,,-0.28640526616410217,,,-0.44314069248830146,,0.8420851571433614,0.6742421845110459,0.6384789635003814,1.0652344863696233,1.0236002888426459,1.0653660412968673,,,,,,-0.843298561398926,1.0528665215243642,,-1.0120252196876245,0.17529626803286072,,,-0.5180699848348574,0.5658223358648576,,-0.43287192317237316,,,-0.008921781257560109,-0.009294888213340579,-0.10207545849302067,-0.2289323973238222,-0.2435167069482236,0.383354253089822,0.0861257651775303,0.12571386098003434,,-0.6700699325367584,-0.2770516918979661,2.0804309736764743,-0.6211760780379478,-0.6310417281022532,-0.32403704355615787,,2.3527151798848984,0.6585168112756938,,-0.14994407679441482,,,,,-0.3151159177189322,-0.11633689499535468,-0.38327713795032275
ATG,,-0.18508799130336884,0.06672608359798851,-0.25579873569484474,-0.2670811247933885,-0.2613377267784306,-0.29802338089845215,-0.8696644508979559,-1.1088514372493048,-0.01082839016117493,,,,,,,,,,,,,,,,,,,,-0.044773729740542,-0.04344753352311706,-0.35862276493871836,-2.1384574484069088,-0.2532625147635793,-1.081164762737484,0.5550837462446213,,,,,,,-0.6215854734143711,-0.2334312244474388,0.3486104351665749,0.3539237288583073,0.2110769453779588,0.20382662833861553,-0.01473025890298057,-0.21182453528453885,-0.22290722493180645,-0.3692074790514325,-0.1874111591300556,0.0032189427539394454,-0.28423914069709366,,-0.01564420093244301,0.5482517876691938,-2.093509371551292,,,0.14183084020834869,,1.0901711146813786,0.6149775053285856,-0.5634508491620294,-0.37522931222669126,-0.23026554552695144,,,
AUS,1.272848590266517,0.7590761756139055,0.6207551294589957,-0.1332623364232329,-0.08727645400165733,-0.1340676872585558,-0.1879832748017641,1.2510969908145826,-0.06820455891768304,-0.7594485819268371,1.5711588769870584,1.6888415350174788,1.296291103119553,1.692785975618805,0.12743722514300893,0.3545129492655489,0.28821553634336916,,0.013307174661487575,,1.3463791284595499,0.9837506601818594,1.0440203996448032,1.1952904950744,1.1824780918672966,1.1452282238799356,,,,1.2498758863725163,1.7600030766599073,-0.6385648197907349,0.9508757554750145,,-0.8177760273094475,-0.7795366574147856,,,-0.6736049823109374,,,-0.43287192317237316,-0.5303859006625723,-0.04100093289834571,0.928757050496302,0.9246958413994683,0.85825858004465,0.7960231897714258,-0.8536139017355383,-0.8002012803631926,-0.9136868498820886,-0.7236214894976948,0.10504302022608543,0.6572238103814335,0.00563482739995249,0.4589544521507557,0.6856141523439151,1.064532359089873,0.8237287908190644,0.1433841845886797,0.5035176846497048,0.7739466558758455,,-1.0453801929923772,-0.18457923010243996,,-0.03468904535886874,-0.4790929213396433,0.13019948592295674,0.08681092164523535,0.21717674102924198
AUT,0.8444074962570624,1.2985985567094904,1.3165125358890974,-0.19883005884049887,-0.15352028008282145,-0.20410386285233306,-0.26416488671485583,0.30099586492736524,0.45211888024812785,-1.1004866692867499,0.5220061497211125,0.6728587542512485,0.2618260040092806,0.6526876062222419,0.29941017069250964,0.41277824157733534,0.22494778560799955,0.7480346680348552,-0.06276746986347727,,0.36930955903443463,0.05522523316941878,0.46950336510687235,0.15835745269847726,-0.1679832338422356,0.5244812592569965,,-1.046972381851241,,-0.13724870232004624,0.48322388360997853,0.5731246713597845,0.46395209820714983,-0.2448571972258291,-0.25478260533201924,-0.7730995815128914,,,-0.6736049823109374,,,,-0.3479867551589749,1.6267282605271278,0.7870933421018341,0.7897860693442835,0.7329976184962579,0.5910320723523749,-0.7678189837185722,-0.7865971937717787,-0.6319214765471051,-0.717330116531193,,0.8002024749340273,-0.14197517479700647,0.23429204254177044,0.8900424031992189,1.1677884733740096,0.32636359592313474,,0.2685367874651221,0.7739466558758455,,-0.3286665602718085,-0.3505249676447283,,,-0.5270900801258478,-0.618309384028304,-0.4610725838399927,-0.4399237303068855
AZE,,-0.2218736081962493,-0.5388405479245075,-0.20742910440341902,-0.23869091361574676,-0.20786924863694475,-0.22184176898536045,-0.09346576323116672,0.45211888024812785,0.08898763540757997,,-0.3132421800218579,-0.582079734738573,-0.5607604914070825,,-1.0729867123732193,0.8576252929616958,0.45006063728726925,-0.40510337022581905,,,,,,,,,,,,,-0.9101503953934375,1.1482772381511757,,-1.0581182483875309,-0.6808348269190738,,,-0.49940578513772793,0.45142344810377527,,-0.43287192317237316,,,-0.32597865242613266,-0.3310028061910867,-0.3108437277403403,-0.7072450046349382,-0.3960410056450523,1.5056913968814742,0.17701782109204112,1.0652255573109544,,-0.4159152348540367,-0.2487176995245458,-0.2638724309390225,-0.3418572038116333,0.11348920120967454,-0.3909900505613792,,0.24810366597081066,0.5678219333755748,,-0.11711749819652624,,,,,-0.16351918456424702,0.07449893275792711,-0.41726509336426004
