Country,2010,2011,2012,2013,2014,2015,2016
AFG,3,5,3,4,4,2,2
AGO,3,5,3,4,4,2,2
ALB,6,0,5,6,5,7,5
AND,4,1,1,1,1,0,1
ARE,4,1,1,1,1,0,1
ARG,0,0,0,0,7,7,7
ARM,6,0,5,6,5,3,5
ATG,6,3,5,6,5,3,5
AUS,1,8,6,9,2,6,4
AUT,1,8,6,9,2,6,4
AZE,6,0,5,6,5,3,5
BDI,9,5,7,8,6,5,6
BEL,1,8,6,9,2,6,4
BEN,3,5,3,4,4,2,2
BFA,9,5,7,8,6,5,6
BGD,5,4,4,5,0,4,0
BGR,0,6,0,0,7,7,7
BHR,0,6,0,0,7,0,1
BHS,0,6,0,0,7,7,7
BIH,6,0,5,6,5,7,5
BLR,0,6,0,0,7,7,7
BLZ,2,3,5,2,3,3,9
BOL,8,2,2,3,8,1,3
BRA,2,3,5,2,3,3,5
BRB,0,0,0,0,7,7,7
BRN,7,7,6,7,2,8,4
BTN,5,4,4,5,0,4,0
BWA,2,2,2,3,8,1,3
CAF,9,9,7,8,6,5,6
CAN,1,8,6,9,2,6,4
CHE,7,8,6,9,2,6,4
CHL,0,0,0,0,7,7,7
CHN,2,0,0,0,5,0,5
CIV,3,5,7,8,4,2,2
CMR,3,5,3,4,4,2,2
COD,3,5,7,4,4,2,2
COG,5,4,4,5,0,4,0
COL,2,3,5,2,3,3,9
COM,3,4,3,4,4,2,2
CPV,8,2,2,3,8,1,3
CRI,6,0,5,6,5,3,5
CUB,0,0,0,0,7,7,7
CYP,4,1,1,1,1,0,1
CZE,4,1,1,1,1,0,1
DEU,1,8,6,9,2,6,4
DJI,3,5,3,4,4,2,2
DMA,6,3,5,2,3,3,9
DNK,1,8,6,9,2,6,4
DOM,2,3,2,2,3,3,9
DZA,2,3,5,2,3,3,9
ECU,2,3,5,2,3,3,9
EGY,8,2,2,3,8,1,3
ERI,5,5,3,4,4,2,2
ESP,4,1,1,1,1,0,1
EST,4,6,1,1,1,0,1
ETH,9,5,7,8,6,2,2
FIN,1,8,6,9,2,6,4
FJI,2,3,5,6,3,3,9
FRA,1,1,1,9,2,6,4
FSM,8,2,2,3,8,1,3
GAB,8,2,2,3,8,1,3
GBR,1,8,6,9,2,6,4
GEO,6,0,5,6,5,7,5
GHA,5,4,4,5,0,4,0
GIN,9,5,7,8,6,2,6
GMB,3,5,3,4,4,2,2
GNB,3,5,3,4,4,2,2
GNQ,3,4,4,4,4,2,0
GRC,4,6,1,1,1,0,1
GRD,6,3,5,6,5,3,5
GTM,8,4,4,5,0,1,3
GUY,8,2,2,3,8,1,3
HKG,1,8,6,9,2,6,4
HND,8,2,4,5,0,1,3
HRV,0,6,1,1,1,7,7
HTI,3,5,3,4,4,2,2
HUN,4,6,1,1,1,0,1
IDN,8,2,2,3,8,1,3
IND,5,4,4,5,0,4,0
IRL,1,1,6,9,2,6,4
IRN,6,0,5,6,5,3,5
IRQ,8,2,2,3,0,1,3
ISL,1,8,6,9,2,6,4
ISR,4,1,1,1,1,0,1
ITA,4,1,1,1,1,0,1
JAM,6,3,5,2,3,3,9
JOR,6,3,5,6,5,3,5
JPN,4,1,1,9,2,6,4
KAZ,0,0,0,0,7,7,7
KEN,5,4,4,5,0,4,0
KGZ,2,3,2,2,8,3,9
KHM,5,4,4,5,0,4,0
KIR,8,2,2,5,0,4,0
KNA,6,3,5,6,5,3,5
KOR,4,1,1,1,1,0,1
KWT,4,7,1,1,1,0,1
LAO,5,4,4,5,0,4,0
LBN,6,0,5,6,5,3,5
LBR,3,5,3,4,4,2,2
LBY,6,3,5,2,3,1,9
LCA,6,3,5,2,5,3,9
LIE,7,7,6,7,2,8,8
LKA,6,0,5,6,5,3,5
LSO,3,5,3,4,4,2,2
LTU,4,6,1,1,1,0,1
LUX,7,7,6,7,2,6,8
LVA,4,6,1,1,1,0,1
MAR,8,2,2,3,0,1,3
MCO,0,0,0,0,7,7,7
MDA,6,0,5,6,5,3,5
MDG,5,5,3,4,4,2,2
MDV,2,2,2,2,3,3,9
MEX,6,3,5,2,3,3,5
MHL,8,3,2,6,8,1,3
MKD,6,0,5,6,5,3,5
MLI,9,5,7,8,6,5,6
MLT,4,6,1,1,1,0,1
MMR,5,4,4,5,0,4,0
MNE,0,6,0,0,7,7,7
MNG,2,3,5,6,5,3,5
MOZ,9,9,7,8,6,5,6
MRT,3,5,3,4,4,2,2
MUS,6,0,5,6,5,7,5
MWI,3,5,3,4,4,2,2
MYS,0,0,0,0,5,7,7
NAM,5,4,4,5,0,4,0
NER,9,9,7,8,6,5,6
NGA,3,5,3,4,4,2,2
NIC,8,2,2,3,8,1,3
NLD,1,8,6,9,2,6,4
NOR,7,7,6,7,2,8,8
NPL,5,4,4,5,0,4,0
NRU,8,2,2,3,8,1,3
NZL,4,1,1,1,1,0,1
OMN,0,0,0,0,7,7,7
PAK,3,4,3,4,4,2,2
PAN,6,3,5,6,5,3,5
PER,2,3,5,2,3,3,9
PHL,2,2,2,3,8,1,9
PLW,6,0,5,0,7,7,7
PNG,5,4,4,4,4,2,2
POL,4,6,1,1,1,0,1
PRK,2,2,2,2,8,3,9
PRT,4,6,1,1,1,0,1
PRY,8,2,2,2,3,1,9
