Country,2015
Albania,405
Algeria,350
Argentina,475
Australia,503
Austria,485
Belgium,499
Brazil,407
Bulgaria,432
Canada,527
Chile,459
China,494
Colombia,425
Costa Rica,427
Croatia,487
Cyprus,443
Czechia,487
Denmark,500
Dominican Republic,358
Estonia,519
Finland,526
France,499
Georgia,401
Germany,509
Greece,467
"Hong Kong, China (SAR)",527
Hungary,470
Iceland,482
Indonesia,397
Ireland,521
Israel,479
Italy,485
Japan,516
Jordan,408
Korea (Republic of),517
Latvia,488
Lebanon,347
Lithuania,472
Luxembourg,481
Malta,447
Mexico,423
Moldova (Republic of),416
Montenegro,427
Netherlands,503
New Zealand,509
Norway,513
Peru,398
Poland,506
Portugal,498
Qatar,402
Romania,434
Russian Federation,495
Singapore,535
Slovakia,453
Slovenia,505
Spain,496
Sweden,500
Switzerland,492
Thailand,409
The former Yugoslav Republic of Macedonia,352
Trinidad and Tobago,427
Tunisia,361
Turkey,428
United Arab Emirates,434
United Kingdom,498
United States,497
Uruguay,437
Viet Nam,487
