Country,2015
Albania,427
Algeria,376
Argentina,475
Australia,510
Austria,495
Belgium,502
Brazil,401
Bulgaria,446
Canada,528
Chile,447
China,518
Colombia,416
Costa Rica,420
Croatia,475
Cyprus,433
Czechia,493
Denmark,502
Dominican Republic,332
Estonia,534
Finland,531
France,495
Georgia,411
Germany,509
Greece,455
"Hong Kong, China (SAR)",523
Hungary,477
Iceland,473
Indonesia,403
Ireland,503
Israel,467
Italy,481
Japan,538
Jordan,409
Korea (Republic of),516
Latvia,490
Lebanon,386
Lithuania,475
Luxembourg,483
Malta,465
Mexico,416
Moldova (Republic of),428
Montenegro,411
Netherlands,509
New Zealand,513
Norway,498
Peru,397
Poland,501
Portugal,501
Qatar,418
Romania,435
Russian Federation,487
Singapore,556
Slovakia,461
Slovenia,513
Spain,493
Sweden,493
Switzerland,506
Thailand,421
The former Yugoslav Republic of Macedonia,384
Trinidad and Tobago,425
Tunisia,386
Turkey,425
United Arab Emirates,437
United Kingdom,509
United States,496
Uruguay,435
Viet Nam,525
