Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,41,14.0,5.0,5.0,5.0,48,5,5,5.0,5.0,58,5.0,8.0,8.0,8.0,79,8.0,8.0,8.0,8.0,95,90,86,88,92,96,83,68
AGO,50,14.0,5.0,5.0,5.0,57,5,6,5.0,8.0,77,8.0,8.0,8.0,8.0,77,8.0,8.0,8.0,8.0,90,81,77,77,78,82,77,57
ALB,59,17.0,8.0,8.0,8.0,80,8,8,8.0,8.0,97,8.0,8.0,8.0,8.0,92,8.0,8.0,8.0,8.0,102,98,98,99,97,105,88,68
AND,13,5.0,5.0,5.0,5.0,14,5,6,5.0,5.0,28,8.0,8.0,8.0,8.0,30,8.0,8.0,8.0,8.0,36,35,33,36,35,37,31,21
ARE,56,17.0,8.0,8.0,8.0,74,8,9,8.0,8.0,73,8.0,8.0,8.0,8.0,80,8.0,8.0,8.0,8.0,81,80,80,80,81,87,75,59
ARG,59,17.0,8.0,8.0,8.0,76,9,9,8.0,8.0,95,8.0,8.0,8.0,8.0,98,8.0,8.0,8.0,8.0,106,100,100,99,100,100,83,69
ARM,47,17.0,8.0,8.0,8.0,78,8,9,8.0,8.0,94,8.0,8.0,8.0,8.0,99,8.0,8.0,8.0,8.0,102,97,95,95,97,102,93,68
ATG,38,4.0,4.0,4.0,4.0,39,4,5,4.0,4.0,55,5.0,5.0,5.0,5.0,57,8.0,8.0,8.0,8.0,62,53,56,49,54,58,46,32
AUS,59,18.0,8.0,8.0,8.0,82,9,9,8.0,8.0,87,8.0,8.0,8.0,8.0,89,8.0,8.0,8.0,8.0,100,94,93,93,92,99,86,68
AUT,58,17.0,8.0,8.0,8.0,76,9,9,8.0,8.0,85,8.0,8.0,8.0,8.0,92,8.0,8.0,8.0,8.0,106,99,98,99,99,102,87,69
AZE,43,14.0,3.0,3.0,5.0,77,9,9,8.0,8.0,92,8.0,8.0,8.0,8.0,95,8.0,8.0,8.0,8.0,108,101,101,100,100,103,91,68
BDI,60,17.0,8.0,8.0,8.0,72,8,8,8.0,8.0,93,8.0,8.0,8.0,8.0,94,8.0,8.0,8.0,8.0,104,90,90,94,97,97,87,67
BEL,53,17.0,8.0,8.0,8.0,73,9,9,8.0,8.0,84,8.0,8.0,8.0,8.0,93,8.0,8.0,8.0,8.0,104,97,94,97,97,101,79,69
