Attribute,Minimum,Maximum
Aridity Index (AI),0.0,54.67741935483871
Cloud Cover (CLD) [percentage],0.0,100.0
Diurnal Temperature Range (DTR) [degrees Celsius],2.4,21.6
Ground Frost Frequency (FRS) [days],0.0,31.0
Maximum Temperature (TMX) [degrees Celsius],-25.5,46.7
Mean Temperature (TMP) [degrees Celsius],-29.6,39.1
Minimum Temperature (TMN) [degrees Celsius],-34.8,32.7
Potential Evapotranspiration (PET) [mm_day],0.0,12.2
Potential Evapotranspiration (PET) [mm_month],0.0,368.9
Precipitation (PRE) [mm_month],0.0,1480.5
Rain Days (WET) [days],0.0,31.0
Vapour Pressure (VAP) [hPa],0.1,34.4
