Year,0.5,0.6,0.7,0.8,0.9,WSBM
2010,-3059.2602086777,-3050.67894030399,-2953.90450868978,-3049.25179715309,-3034.91436681312,-2872.83112621522
2011,-2986.44829816194,-2986.44829816194,-2982.44113569448,-3054.75320122599,-2985.72956325082,-2917.01650324895
2012,-2967.14051916402,-2943.08001557794,-2965.37280634068,-2940.22262438359,-2940.22262438359,-2823.18901698906
2013,-2958.66683054074,-3025.65074873382,-2946.95605234111,-2946.95605234111,-2946.95605234111,-2763.56049139012
2014,-3031.6890108024,-2991.35763478599,-2991.35763478599,-2988.05602714591,-2988.05602714591,-2775.51427237577
2015,-2864.01245181791,-2857.72397174913,-2862.40167270074,-2857.72397174913,-2857.72397174913,-2653.51965280431
2016,-2933.43823920863,-3023.1221299815,-2957.9870166188,-2957.9870166188,-2957.9870166188,-2751.96253013947
