Attribute,Mean,Variance
Aridity Index (AI),1.4623240996812688,4.577403034976073
Cloud Cover (CLD) [percentage],56.10562429277589,317.59889859781134
Diurnal Temperature Range (DTR) [degrees Celsius],10.248245711988565,9.606075625350115
Ground Frost Frequency (FRS) [days],3.9031393305937705,60.754990516826616
Maximum Temperature (TMX) [degrees Celsius],24.03213291346555,106.27316336206123
Mean Temperature (TMP) [degrees Celsius],18.88513563813948,98.01081025794082
Minimum Temperature (TMN) [degrees Celsius],13.780646253945566,94.86042388853178
Potential Evapotranspiration (PET) [mm_day],3.3936271783463123,2.893537745814298
Potential Evapotranspiration (PET) [mm_month],103.3629793134347,2705.2360344171657
Precipitation (PRE) [mm_month],100.74078896432613,10958.781633860297
Rain Days (WET) [days],10.628799282353642,45.90372583181652
Vapour Pressure (VAP) [hPa],17.05013288368769,69.88041776567823
