"Mandatory paid maternity leave (days)"
"HDI Rank","Country","2017"
"168"," Afghanistan","90"
"68"," Albania","365"
"85"," Algeria","98"
"147"," Angola","90"
"70"," Antigua and Barbuda","91"
"47"," Argentina","90"
"83"," Armenia","140"
"3"," Australia","0  a"
"20"," Austria","112"
"80"," Azerbaijan","126"
"54"," Bahamas","91"
"43"," Bahrain","60"
"136"," Bangladesh","112"
"58"," Barbados","84"
"53"," Belarus","126"
"17"," Belgium","105"
"106"," Belize","98"
"163"," Benin","98"
"134"," Bhutan","56"
"118"," Bolivia (Plurinational State of)","90"
"77"," Bosnia and Herzegovina","365"
"101"," Botswana","84"
"79"," Brazil","120"
"39"," Brunei Darussalam","91"
"51"," Bulgaria","410"
"183"," Burkina Faso","98"
"185"," Burundi","84"
"125"," Cabo Verde","60"
"146"," Cambodia","90"
"151"," Cameroon","98"
"12"," Canada","105"
"188"," Central African Republic","98"
"186"," Chad","98"
"44"," Chile","126"
"86"," China","128"
"90"," Colombia","126"
"165"," Comoros","98"
"137"," Congo","105"
"176"," Congo (Democratic Republic of the)","98"
"63"," Costa Rica","120"
"46"," Croatia","208"
"32"," Cyprus","126"
"27"," Czechia","196"
"170"," Côte d'Ivoire","98"
"11"," Denmark","126"
"172"," Djibouti","98"
"103"," Dominica","84"
"94"," Dominican Republic","98"
"86"," Ecuador","84"
"115"," Egypt","90"
"121"," El Salvador","112"
"141"," Equatorial Guinea","84"
"179"," Eritrea","60"
"30"," Estonia","140"
"144"," Eswatini (Kingdom of)","14"
"173"," Ethiopia","90"
"92"," Fiji","84"
"15"," Finland","147"
"24"," France","112"
"110"," Gabon","98"
"174"," Gambia","180"
"70"," Georgia","183"
"5"," Germany","98"
"140"," Ghana","84"
"31"," Greece","119"
"75"," Grenada","90"
"127"," Guatemala","84"
"175"," Guinea","98"
"177"," Guinea-Bissau","60"
"125"," Guyana","91"
"168"," Haiti","42"
"133"," Honduras","84"
"7"," Hong Kong, China (SAR)","70"
"45"," Hungary","168"
"6"," Iceland","90"
"130"," India","182"
"116"," Indonesia","90"
"60"," Iran (Islamic Republic of)","270"
"120"," Iraq","98"
"4"," Ireland","182"
"22"," Israel","105"
"28"," Italy","150"
"97"," Jamaica","56"
"19"," Japan","98"
"95"," Jordan","70"
"58"," Kazakhstan","126"
"142"," Kenya","90"
"134"," Kiribati","84"
"22"," Korea (Republic of)","90"
"56"," Kuwait","70"
"122"," Kyrgyzstan","126"
"139"," Lao People's Democratic Republic","105"
"41"," Latvia","112"
"80"," Lebanon","70"
"159"," Lesotho","84"
"181"," Liberia","98"
"108"," Libya","98"
"35"," Lithuania","126"
"21"," Luxembourg","112"
"161"," Madagascar","98"
"171"," Malawi","56"
"57"," Malaysia","60"
"101"," Maldives","60"
"182"," Mali","98"
"29"," Malta","126"
"159"," Mauritania","98"
"65"," Mauritius","98"
"74"," Mexico","84"
"112"," Moldova (Republic of)","126"
"92"," Mongolia","120"
"50"," Montenegro","45"
"123"," Morocco","98"
"180"," Mozambique","60"
"148"," Myanmar","98"
"129"," Namibia","84"
"149"," Nepal","52"
"10"," Netherlands","112"
"16"," New Zealand","112  b"
"124"," Nicaragua","84"
"189"," Niger","98"
"157"," Nigeria","84"
"48"," Oman","50"
"150"," Pakistan","84"
"119"," Palestine, State of","84"
"66"," Panama","98"
"153"," Papua New Guinea","0"
"110"," Paraguay","98"
"89"," Peru","98"
"113"," Philippines","60"
"33"," Poland","140"
"37"," Qatar","50"
"52"," Romania","126"
"49"," Russian Federation","140"
"158"," Rwanda","84"
"72"," Saint Kitts and Nevis","91"
"90"," Saint Lucia","91"
"99"," Saint Vincent and the Grenadines","91"
"104"," Samoa","28"
"n.a"," San Marino","630"
"143"," Sao Tome and Principe","98"
"39"," Saudi Arabia","70"
"164"," Senegal","98"
"67"," Serbia","135"
"62"," Seychelles","98"
"184"," Sierra Leone","84"
"9"," Singapore","105"
"38"," Slovakia","238"
"25"," Slovenia","105"
"152"," Solomon Islands","84"
"113"," South Africa","120"
"187"," South Sudan","56"
"26"," Spain","112"
"76"," Sri Lanka","84"
"167"," Sudan","56"
"7"," Sweden","0"
"2"," Switzerland","98"
"155"," Syrian Arab Republic","120"
"127"," Tajikistan","140"
"154"," Tanzania (United Republic of)","84"
"83"," Thailand","90"
"80"," The former Yugoslav Republic of Macedonia","270"
"132"," Timor-Leste","84"
"165"," Togo","98"
"69"," Trinidad and Tobago","98"
"95"," Tunisia","30"
"64"," Turkey","112"
"162"," Uganda","84"
"88"," Ukraine","126"
"34"," United Arab Emirates","45"
"14"," United Kingdom","42"
"55"," Uruguay","98"
"105"," Uzbekistan","126"
"138"," Vanuatu","84"
"78"," Venezuela (Bolivarian Republic of)","182"
"116"," Viet Nam","180"
"178"," Yemen","70"
"144"," Zambia","84"
"156"," Zimbabwe","98"
"<a name="a"></a>a: Refers to 2009.<br /><a name="a"></a>b: Refers to 2015.<br />"
