"Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older)"
"HDI Rank (2017)","Country","2011","","2014","","2017",""
"67"," Serbia","62.3","","83.0","","70.1",""
"184"," Sierra Leone","12.8","","12.5","","15.4",""
"9"," Singapore","98.2","","96.1","","96.3",""
"38"," Slovakia","78.9","","80.0","","83.1",""
"25"," Slovenia","98.1","","97.0","","96.9",""
"n.a"," Somalia","","","33.7","","33.7"," a"
"113"," South Africa","51.0","","70.4","","70.0",""
"187"," South Sudan","","","","","4.7",""
"26"," Spain","91.7","","97.6","","91.6",""
"76"," Sri Lanka","67.2","","83.1","","73.4",""
"167"," Sudan","4.4","","10.0","","10.0"," a"
"7"," Sweden","99.0","","99.8","","100.0",""
"2"," Switzerland","","","96.7","","98.9",""
"155"," Syrian Arab Republic","19.6","","19.6"," b","19.6"," b"
"127"," Tajikistan","2.1","","9.1","","42.1",""
"154"," Tanzania (United Republic of)","13.8","","34.3","","42.2",""
"83"," Thailand","72.6","","75.4","","79.8",""
"80"," The former Yugoslav Republic of Macedonia","71.5","","64.0","","72.9",""
"165"," Togo","9.2","","15.1","","37.6",""
"69"," Trinidad and Tobago","69.9","","","","73.6",""
"95"," Tunisia","","","20.7","","28.4",""
"64"," Turkey","32.7","","44.5","","54.3",""
"108"," Turkmenistan","0.8","","","","35.5",""
"162"," Uganda","15.1","","36.6","","52.7",""
"88"," Ukraine","39.2","","51.7","","61.3",""
"34"," United Arab Emirates","47.2","","67.7","","76.4",""
"14"," United Kingdom","97.7","","98.7","","96.1",""
"13"," United States","84.1","","94.8","","92.7",""
"55"," Uruguay","23.8","","41.3","","60.6",""
"105"," Uzbekistan","21.3","","39.3","","36.0",""
"78"," Venezuela (Bolivarian Republic of)","36.2","","53.3","","70.0",""
"116"," Viet Nam","18.9","","32.0","","30.4",""
"178"," Yemen","1.1","","1.7","","1.7"," a"
"144"," Zambia","23.3","","33.2","","40.3",""
"156"," Zimbabwe","37.1","","29.0","","51.7",""
"<a name=""a""></a>a: Refers to 2014.<br /><a name=""b""></a>b: Refers to 2011.<br />"
