Country,2010,2011,2012,2013,2014,2015,2016
AFG,-0.20548178370783696,-0.3824102927054547,-0.2962143524245641,-0.3824102927054547,-0.2327015543228551,0.05310603713483544,-0.11474921499110981
ALB,-0.6682178841631451,-0.5774853154464179,-0.3688004073979456,-0.2508480680662005,-0.1827986415286552,-0.5638754301389088,-0.5094358889088727
DZA,0.8107229859195065,0.8787724124570514,0.8878456693287246,0.8923822977645609,0.6383311053577249,0.6383311053577249,0.6564776191010703
AND,-0.808853365674072,-0.8542196500324355,-0.7907068519307265,-0.6772911410348177,-0.6909010263423268,-0.7362673107006904,-0.6591446272914724
AGO,2.7251801858424476,2.711570300534939,2.7614732133291384,2.720643557406612,2.69796041522743,2.6299109886898844,2.6798139014840845
ATG,-0.9313423334416535,1.6681457602925776,0.24818105987579833,1.0057980086604699,0.9604317243021063,0.9785782380454517,0.9695049811737785
ARG,-0.8769027922116174,-0.8814394206474537,-0.8769027922116174,-0.7816335950590539,-0.7181207969573447,-0.6727545125989813,-0.6772911410348177
ARM,-0.5366556595238907,-0.6409981135481269,-0.7135841685215085,-0.5638754301389088,-0.5321190310880545,-0.4005568064488001,-0.3415806367829277
AUS,-0.3778736642696183,-0.2962143524245641,-0.4005568064488001,-0.28260446711705506,-0.35519052209043656,-0.527582402652218,-0.4549963476788364
AUT,-1.2942726083085618,-1.2851993514368891,-1.2897359798727255,-1.2851993514368891,-1.2851993514368891,-1.2806627230010528,-1.2806627230010528
AZE,2.394006310026394,2.4892755071789576,2.3622499109755393,2.3577132825397036,2.3531766541038666,2.158101631362903,1.5093637650383052
BHS,0.6201845916143797,0.8061863574836701,0.5249153944618161,1.0420910361471603,0.7109171603311066,0.8379427565345247,0.7517468162536338
BHR,-0.019480017838546287,-0.028553274710219255,0.1166188352365442,-0.09660270124776463,0.20735140395327137,-0.15557887091363704,-0.11021258655527344
BGD,0.27540083049081676,0.2935473442341619,0.2572543167474713,0.27086420205498013,0.2663275736191438,0.2935473442341619,0.2799374589266531
BRB,-0.9721719893641807,-0.3279707514754184,-0.9086591912624717,-0.795243480366563,-0.6999742832139995,-0.8678295353399446,-0.7861702234948902
BLR,-0.44138646237132734,-0.2463114396303642,-0.2327015543228551,-0.436849833935491,-0.4277765770638183,-0.45045971924300005,-0.7997801088023992
BEL,-1.1218807277467806,-1.130953984618453,-1.117344099310944,-1.0765144433884168,-1.090124328695926,-1.1264173561826167,-1.130953984618453
BLZ,0.02588626651981704,-0.46860623298634535,-0.3597271505262729,-0.436849833935491,-0.5684120585747453,-0.28260446711705506,0.05310603713483544
BEN,-0.046699788453564685,-0.268994581809546,0.07578917931401698,-0.2599213249378733,0.10754557836487148,-0.12382247186278252,-0.1465056140419643
BTN,-0.0013335040952011056,-0.014943389402709928,0.06217929400650791,0.1710583764665805,0.09847232149319878,0.06671592244234427,0.1256920921082174
BOL,0.30715722954167124,0.39788979825839865,0.47047585323177965,0.6746241328444157,0.5566717935126707,0.42964619730925263,-0.09206607281192801
BIH,-1.0674411865167441,-1.0765144433884168,-1.0810510718242534,-1.0855877002600898,-1.0765144433884168,-1.0991975855675988,-1.090124328695926
BWA,1.1917997745297602,1.908587067391904,1.944880094878595,2.1218086038762127,2.194394658849594,2.099125461697031,2.412152823769739
BRA,-0.8678295353399446,-0.7907068519307265,-0.8995859343907991,-0.8769027922116174,-0.8950493059549628,-0.9812452462358534,-0.9903185031075261
BRN,1.5275102787816501,1.5275102787816501,1.414094567885741,1.454924223808269,1.3460451413481958,1.382338168834887,1.29160560011816
BGR,-1.0356847874658897,-0.9948551315433625,-0.9268057050058172,-0.9540254756208353,-1.0855877002600898,-1.1400272414901258,-1.1763202689768166
BFA,1.0239445224038148,0.90599218307207,1.5864864484475232,1.1872631460939236,0.9332119536870881,1.3505817697840325,1.8405376408543588
BDI,1.0511642930188334,0.7562834446894702,0.5657450503843432,1.2507759441956328,0.7835032153044883,0.5067688807184707,0.4568659679242708
CPV,-0.10113932968360073,0.021349638083980684,-0.23723818275869146,-0.05577304532523715,0.030422894955653652,-0.17372538465698245,-0.08752944437609166
KHM,-0.046699788453564685,-0.05577304532523715,-0.20548178370783696,-0.09660270124776463,-0.07845618750441893,-0.15557887091363704,-0.26445795337370936
CMR,0.07578917931401698,-0.06484630219690987,0.20735140395327137,0.27086420205498013,0.41603631200174357,0.13022872054405327,0.28447408736248947
CAN,-0.9358789618774899,-0.8769027922116174,-0.8133899941099083,-0.7907068519307265,-0.7544138244440357,-0.9268057050058172,-0.9358789618774899
CAF,0.06671592244234427,0.16652174803074415,0.18920489020992592,0.25271768831163494,0.679160761280252,0.3752066560792169,0.5249153944618161
TCD,2.303273741309667,2.480202250307284,2.0673690626461765,2.5301051631014846,2.330493511924685,2.3214202550530123,1.7860980996243225
CHL,0.23910780300412587,0.15744849115907142,0.08939906462152605,0.0032031243406352525,-0.046699788453564685,-0.09206607281192801,-0.17372538465698245
CHN,-1.0765144433884168,-1.1128074708751077,-1.0991975855675988,-1.0946609571317623,-1.1037342140034352,-1.090124328695926,-1.0855877002600898
COL,-0.014943389402709928,0.27540083049081676,0.4114996835659072,0.5158421375901432,0.5203787660259795,0.04403278026316247,-0.28714109555289113
COM,0.8197962427911792,1.3324352560406871,1.2870689716823236,1.2008730314014329,1.622779475934214,1.4231678247574138,1.5365835356533228
COG,1.7951713564959952,1.91312369582774,2.044685920466995,1.6363893612417226,1.4413143385007599,1.5365835356533228,1.4730707375516143
