"Carbon dioxide emissions (kg per 2011 PPP $ of GDP)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014",""
"168"," Afghanistan","","","","","","","0.05","","0.18","","0.25","","0.19","","0.17","","0.16",""
"68"," Albania","0.35","","0.15","","0.17","","0.18","","0.16","","0.18","","0.16","","0.17","","0.18",""
"85"," Algeria","0.29","","0.35","","0.28","","0.26","","0.26","","0.25","","0.26","","0.27","","0.28",""
"147"," Angola","0.12","","0.31","","0.20","","0.25","","0.21","","0.21","","0.22","","0.20","","0.21",""
"70"," Antigua and Barbuda","0.26","","0.23","","0.22","","0.24","","0.29","","0.29","","0.28","","0.28","","0.28",""
"47"," Argentina","0.32","","0.26","","0.26","","0.27","","0.24","","0.23","","0.24","","0.23","","0.25",""
"83"," Armenia","","","0.49","","0.39","","0.27","","0.22","","0.24","","0.26","","0.25","","0.24",""
"3"," Australia","0.54","","0.51","","0.49","","0.44","","0.43","","0.42","","0.40","","0.37","","0.35",""
"20"," Austria","0.24","","0.22","","0.20","","0.22","","0.19","","0.17","","0.17","","0.17","","0.15",""
"80"," Azerbaijan","","","1.31","","0.82","","0.51","","0.21","","0.23","","0.24","","0.23","","0.23",""
"54"," Bahamas","0.25","","0.21","","0.17","","0.16","","0.16","","0.18","","0.18","","0.26","","0.22",""
"43"," Bahrain","0.71","","0.61","","0.62","","0.50","","0.58","","0.56","","0.50","","0.56","","0.54",""
"136"," Bangladesh","0.11","","0.13","","0.13","","0.14","","0.16","","0.16","","0.16","","0.16","","0.15",""
"58"," Barbados","0.29","","0.23","","0.28","","0.31","","0.32","","0.33","","0.32","","0.31","","0.27",""
"53"," Belarus","","","1.09","","0.71","","0.55","","0.41","","0.39","","0.38","","0.38","","0.37",""
"17"," Belgium","0.35","","0.34","","0.30","","0.26","","0.25","","0.22","","0.21","","0.21","","0.20",""
"106"," Belize","0.32","","0.29","","0.23","","0.19","","0.21","","0.23","","0.18","","0.19","","0.18",""
"163"," Benin","0.10","","0.15","","0.14","","0.17","","0.30","","0.31","","0.30","","0.30","","0.31",""
"134"," Bhutan","0.10","","0.17","","0.20","","0.13","","0.10","","0.15","","0.15","","0.17","","0.17",""
"118"," Bolivia (Plurinational State of)","0.23","","0.32","","0.30","","0.28","","0.28","","0.29","","0.32","","0.30","","0.31",""
"77"," Bosnia and Herzegovina","","","0.49","","0.58","","0.52","","0.59","","0.65","","0.61","","0.59","","0.59",""
"101"," Botswana","0.24","","0.22","","0.21","","0.19","","0.17","","0.15","","0.14","","0.16","","0.20",""
"79"," Brazil","0.14","","0.14","","0.17","","0.15","","0.15","","0.15","","0.15","","0.16","","0.17",""
"39"," Brunei Darussalam","0.28","","0.19","","0.17","","0.17","","0.26","","0.30","","0.29","","0.24","","0.29",""
"51"," Bulgaria","0.92","","0.82","","0.60","","0.50","","0.39","","0.43","","0.39","","0.34","","0.36",""
"183"," Burkina Faso","0.08","","0.07","","0.08","","0.07","","0.09","","0.09","","0.10","","0.12","","0.10",""
"185"," Burundi","0.04","","0.05","","0.06","","0.03","","0.03","","0.04","","0.04","","0.04","","0.06",""
