"Carbon dioxide emissions per capita (tonnes)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014",""
"168"," Afghanistan","0.2","","0.1","","0.0","","0.1","","0.3","","0.4","","0.3","","0.3","","0.3",""
"68"," Albania","1.7","","0.7","","1.0","","1.4","","1.6","","1.8","","1.7","","1.7","","2.0",""
"85"," Algeria","3.0","","3.3","","2.8","","3.2","","3.3","","3.3","","3.5","","3.5","","3.7",""
"35"," Andorra","7.5","","6.7","","8.0","","7.3","","6.1","","5.9","","5.9","","5.9","","5.8",""
"147"," Angola","0.4","","0.8","","0.6","","1.0","","1.2","","1.3","","1.3","","1.3","","1.3",""
"70"," Antigua and Barbuda","4.2","","3.7","","4.1","","4.8","","5.5","","5.4","","5.4","","5.4","","5.4",""
"47"," Argentina","3.4","","3.7","","3.8","","4.1","","4.6","","4.6","","4.6","","4.5","","4.7",""
"83"," Armenia","","","1.1","","1.1","","1.5","","1.5","","1.7","","2.0","","1.9","","1.9",""
"3"," Australia","15.5","","15.6","","17.2","","17.2","","17.7","","17.5","","17.1","","16.1","","15.4",""
"20"," Austria","7.5","","7.5","","7.8","","9.0","","8.1","","7.7","","7.4","","7.4","","6.9",""
"80"," Azerbaijan","","","4.3","","3.7","","4.1","","3.4","","3.6","","3.8","","3.8","","3.9",""
"54"," Bahamas","7.6","","6.0","","5.6","","5.3","","4.6","","5.1","","5.3","","7.4","","6.3",""
"43"," Bahrain","25.1","","26.3","","28.1","","21.6","","23.6","","22.4","","20.5","","23.8","","23.4",""
"136"," Bangladesh","0.1","","0.2","","0.2","","0.3","","0.4","","0.4","","0.4","","0.4","","0.5",""
"58"," Barbados","4.1","","3.1","","4.4","","4.9","","5.3","","5.5","","5.2","","5.1","","4.5",""
"53"," Belarus","","","6.0","","5.4","","6.1","","6.6","","6.8","","6.7","","6.7","","6.7",""
"17"," Belgium","10.6","","11.1","","11.2","","10.4","","10.2","","9.0","","8.5","","8.7","","8.3",""
"106"," Belize","1.7","","1.8","","1.6","","1.5","","1.7","","1.8","","1.4","","1.5","","1.4",""
"163"," Benin","0.1","","0.2","","0.2","","0.3","","0.6","","0.6","","0.6","","0.6","","0.6",""
"134"," Bhutan","0.2","","0.5","","0.7","","0.6","","0.7","","1.0","","1.1","","1.2","","1.3",""
"118"," Bolivia (Plurinational State of)","0.8","","1.3","","1.3","","1.3","","1.5","","1.6","","1.8","","1.8","","1.9",""
"77"," Bosnia and Herzegovina","","","0.9","","3.7","","4.3","","5.7","","6.5","","6.1","","6.1","","6.2",""
"101"," Botswana","2.0","","1.9","","2.2","","2.2","","2.3","","2.0","","2.0","","2.5","","3.2",""
"79"," Brazil","1.4","","1.6","","1.9","","1.9","","2.1","","2.2","","2.3","","2.5","","2.6",""
"39"," Brunei Darussalam","23.9","","16.1","","14.1","","13.7","","21.1","","24.6","","24.2","","19.2","","22.1",""
"51"," Bulgaria","8.5","","6.9","","5.3","","6.3","","6.0","","6.7","","6.1","","5.5","","5.9",""
"183"," Burkina Faso","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.2","","0.2","","0.2",""
"185"," Burundi","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0",""
"125"," Cabo Verde","0.3","","0.3","","0.5","","0.9","","1.1","","1.2","","1.0","","1.0","","0.9",""
"146"," Cambodia","0.1","","0.1","","0.2","","0.2","","0.3","","0.4","","0.4","","0.4","","0.4",""
"151"," Cameroon","0.1","","0.3","","0.2","","0.2","","0.3","","0.3","","0.3","","0.3","","0.3",""
"12"," Canada","15.7","","15.9","","17.4","","17.3","","15.7","","15.6","","14.9","","14.7","","15.1",""
"188"," Central African Republic","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1",""
"186"," Chad","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.1","","0.1",""
"44"," Chile","2.5","","2.9","","3.9","","3.8","","4.3","","4.6","","4.7","","4.8","","4.7",""
