Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Socio-economic sustainability] Research and development expenditure (% of GDP)
AFG,,0.12674418604651164,0.11792452830188678,0.11594202898550725,0.4591484464902187,0.45840707964601773,,,
AGO,,,0.08962264150943396,,0.285385500575374,0.28495575221238945,0.01672864006684771,0.39954853273137697,
ALB,0.5862068965517241,0.5546511627906976,0.38679245283018876,0.572463768115942,0.7951668584579976,0.7946902654867257,0.038270315437643615,0.5316027088036117,
AND,,,0.4103773584905661,,0.8860759493670887,0.8849557522123893,0.31490286191769373,0.8837471783295712,
ARE,0.7586206896551724,0.5569767441860466,0.43867924528301894,0.5072463768115942,0.8078250863060991,0.8070796460176992,0.8429496553164821,1.0,
ARG,0.7148541114058355,0.672093023255814,0.5377358490566038,0.5942028985507246,0.8032220943613348,0.801769911504425,0.11708376853979528,0.716704288939052,0.0930232558139535
ARM,0.5477453580901858,0.636046511627907,0.3726415094339623,0.7391304347826086,0.7399309551208285,0.7398230088495577,0.018274493419678295,0.4130925507900677,
ATG,,,,,0.7974683544303798,0.7982300884955753,0.13518278671401712,0.7404063205417607,
AUS,0.9111405835543765,0.9465116279069768,0.8160377358490565,0.8333333333333334,0.9010356731875719,0.9008849557522125,0.2509463129308544,0.845372460496614,0.3953488372093023
AUT,0.8236074270557029,0.7337209302325582,0.6037735849056605,0.6231884057971014,0.8757192174913694,0.8761061946902655,0.2866680593273449,0.8679458239277652,0.372093023255814
AZE,0.5477453580901858,0.6197674418604652,0.3632075471698114,0.7246376811594204,0.6720368239355581,0.6725663716814159,0.02632128681846668,0.47065462753950343,0.04651162790697675
BDI,0.1259946949602122,0.11744186046511627,0.11792452830188678,0.09420289855072465,0.3878020713463751,0.3876106194690266,0.004587424274075621,0.2178329571106095,
BEL,0.8726790450928382,0.852325581395349,0.7311320754716982,0.6884057971014493,0.8757192174913694,0.8761061946902655,0.28110298725715477,0.8645598194130926,0.3953488372093023
BEN,0.2360742705570292,0.186046511627907,0.1839622641509434,0.13768115942028988,0.4879171461449943,0.48849557522123904,0.010754125757259243,0.3329571106094808,
BFA,,,0.04716981132075472,,0.3889528193325662,0.3893805309734514,0.006333820764570713,0.2584650112866817,0.04651162790697675
BGD,0.3103448275862069,0.2581395348837209,0.22169811320754715,0.23188405797101452,0.6202531645569619,0.6194690265486726,0.010862753290160853,0.33408577878103835,
BGR,0.66710875331565,0.6767441860465115,0.49528301886792453,0.6521739130434783,0.7675489067894131,0.7663716814159294,0.06714017129726342,0.6241534988713319,0.11627906976744186
BHR,0.7679045092838197,0.6313953488372094,0.5424528301886793,0.5144927536231885,0.8147295742232451,0.8141592920353982,0.35640693545017754,0.9051918735891648,
BHS,,,0.4575471698113208,,0.7767548906789413,0.7769911504424779,0.2848715270524337,0.8668171557562077,
BIH,,,,,0.7917146144994247,0.7911504424778761,0.0262627950699812,0.47065462753950343,
BLR,0.6127320954907162,0.6534883720930234,0.5047169811320755,0.6014492753623188,0.713463751438435,0.713274336283186,0.04553164821391268,0.5598194130925508,0.23255813953488372
BLZ,0.6140583554376658,0.6348837209302326,0.43867924528301894,0.6521739130434783,0.7353279631760643,0.7345132743362831,0.046751618968038436,0.5643340857787811,
BOL,0.5026525198938993,0.5813953488372092,0.4811320754716982,0.5000000000000001,0.5454545454545454,0.5451327433628319,0.03274702318780029,0.5056433408577878,0.06976744186046512
BRA,0.6061007957559681,0.5279069767441861,0.5377358490566038,0.32608695652173914,0.716915995397008,0.7168141592920354,0.09143095884687696,0.6749435665914222,
BRB,0.7108753315649867,0.6790697674418605,0.5424528301886793,0.6014492753623188,0.7974683544303798,0.7982300884955753,0.10791727595571339,0.7031602708803611,
BRN,0.8063660477453582,0.6372093023255815,0.5094339622641509,0.5652173913043479,0.8273878020713463,0.8265486725663717,0.7241362022143305,1.0,
BTN,,,0.21226415094339623,,0.5281933256616802,0.5274336283185841,0.020179653227491122,0.4288939051918736,
BWA,0.49336870026525215,0.5232558139534884,0.4103773584905661,0.47826086956521746,0.4637514384349828,0.463716814159292,0.07139335700856486,0.6343115124153498,
CAF,0.13395225464190982,0.1558139534883721,0.12264150943396228,0.15942028985507248,0.31990794016110474,0.320353982300885,0.004980154585335283,0.22799097065462756,
CAN,0.8806366047745359,0.8651162790697674,0.6981132075471698,0.753623188405797,0.8975834292289989,0.8973451327433629,0.2603300605807395,0.8510158013544018,0.372093023255814
CHE,0.8687002652519896,0.7674418604651163,0.5849056603773585,0.7101449275362318,0.9067894131185271,0.9061946902654867,0.39424274075621474,0.9221218961625282,0.5813953488372093
CHL,0.7095490716180374,0.6418604651162791,0.49528301886792453,0.5942028985507246,0.8515535097813579,0.8513274336283188,0.10265301859202006,0.6941309255079008,
CHN,0.47745358090185674,0.4290697674418605,0.33490566037735847,0.3985507246376812,0.7583429228998848,0.7575221238938055,0.021249216628368497,0.4367945823927765,0.13953488372093023
CIV,0.2506631299734748,0.21511627906976744,0.20283018867924532,0.16666666666666669,0.3739930955120829,0.3734513274336284,0.020722790891999163,0.4322799097065464,
CMR,0.29575596816976135,0.308139534883721,0.2452830188679245,0.2898550724637681,0.39125431530494825,0.39115044247787617,0.017413829120534782,0.40519187358916475,
COD,0.18302387267904516,0.23720930232558135,0.21698113207547168,0.19565217391304351,0.379746835443038,0.3787610619469027,0.004278253603509505,0.208803611738149,
COG,0.4045092838196287,0.4395348837209302,0.38679245283018876,0.355072463768116,0.44418872266973536,0.44424778761061956,0.030749947775224568,0.4954853273137697,
COL,0.576923076923077,0.4848837209302325,0.39622641509433965,0.42753623188405804,0.7456846950517837,0.7469026548672567,0.06783371631501985,0.6252821670428893,0.06976744186046512
COM,,,0.2830188679245283,,0.5558112773302647,0.5557522123893806,0.009776477961144767,0.3194130925507901,
CPV,,,,,0.7008055235903337,0.7008849557522125,0.024357635262168373,0.4582392776523702,
CRI,0.6525198938992043,0.555813953488372,0.42452830188679247,0.5217391304347827,0.8699654775604143,0.8707964601769912,0.0715688322540213,0.6343115124153498,0.06976744186046512
CUB,0.6180371352785147,0.6453488372093024,0.4575471698113208,0.6521739130434783,0.8515535097813579,0.8513274336283188,0.027892208063505328,0.4796839729119639,0.06976744186046512
CYP,0.7824933687002653,0.6755813953488373,0.49528301886792453,0.6594202898550725,0.8826237054085155,0.8831858407079647,0.21378734071443492,0.8182844243792325,
CZE,0.7546419098143237,0.702325581395349,0.5188679245283019,0.6739130434782609,0.8158803222094361,0.8159292035398231,0.16391059118445792,0.7731376975169301,0.20930232558139536
DEU,0.8488063660477455,0.7976744186046513,0.6462264150943396,0.6884057971014493,0.8722669735327964,0.8725663716814162,0.28071025694589513,0.8645598194130926,0.48837209302325585
DJI,0.20424403183023873,0.10697674418604652,0.03301886792452829,0.1811594202898551,0.5212888377445339,0.520353982300885,0.014355546271151034,0.3758465011286682,
DMA,,,0.4575471698113208,,0.8619102416570771,0.8619469026548673,0.055508669312721956,0.5925507900677202,
DNK,0.8461538461538464,0.7930232558139536,0.6273584905660378,0.7101449275362318,0.8538550057537401,0.8530973451327434,0.31288071861290995,0.8826185101580134,0.4186046511627907
DOM,0.5782493368700266,0.5232558139534884,0.4669811320754717,0.4130434782608696,0.7479861910241657,0.7469026548672567,0.052258199289743054,0.582392776523702,
DZA,0.5424403183023873,0.42093023255813944,0.3726415094339623,0.34057971014492755,0.7238204833141542,0.7238938053097346,0.07348234802590349,0.6388261851015802,
ECU,0.6167108753315651,0.5651162790697675,0.4716981132075472,0.47826086956521746,0.7790563866513234,0.7787610619469026,0.06012116147900564,0.6049661399548533,0.023255813953488375
EGY,0.5106100795755968,0.40930232558139534,0.4009433962264151,0.28260869565217395,0.7019562715765247,0.7026548672566372,0.052834760810528514,0.5835214446952596,0.04651162790697675
ERI,,,0.08018867924528301,,0.44879171461449946,0.44778761061946903,0.01240025067892208,0.3544018058690745,
ESP,0.8050397877984085,0.716279069767442,0.6367924528301887,0.5507246376811595,0.8987341772151899,0.8991150442477878,0.21098809275120117,0.8160270880361175,0.186046511627907
EST,0.7148541114058355,0.75,0.5235849056603774,0.753623188405797,0.7307249712313003,0.7309734513274337,0.10678922080635053,0.7009029345372461,
ETH,,,0.037735849056603765,,0.39355581127733025,0.39292035398230085,,,
FIN,0.8275862068965517,0.780232558139535,0.679245283018868,0.6159420289855073,0.8699654775604143,0.8690265486725665,0.23071652391894715,0.8306997742663657,0.5813953488372093
FJI,0.6326259946949602,0.7,0.5094339622641509,0.6884057971014493,0.6939010356731875,0.6938053097345133,0.051706705661165656,0.5801354401805869,
FRA,0.8368700265251989,0.7639534883720931,0.6462264150943396,0.6304347826086957,0.8918296892980437,0.8920353982300886,0.261850846041362,0.8521444695259595,0.5116279069767442
FSM,,,,,0.6950517836593786,0.6955752212389382,0.024583246292040943,0.4593679458239278,
GAB,0.576923076923077,0.5058139534883721,0.4716981132075472,0.36956521739130443,0.5799769850402762,0.5805309734513274,0.16063505326927094,0.7697516930022572,
