Country,Human Development Index (HDI),[Demography] Median age (years),[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"[Demography] Population, ages 15–64 (millions)","[Demography] Population, ages 65 and older (millions)","[Demography] Population, total (millions)","[Demography] Population, under age 5 (millions)","[Demography] Population, urban (%)",[Demography] Sex ratio at birth (male to female births),[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),[Education] Education Index,[Education] Expected years of schooling (years),"[Education] Expected years of schooling, female (years)","[Education] Expected years of schooling, male (years)",[Education] Government expenditure on education (% of GDP),"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)","[Education] Gross enrolment ratio, primary (% of primary school-age population)","[Education] Gross enrolment ratio, secondary (% of secondary school-age population)","[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)","[Education] Literacy rate, adult (% ages 15 and older)",[Education] Mean years of schooling (years),"[Education] Mean years of schooling, female (years)","[Education] Mean years of schooling, male (years)",[Education] Population with at least some secondary education (% ages 25 and older),"[Education] Population with at least some secondary education, female (% ages 25 and older)","[Education] Population with at least some secondary education, male (% ages 25 and older)",[Education] Primary school dropout rate (% of primary school cohort),"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",[Education] Survival rate to the last grade of lower secondary general education (%),[Environmental Sustainability] Carbon dioxide emissions (kg per 2011 PPP $ of GDP),[Environmental Sustainability] Carbon dioxide emissions per capita (tonnes),[Environmental Sustainability] Forest area (% of total land area),[Environmental Sustainability] Fossil fuel energy consumption (% of total energy consumption),[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),[Environmental Sustainability] Renewable energy consumption (% of total final energy consumption),"[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)","[Gender] Antenatal care coverage, at least one visit (%)","[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","[Gender] Maternal mortality ratio (deaths per 100,000 live births)",[Gender] Proportion of births attended by skilled health personnel (%),"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)","[Health] HIV prevalence, adult (% ages 15-49), total","[Health] Infants lacking immunization, DTP (% of one-year-olds)","[Health] Infants lacking immunization, measles (% of one-year-olds)",[Health] Life expectancy Index,[Health] Life expectancy at birth (years),"[Health] Life expectancy at birth, female (years)","[Health] Life expectancy at birth, male (years)","[Health] Mortality rate, female adult (per 1,000 people)","[Health] Mortality rate, infant (per 1,000 live births)","[Health] Mortality rate, male adult (per 1,000 people)","[Health] Mortality rate, under-five (per 1,000 live births)",[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",[Income_composition of resources] Gross fixed capital formation (% of GDP),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,"[Mobility and communication] Net migration rate (per 1,000 people)",[Socio-economic sustainability] Adjusted net savings (% of GNI),[Socio-economic sustainability] Gross capital formation (% of GDP),[Socio-economic sustainability] Rural population with access to electricity (%),"[Socio-economic sustainability] Total debt service (% of exports of goods, services and primary income)",[Trade and financial flows] Exports and imports (% of GDP),"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",[Trade and financial flows] Net official development assistance received (% of GNI),[Trade and financial flows] Private capital flows (% of GDP),"[Trade and financial flows] Remittances, inflows (% of GDP)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male"
AFG,,0.049999999999999996,0.07936507936507937,0.006010444378756527,0.002,0.008655551614047534,0.018018018018018018,0.16701902748414377,0.31250000000000044,0.8269230769230769,0.04767441860465116,0.02358490566037736,,,,,0.06153846153846154,0.03773584905660377,0.01639344262295082,,0.08695652173913043,0.02173913043478261,0.14285714285714285,0.07272727272727272,0.019076305220883535,0.1183673469387755,,0.4235294117647059,,,0.0032310177705977385,0.021233569261880688,,,0.16191446028513237,0.7157473309608541,,,0.4615119088712461,,,0.0,0.6901408450704225,0.8681318681318682,0.39355581127733025,0.39469026548672564,0.32713754646840154,0.3582677165354331,0.513911620294599,0.6960093896713615,0.5014880952380952,0.536107711138311,,,,,,,0.2319353208691258,,,,,,,,,,0.3367174280879865,0.1037735849056604,0.8400702987697716
AGO,,0.04687500000000001,0.09750566893424036,0.005911912503694945,0.002,0.008655551614047534,0.018018018018018018,0.3350951374207189,0.06250000000000008,0.8431174089068826,,0.08018867924528301,,,,0.08522727272727272,0.3769230769230769,0.018867924528301886,0.00819672131147541,,,,,,,,0.8695073235685753,,,0.054726368159203974,0.006462035541195477,0.49443882709807885,0.255,,0.7362525458248472,0.9795373665480427,,,0.3993786675871591,,,0.0033670033670033673,0.7183098591549296,0.6703296703296703,0.2497123130034522,0.24955752212389387,0.19702602230483274,0.17519685039370084,0.5924713584288053,0.7588028169014085,0.6116071428571429,0.6710526315789475,,0.024662478796000094,0.0019694778056813305,0.0,0.01534990599540422,0.38600451467268626,0.3431025770591208,0.42370744010088274,0.0,0.075,0.08481675392670157,0.09612277867528271,0.10530421216848673,0.023510971786833854,0.9110235280066882,,0.7918781725888325,0.8160377358490567,0.750439367311072
ALB,0.5915119363395226,0.3062500000000001,0.18140589569160998,0.0019706375012316485,0.0013333333333333335,0.0023412557644554807,0.0030030030030030034,0.32769556025369984,0.3750000000000005,0.38461538461538464,0.5848837209302326,0.4481132075471698,0.4713656387665199,0.4673366834170855,,0.3181818181818182,0.6,0.5345911949685535,0.06557377049180328,,0.5434782608695653,0.5217391304347826,0.5499999999999999,0.6434343434343435,0.5933734939759037,0.6908163265306123,,,,0.16915422885572134,0.027463651050080775,0.29120323559150657,0.7659999999999999,0.0021424745581146223,0.25967413441955195,0.0711743772241993,,,0.02347255781843286,0.93,,0.0,0.028169014084507043,0.12087912087912088,0.7825086306098965,0.7823008849557522,0.7750929368029741,0.7559055118110235,0.06710310965630115,0.1942488262910798,0.12648809523809523,0.11597307221542229,,0.03466999217678907,0.0007303087556952303,0.13820754716981132,0.03583872989346146,0.520316027088036,0.3567458312278929,0.7585119798234552,0.18485804416403787,1.0,,0.06155088852988692,,0.007053291536050156,0.9074405828257495,,0.5532994923857869,0.5613207547169812,0.62390158172232
AND,,,,,,7.094714437743881e-05,,0.9439746300211417,,,,0.4103773584905661,,,,,,,,,,,,,,,,,,,0.12116316639741519,0.34378159757330634,,,0.14562118126272913,,,,,,,,,,0.8665132336018412,0.8654867256637169,,,,0.034037558685446015,,0.020501835985312123,,,,,0.3297764779611448,0.8916478555304741,,,,1.0,,,,,,,,,
ARE,0.7002652519893899,0.3875,0.02040816326530612,0.0012809143758005716,0.0,0.0013479957431713372,0.0015015015015015017,0.7790697674418604,0.25000000000000033,0.3107287449392713,0.46860465116279065,0.4056603773584906,0.4713656387665199,0.38693467336683424,,0.32386363636363635,0.6461538461538462,0.34591194968553457,0.04918032786885246,,0.3840579710144928,0.4057971014492754,0.36428571428571427,0.42121212121212126,0.4367469879518073,0.4102040816326531,0.07723035952063916,0.15294117647058825,0.9157894736842105,0.11940298507462685,0.45234248788368336,0.029322548028311423,1.0,,0.0,0.33318505338078297,,,0.004832585433206766,0.991,,,0.056338028169014086,0.2087912087912088,0.7779056386651323,0.7769911504424779,0.7397769516728624,0.7854330708661416,0.13747954173486088,0.07394366197183098,0.12946428571428573,0.04436964504283967,0.2995221546481321,0.8534658373546703,0.009677768930309697,,0.8357635262168372,1.0,0.5194542698332492,,,1.0,,,0.11258450338013519,,,,0.703891708967851,0.27358490566037735,0.8998242530755711
ARG,0.6697612732095493,0.403125,0.31972789115646255,0.019410779387131736,0.02,0.023199716211422493,0.025525525525525526,0.8625792811839323,0.18750000000000025,0.36234817813765186,0.636046511627907,0.5235849056603774,,,0.025000000000000005,,0.6538461538461539,0.41509433962264153,,,0.5507246376811595,0.5652173913043479,0.5285714285714286,0.36666666666666664,0.3604417670682731,0.37244897959183676,,,,0.15422885572139303,0.05492730210016155,0.12841253791708795,0.887,,0.09063136456211812,0.32517793594306055,,,0.023817742492233344,0.9690000000000001,,0.006734006734006734,0.056338028169014086,0.06593406593406594,0.7779056386651323,0.7787610619469026,0.7788104089219332,0.7362204724409448,0.11620294599018004,0.1402582159624413,0.21726190476190477,0.0817013463892289,0.31950477845351866,0.08186486758634579,0.016679309646200745,0.0660377358490566,0.0849216628368498,0.6625282167042889,0.3617988883274381,0.7686002522068096,0.08832807570977919,0.9059999999999999,0.38848167539267014,0.024232633279483037,0.11648465938637544,0.003918495297805642,0.9069628568016243,0.00011945290569193095,0.4720812182741117,0.4516509433962264,0.6432337434094904
ARM,0.5729442970822282,0.403125,0.17913832199546487,0.0022662331264163955,0.0013333333333333335,0.0024831500532103584,0.0030030030030030034,0.6553911205073997,0.31250000000000044,0.3218623481781377,0.6430232558139536,0.4056603773584906,,,,0.2727272727272727,,,0.1885245901639344,,0.7101449275362318,0.7101449275362319,0.6928571428571428,0.8646464646464646,0.8493975903614458,0.8826530612244898,,,,,,0.11931243680485339,0.97,,0.021384928716904276,0.29048042704626337,,,0.018985157059026578,0.997,,0.0,,,0.713463751438435,0.713274336283186,0.6970260223048328,0.673228346456693,0.15711947626841244,0.23943661971830985,0.2604166666666667,0.14565483476132193,,0.027071408100508895,0.0006219403596888413,0.20896226415094338,0.02761646124921663,0.47855530474040625,0.3370389085396665,,0.2971608832807571,0.958,,0.13134087237479805,,,,,0.46869712351945864,0.5070754716981132,0.5553602811950791
ATG,,0.315625,0.25623582766439906,0.0,0.0,7.094714437743881e-05,0.0,0.31712473572938693,0.12500000000000017,0.3653846153846154,,,,,,,,,,,,,,,,,,,,0.12437810945273631,0.06785137318255251,0.23660262891809905,0.0,0.0017675415104445634,0.0,0.3692170818505338,,,,,,,0.0,0.10989010989010989,0.7744533947065593,0.7752212389380533,0.7527881040892194,0.7480314960629921,0.19639934533551553,0.1367370892018779,0.20982142857142858,0.07343941248470014,0.3651172893136403,0.12496998520561102,5.182836330740345e-05,,0.12159598913724672,0.7234762979683973,0.24355735219807984,,,0.77,,0.2411954765751212,0.14742589703588144,0.011755485893416927,0.891675624029619,0.016305321626948574,,,
AUS,0.8846153846153847,0.5562500000000001,0.35374149659863946,0.011232633757020397,0.012666666666666666,0.012061014544164597,0.00975975975975976,0.8456659619450317,0.25000000000000033,0.18319838056680163,0.9209302325581395,0.7216981132075472,0.7356828193832599,0.7437185929648241,0.325,0.3977272727272727,0.6461538461538462,,0.28688524590163933,,0.8260869565217391,0.7898550724637681,0.7785714285714286,0.9020202020202019,0.8975903614457831,0.9051020408163266,,,,0.26368159203980096,0.25040387722132473,0.16885743174924164,0.9390000000000001,,0.0814663951120163,0.09252669039145908,,,0.0017259233690024164,,,0.0,0.014084507042253521,0.14285714285714285,0.8734177215189872,0.8725663716814162,0.8680297397769517,0.8503937007874017,0.05237315875613748,0.035211267605633804,0.09672619047619048,0.021725826193390453,0.4020417028670722,0.22006459958327848,0.023044774994228204,0.13066037735849056,0.2304324211405891,0.8306997742663657,0.3976755937342092,0.7812105926860026,0.1829652996845426,1.0,,0.05201938610662359,0.11986479459178367,,0.9014690075241849,0.004539210416293377,0.5482233502538071,0.5459905660377359,0.648506151142355
AUT,0.790450928381963,0.6937500000000001,0.47619047619047616,0.0052221893782638685,0.008,0.005462930117062789,0.0030030030030030034,0.6088794926004228,0.31250000000000044,0.10020242914979757,0.6918604651162791,0.5613207547169812,0.5682819383259913,0.5929648241206031,0.35000000000000003,0.4090909090909091,0.6384615384615384,0.6037735849056604,0.27049180327868855,,0.6014492753623188,0.5507246376811594,0.6571428571428571,0.604040404040404,0.4879518072289157,0.7306122448979592,,0.07058823529411765,,0.11442786069651739,0.12116316639741519,0.4620829120323559,0.7909999999999999,0.002624531333690413,0.2556008146639511,0.09386120996441281,,,0.0017259233690024164,,,,0.04225352112676056,0.42857142857142855,0.8492520138089759,0.8495575221238938,0.845724907063197,0.8149606299212597,0.06710310965630115,0.03755868544600939,0.14285714285714285,0.02264381884944921,,0.2408542016839268,0.011336276556146607,0.11981132075471697,0.2621600167119281,0.8521444695259595,0.3713996968165741,,0.16845425867507885,1.0,,0.11550888529886914,0.1141445657826313,,,0.0022696052081466883,0.4145516074450085,0.4410377358490566,0.546572934973638
AZE,,0.3062500000000001,0.14965986394557823,0.004433934377771209,0.002,0.005108194395175594,0.006756756756756757,0.510570824524313,0.31250000000000044,0.3896761133603239,,0.4056603773584906,0.43171806167400884,0.4170854271356785,,0.11931818181818182,0.7153846153846154,0.5471698113207547,0.19672131147540983,,,,,,,,,,,,,0.1031344792719919,0.9990000000000001,,0.007128309572301425,0.11298932384341637,,,0.02105626510182948,0.973,,0.0,,,0.6593785960874567,0.6584070796460177,0.6598513011152417,0.5905511811023623,0.1309328968903437,0.4330985915492958,0.27529761904761907,0.28274173806609554,,0.06402639752755551,0.0028694066594735176,0.09575471698113208,0.07096720284102778,0.6331828442437923,0.33350176856998487,,0.167192429022082,0.925,,0.134248788368336,,,,,0.4957698815566836,0.5436320754716981,0.5500878734622145
BDI,0.129973474801061,0.06562499999999995,0.12244897959183672,0.0026603606266627257,0.0013333333333333335,0.003831145796381696,0.00825825825825826,0.009513742071881602,0.12500000000000017,0.819838056680162,0.1046511627906977,0.10849056603773587,0.14537444933920704,0.1206030150753769,0.21666666666666665,,0.36923076923076925,0.0,0.00819672131147541,0.2591715976331361,0.07971014492753623,0.050724637681159424,0.1142857142857143,0.021212121212121213,0.014056224899598393,0.026530612244897955,,0.7176470588235294,,0.014925373134328356,0.0,0.11425682507583418,,,0.9694501018329938,0.22019572953736657,,,0.4200897480151881,,,0.01346801346801347,0.056338028169014086,0.27472527472527475,0.36248561565017273,0.3628318584070797,0.304832713754647,0.3070866141732283,0.5008183306055647,0.5950704225352113,0.5059523809523809,0.5140758873929009,0.2856211989574283,0.00650643284819098,0.00027798849410334576,0.07169811320754717,0.006843534572801337,0.2697516930022573,0.32642748863062154,0.5964691046658259,0.0914826498422713,,0.45445026178010467,0.057512116316639744,0.11336453458138325,0.1873040752351097,0.9073211513197181,,1.0,1.0,0.9068541300527241
BEL,0.8050397877984085,0.6937500000000001,0.4852607709750567,0.006601635629126023,0.01,0.0070947144377438804,0.0045045045045045045,0.9619450317124736,0.31250000000000044,0.11943319838056679,0.7255813953488373,0.5660377358490566,0.5947136563876653,0.577889447236181,,0.5852272727272727,0.6076923076923076,0.6037735849056604,0.3114754098360656,,0.6594202898550725,0.6231884057971014,0.6428571428571429,0.6272727272727273,0.607429718875502,0.6724489795918368,,,,0.16915422885572134,0.17124394184168013,,0.758,,0.013238289205702648,0.04937722419928826,,,0.0020711080428028996,,,,0.028169014084507043,0.15384615384615385,0.8538550057537401,0.8548672566371683,0.8531598513011154,0.8228346456692913,0.06710310965630115,0.039319248826291085,0.11904761904761904,0.024173806609547127,,0.23547864883077851,0.014394149991283411,0.11367924528301887,0.2554251096720284,0.8476297968397292,0.3612935826174836,,0.15394321766561514,1.0,,0.1948303715670436,,,,0.010392402795197993,0.2842639593908629,0.3608490566037736,0.38488576449912126
