Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Gender] Female share of employment in senior and middle management (%),"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",[Gender] Total unemployment rate (female to male ratio),[Gender] Youth unemployment rate (female to male ratio),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,"[Work, employment and vulnerability] Employment in agriculture (% of total employment)","[Work, employment and vulnerability] Employment in services (% of total employment)","[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)","[Work, employment and vulnerability] Unemployment, total (% of labour force)","[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)","[Work, employment and vulnerability] Vulnerable employment (% of total employment)"
AFG,,0.060465116279069774,0.037735849056603765,0.09420289855072465,,0.08994708994708997,0.059175134488942016,0.13240418118466898,0.4073647871116226,0.4070796460176992,,,0.7724810400866738,0.2063106796116505,0.27197346600331673,0.285024154589372,0.39285714285714285,0.6536430834213305
AGO,,,0.07075471698113207,,,0.6402116402116402,0.052600119545726236,0.14634146341463417,0.2520138089758343,0.25309734513274335,0.014973887612283267,0.3826185101580135,0.41495124593716143,0.5825242718446603,0.5124378109452735,0.5676328502415459,0.8416149068322981,0.7676874340021119
ALB,0.5663129973474802,0.5906976744186047,0.4575471698113208,0.5434782608695653,,0.490299823633157,0.07352062163777645,0.06968641114982577,0.7825086306098965,0.7823008849557522,0.024858993106329642,0.4616252821670429,0.7356446370530878,0.12500000000000003,0.36318407960199,0.533816425120773,0.47826086956521735,0.49313621964097143
AND,,,0.4103773584905661,,,,,,0.8688147295742232,0.8690265486725665,0.3252475454355546,0.8893905191873589,,,,,,
ARE,0.7148541114058355,0.49186046511627907,0.42452830188679247,0.40579710144927544,,0.13227513227513227,0.16736401673640167,0.19163763066202089,0.7836593785960874,0.7823008849557522,0.7958637977856695,1.0,0.08125677139761647,0.6796116504854369,0.714759535655058,0.03864734299516909,0.06677018633540371,0.009503695881731784
ARG,0.6816976127320955,0.6406976744186047,0.5235849056603774,0.5579710144927537,,0.6049382716049383,0.07172743574417215,0.19163763066202089,0.7825086306098965,0.7823008849557522,0.09581783998328808,0.6828442437923251,0.0032502708559046588,0.7475728155339806,0.4560530679933665,0.13043478260869565,0.22515527950310557,0.2618796198521647
ARM,0.5689655172413793,0.6465116279069768,0.4056603773584906,0.717391304347826,,0.673721340388007,0.056784219964136275,0.14634146341463417,0.7123130034522439,0.713274336283186,0.02602047211196992,0.4683972911963883,0.419284940411701,0.35315533980582525,0.4825870646766169,0.04347826086956522,0.06521739130434782,0.46884899683210135
ATG,,,,,,,,,0.7779056386651323,0.7787610619469026,0.1275454355546271,0.7313769751693002,,,,,,
AUS,0.8859416445623343,0.9220930232558141,0.7169811320754718,0.8333333333333334,0.31052631578947376,0.6754850088183422,0.03945008965929468,0.10801393728222994,0.8780207134637514,0.8778761061946904,0.22542719866304575,0.827313769751693,0.059588299024918745,0.7949029126213593,0.46932006633499174,0.22705314009661837,0.26708074534161486,0.13199577613516367
AUT,0.797082228116711,0.7,0.5660377358490566,0.608695652173913,,0.6402116402116402,0.049013747758517634,0.10452961672473869,0.8538550057537401,0.8530973451327434,0.2672153749738876,0.8555304740406321,0.0801733477789816,0.6104368932038835,0.4212271973466003,0.07729468599033816,0.052795031055900624,0.10982048574445617
AZE,,,0.4009433962264151,,,0.6666666666666666,0.07591153616258219,0.1777003484320557,0.6570771001150747,0.656637168141593,0.06934614581157302,0.628668171557562,0.4008667388949079,0.5691747572815534,0.43946932006633493,0.21014492753623193,0.2996894409937888,0.7518479408658924
BDI,0.13395225464190982,0.11046511627906978,0.11792452830188678,0.08695652173913043,,0.3280423280423281,0.01673640167364017,0.0278745644599303,0.3578826237054085,0.3575221238938053,0.007186129099644872,0.27539503386004516,0.9934994582881908,0.008495145631067964,0.9917081260364843,0.03381642512077295,0.040372670807453416,0.989440337909187
BEL,0.8103448275862071,0.7290697674418605,0.5707547169811321,0.6666666666666666,,0.6049382716049383,0.1213389121338912,0.21951219512195122,0.8584579976985041,0.8584070796460177,0.26011280551493626,0.8510158013544018,0.029252437703141933,0.7378640776699029,0.2786069651741294,0.1642512077294686,0.21118012422360247,0.1678986272439282
BEN,0.20557029177718833,0.14767441860465116,0.1556603773584906,0.10144927536231885,,0.798941798941799,0.0,0.0278745644599303,0.474108170310702,0.4743362831858407,0.010327971589722163,0.32731376975169296,0.5850487540628386,0.4077669902912621,0.7048092868988393,0.03140096618357488,0.021739130434782605,0.9619852164730729
BFA,,,0.02358490566037736,,,0.6472663139329806,0.0537955768081291,0.16027874564459932,0.3855005753739931,0.3858407079646018,0.0057154794234384795,0.244920993227991,0.963163596966414,0.03276699029126214,0.8640132669983416,0.057971014492753624,0.05434782608695652,0.9567053854276664
BGD,0.2586206896551724,0.20813953488372092,0.17452830188679244,0.1884057971014493,,0.031746031746031744,0.07053197848176927,0.1289198606271777,0.5569620253164557,0.5557522123893806,0.009367035721746396,0.3126410835214447,0.752979414951246,0.14199029126213591,0.4361525704809287,0.04830917874396135,0.06521739130434782,0.7180570221752903
BGR,0.6525198938992043,0.6465116279069768,0.47641509433962265,0.6231884057971014,,0.8042328042328042,0.04243873281530185,0.11846689895470382,0.7721518987341771,0.7716814159292037,0.0629204094422394,0.6128668171557562,0.17443120260021672,0.49271844660194175,0.2769485903814262,0.5096618357487923,0.6459627329192547,0.1013727560718057
BHR,0.73342175066313,0.5872093023255814,0.5424528301886793,0.4347826086956522,,0.22927689594356263,0.11715481171548117,0.17421602787456442,0.7963176064441888,0.7964601769911505,0.3103405055358262,0.881489841986456,0.02600216684723727,0.7742718446601943,0.5223880597014925,0.1497584541062802,0.3804347826086956,0.034846884899683205
BHS,,,0.4669811320754717,,,0.7583774250440918,0.04124327555289898,0.15331010452961674,0.766398158803222,0.7663716814159294,0.22759974932107793,0.8284424379232506,0.05742145178764897,0.900485436893204,0.582089552238806,0.2898550724637681,0.3462732919254658,0.12671594508975711
BIH,,,,,,0.5537918871252205,0.056784219964136275,0.15679442508710803,0.761795166858458,0.7610619469026548,0.0103029036975141,0.3261851015801354,0.49512459371614304,0.2463592233009709,0.22885572139303487,0.42028985507246386,0.5574534161490684,0.2734952481520591
BLR,,,0.5,,,0.8236331569664903,0.0693365212193664,0.18815331010452957,0.7548906789413119,0.7539823008849559,0.06776686860246502,0.6252821670428893,0.24052004333694474,0.404126213592233,0.49917081260364843,0.014492753623188408,0.017080745341614904,0.024287222808870114
BLZ,0.5994694960212201,0.5825581395348839,0.4150943396226416,0.5869565217391305,,0.6067019400352733,0.013150029886431559,0.07665505226480836,0.7686996547756042,0.768141592920354,0.04339252141215793,0.5519187358916479,0.3044420368364031,0.5485436893203883,0.4543946932006633,0.08695652173913043,0.09472049689440994,0.24709609292502638
BOL,0.4562334217506631,0.530232558139535,0.44339622641509435,0.44927536231884063,,0.6366843033509699,0.07292289300657501,0.18815331010452957,0.49597238204833133,0.4955752212389381,0.028928347608105285,0.48532731376975174,0.44637053087757317,0.4029126213592233,0.5920398009950247,0.13768115942028986,0.16459627329192544,0.40021119324181625
BRA,0.5517241379310345,0.4581395348837209,0.48584905660377364,0.26086956521739135,,0.5590828924162258,0.08308427973699939,0.20557491289198604,0.6743383199079401,0.6743362831858408,0.08226446626279507,0.6580135440180588,0.2990249187432286,0.5679611650485437,0.45273631840796025,0.2391304347826087,0.30900621118012417,0.36114044350580776
BRB,0.6883289124668435,0.6406976744186047,0.5094339622641509,0.572463768115942,,0.7354497354497355,0.062163777644949195,0.181184668989547,0.7790563866513234,0.7787610619469026,0.10746605389596825,0.7020316027088036,0.059588299024918745,0.8131067961165049,0.38474295190713104,0.5507246376811594,0.6413043478260869,0.1235480464625132
BRN,0.7798408488063662,0.5988372093023256,0.4811320754716982,0.5289855072463768,,0.49206349206349215,0.0711297071129707,0.15679442508710803,0.8066743383199079,0.8070796460176992,0.7112680175475246,1.0,0.021668472372697724,0.8325242718446602,0.5505804311774462,0.10869565217391304,0.21428571428571425,0.04329461457233369
BTN,,,0.1650943396226415,,,0.2416225749559083,0.06873879258816497,0.13937282229965156,0.46144994246260074,0.4601769911504425,0.015316482139126801,0.38600451467268626,0.9230769230769231,0.09587378640776699,0.5688225538971808,0.028985507246376812,0.05590062111801242,0.8944033790918691
BWA,0.5159151193633953,0.46162790697674416,0.38679245283018876,0.3985507246376812,,0.6455026455026455,0.07352062163777645,0.2264808362369338,0.5937859608745685,0.5929203539823009,0.07010653854188427,0.6309255079006771,0.2069339111592633,0.5861650485436893,0.41127694859038144,0.32850241545893727,0.3959627329192546,0.33896515311510034
CAF,0.14986737400530506,0.14651162790697675,0.13207547169811323,0.13043478260869568,,0.4479717813051147,0.05439330543933054,0.14634146341463417,0.3670886075949367,0.368141592920354,0.00595780238144976,0.25056433408577883,0.9165763813651138,0.020631067961165053,0.6451077943615257,0.14492753623188406,0.17236024844720496,0.7360084477296727
CAN,0.8673740053050398,0.8569767441860465,0.7028301886792453,0.7246376811594204,,0.7283950617283951,0.03765690376569038,0.08013937282229965,0.8826237054085155,0.8831858407079647,0.24279924796323377,0.8397291196388261,0.047670639219935,0.8191747572815535,0.505804311774461,0.2439613526570049,0.24223602484472048,0.08658922914466738
CHE,0.8421750663129975,0.7209302325581396,0.5424528301886793,0.681159420289855,,0.6807760141093474,0.10818888224745965,0.15331010452961674,0.8872266973532796,0.8867256637168143,0.3994317944432839,0.9243792325056432,0.04658721560130011,0.7512135922330097,0.6351575456053068,0.03864734299516909,0.04503105590062112,0.11510031678986272
