Country,Human Development Index (HDI),[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"[Demography] Population, ages 15–64 (millions)","[Demography] Population, ages 65 and older (millions)","[Demography] Population, total (millions)","[Demography] Population, under age 5 (millions)","[Demography] Population, urban (%)",[Demography] Sex ratio at birth (male to female births),[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),[Education] Education Index,[Education] Expected years of schooling (years),"[Education] Expected years of schooling, female (years)","[Education] Expected years of schooling, male (years)",[Education] Government expenditure on education (% of GDP),"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)","[Education] Gross enrolment ratio, primary (% of primary school-age population)","[Education] Gross enrolment ratio, secondary (% of secondary school-age population)","[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)",[Education] Mean years of schooling (years),"[Education] Mean years of schooling, female (years)","[Education] Mean years of schooling, male (years)",[Education] Population with at least some secondary education (% ages 25 and older),"[Education] Population with at least some secondary education, female (% ages 25 and older)","[Education] Population with at least some secondary education, male (% ages 25 and older)",[Education] Primary school teachers trained to teach (%),"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)","[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)","[Gender] Antenatal care coverage, at least one visit (%)","[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","[Gender] Estimated gross national income per capita, female (2011 PPP$)","[Gender] Estimated gross national income per capita, male (2011 PPP$)",[Gender] Female share of employment in senior and middle management (%),[Gender] Gender Development Index (GDI),[Gender] Gender Inequality Index (GII),"[Gender] Human Development Index (HDI), female","[Gender] Human Development Index (HDI), male",[Gender] Mandatory paid maternity leave (days),[Gender] Proportion of births attended by skilled health personnel (%),"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",[Gender] Share of seats in parliament (% held by women),[Gender] Total unemployment rate (female to male ratio),"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",[Gender] Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),[Gender] Youth unemployment rate (female to male ratio),"[Health] Infants lacking immunization, DTP (% of one-year-olds)","[Health] Infants lacking immunization, measles (% of one-year-olds)",[Health] Life expectancy Index,[Health] Life expectancy at birth (years),"[Health] Life expectancy at birth, female (years)","[Health] Life expectancy at birth, male (years)",[Human Security] Refugees by country of origin (thousands),[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",[Income_composition of resources] Gross fixed capital formation (% of GDP),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Inequality] Coefficient of Human Inequality,[Inequality] Inequality in education (%),[Inequality] Inequality in income (%),[Inequality] Inequality in life expectancy (%),[Inequality] Inequality-adjusted HDI (IHDI),[Inequality] Inequality-adjusted education index,[Inequality] Inequality-adjusted income index,[Inequality] Inequality-adjusted life expectancy index,[Inequality] Overall loss in HDI due to inequality (%),[Mobility and communication] International student mobility (% of total tertiary enrolment),[Socio-economic sustainability] Gross capital formation (% of GDP),[Socio-economic sustainability] Skilled labour force (% of labour force),[Trade and financial flows] Exports and imports (% of GDP),"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",[Trade and financial flows] Private capital flows (% of GDP),"[Trade and financial flows] Remittances, inflows (% of GDP)","[Work, employment and vulnerability] Employment in agriculture (% of total employment)","[Work, employment and vulnerability] Employment in services (% of total employment)","[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male","[Work, employment and vulnerability] Unemployment, total (% of labour force)","[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)","[Work, employment and vulnerability] Vulnerable employment (% of total employment)","[Work, employment and vulnerability] Youth not in school or employment (% ages 15-24)"
AFG,0.3965517241379311,0.08843537414965986,0.018918120011823823,0.006,0.025186236253990777,0.039789789789789795,0.20930232558139533,0.31250000000000044,0.6568825910931173,0.38837209302325576,0.3915094339622642,0.3259911894273128,0.507537688442211,,,0.6384615384615384,0.31446540880503143,,0.2536231884057971,0.13043478260869562,0.39285714285714285,0.24343434343434345,0.11044176706827309,0.35612244897959183,,0.4588235294117647,0.2855871886120997,,,0.0062821491866345835,0.01964679755071343,,0.4951338199513382,0.7675,0.32363213038416766,0.4691535150645624,0.14285714285714285,,0.13051146384479717,0.47560975609756095,0.07890017931858936,,0.06451612903225806,0.14634146341463417,0.36619718309859156,0.4065934065934066,0.6455696202531644,0.6442477876106195,0.596654275092937,0.6318897637795274,0.41664944602521103,0.2439183318853171,0.012060138029325422,0.0030201800800041456,,0.013461458115730102,0.36681715575620766,0.5815602836879432,0.9102040816326531,0.10015649452269171,0.46099290780141844,0.21745350500715302,0.1394769613947696,0.3413978494623657,0.36448598130841126,0.6032482598607889,,,,,0.11388455538221527,0.9069628568016243,0.010870214417965717,0.6738894907908993,0.31432038834951465,0.3416252072968491,0.38409475465313037,0.15919811320754718,0.8400702987697716,0.20772946859903385,0.27018633540372666,0.6969376979936642,
AGO,0.506631299734748,0.08616780045351474,0.014878313134298946,0.004666666666666666,0.021142249024476766,0.04054054054054055,0.627906976744186,0.12500000000000017,0.7823886639676113,0.4848837209302325,0.4575471698113208,0.4581497797356828,0.507537688442211,,,,,,0.34782608695652173,,,,,,,,0.6730427046263345,,,0.07143783409939052,0.04459376042117512,,,,,,0.14285714285714285,,0.6807760141093474,0.5296167247386759,0.05140466228332336,,0.21673387096774194,0.13588850174216027,0.5352112676056338,0.6263736263736264,0.6052934407364787,0.6053097345132743,0.58364312267658,0.5570866141732284,0.001319366068448076,0.31320590790616853,0.043159337893000166,0.008165323055611833,0.03679245283018868,0.046601211614790056,0.5632054176072234,0.6784869976359338,0.6836734693877551,0.38341158059467917,0.5567375886524822,0.278969957081545,0.2640099626400997,0.40188172043010767,0.2857142857142857,0.668213457076566,,0.04921135646687697,,0.09305331179321487,,,0.0,0.5482123510292525,0.4320388349514563,0.7031509121061359,0.7800338409475465,0.8172169811320754,0.7240773286467487,0.1932367149758454,0.2919254658385093,0.7032734952481521,
ALB,0.7771883289124669,0.41043083900226757,0.0019706375012316485,0.002666666666666667,0.0020574671869457253,0.0015015015015015017,0.5708245243128964,0.4375000000000006,0.10323886639676115,0.772093023255814,0.5990566037735849,0.6343612334801763,0.5929648241206031,,,,,,0.7028985507246377,0.7028985507246377,0.6928571428571428,0.9282828282828284,0.930722891566265,0.926530612244898,,,0.09074733096085409,,,0.1382793251012204,0.09768055683664564,,0.9148418491484184,0.24875,0.7986030267753202,0.7747489239598278,0.5793650793650794,,0.5873015873015873,0.48432055749128916,0.03945008965929468,,0.37600806451612906,0.11498257839721253,0.0,0.03296703296703297,0.9010356731875719,0.9008849557522125,0.879182156133829,0.9015748031496063,0.0019393091608513886,0.3866203301476977,0.08950992618297018,0.0015972559237463423,0.11886792452830189,0.0975391685815751,0.6862302483069977,0.1513002364066194,0.15714285714285714,0.1220657276995305,0.1205673758865248,0.7281831187410588,0.7048567870485679,0.6666666666666667,0.8077436582109481,0.14849187935034802,,0.1589905362776025,,0.12617124394184168,0.13364534581383253,0.8964528842708706,0.06002508511019531,0.43661971830985913,0.43567961165048547,0.32172470978441126,0.4162436548223351,0.48584905660377364,0.45694200351493863,0.3309178743961353,0.46118012422360244,0.6029567053854277,
AND,0.8740053050397878,,,,7.094714437743881e-05,,0.8752642706131079,,,0.7360465116279071,0.5377358490566038,,,,,,,,0.717391304347826,0.7246376811594203,0.6928571428571428,0.7222222222222222,0.7158634538152611,0.7275510204081632,,,,,,,,,,,,,,,,0.5574912891986062,,,,,0.0,0.0,0.9574223245109322,0.9575221238938054,,,0.0,,,,,0.39574681428869857,0.9221218961625282,,0.17551020408163265,,,,0.6625155666251558,,,,,,,,,,,,,,,,,,,,
ARE,0.8806366047745359,0.009070294784580499,0.007882550004926594,0.0006666666666666668,0.006669031571479248,0.003753753753753754,0.854122621564482,0.25000000000000033,0.015182186234817796,0.7639534883720931,0.5424528301886793,0.6035242290748899,0.5427135678391961,,,,,,0.7608695652173914,0.855072463768116,0.6571428571428571,0.6868686868686869,0.78714859437751,0.65,,,0.125,,,0.3583130412230019,0.5950730457857655,,0.9124087591240875,0.24124999999999996,0.8684516880093133,0.865136298421808,0.07142857142857142,,0.13932980599647266,0.39024390243902435,0.18589360430364613,,0.7620967741935485,0.20209059233449475,0.028169014084507043,0.0,0.8814729574223246,0.8814159292035401,0.8475836431226768,0.9055118110236221,1.589597672829007e-05,0.46807124239791487,0.51932178183311,0.02980602057114856,0.10849056603773585,0.5647963233758095,0.9830699774266366,,,,0.049645390070921995,,,,0.834445927903872,,,0.15646687697160883,0.5254582484725052,0.2791599353796446,,,,0.004333694474539546,0.6735436893203884,0.8192371475953565,0.8155668358714045,0.4115566037735849,0.9332161687170475,0.036231884057971016,0.07453416149068322,0.0031678986272439284,
ARG,0.830238726790451,0.3764172335600907,0.027884520642427826,0.03333333333333333,0.03142958495920539,0.027777777777777783,0.912262156448203,0.18750000000000025,0.24291497975708504,0.8546511627906976,0.7216981132075472,0.7973568281938326,0.6834170854271358,,,,,,0.6956521739130435,0.7246376811594203,0.6571428571428571,0.6444444444444444,0.6576305220883535,0.6204081632653061,,,0.2780249110320285,,,0.1770816823480253,0.17403273756731635,,0.9476885644768857,0.39875,0.849825378346915,0.8077474892395984,0.14285714285714285,,0.6331569664902998,0.6759581881533101,0.07292289300657501,,0.5040322580645161,0.18815331010452957,0.11267605633802817,0.10989010989010989,0.8699654775604143,0.8690265486725665,0.8754646840148701,0.8326771653543307,1.589597672829007e-05,0.3342745438748914,0.14474489361207718,0.039493212840241425,0.06981132075471698,0.15247963233758094,0.7607223476297967,0.24349881796690312,0.11020408163265306,0.3348982785602504,0.12588652482269502,0.7281831187410588,0.8094645080946452,0.6021505376344086,0.7716955941255007,0.2482598607888631,,0.12050473186119874,0.6262729124236254,0.04038772213247173,0.11804472178887154,0.8989609458975277,0.0005375380756136893,0.005417118093174431,0.8604368932038835,0.4262023217247098,0.48054145516074454,0.4870283018867924,0.6028119507908613,0.20531400966183574,0.3788819875776397,0.22492080253431887,
ARM,0.7374005305039788,0.3492063492063492,0.0019706375012316485,0.002,0.0020574671869457253,0.0015015015015015017,0.6099365750528541,0.7499999999999997,0.14372469635627533,0.7767441860465119,0.5141509433962265,0.5638766519823789,0.5025125628140704,,,,,,0.8260869565217391,0.8405797101449275,0.7999999999999999,0.9717171717171718,0.9688755020080322,0.9755102040816326,,,0.10186832740213524,,,0.09009696987161939,0.08528512335123706,,0.9136253041362531,0.27875,0.761350407450524,0.7288378766140603,0.2222222222222222,,0.673721340388007,0.31358885017421606,0.05738194859533771,,0.40423387096774194,0.19163763066202089,0.028169014084507043,0.03296703296703297,0.8354430379746836,0.8353982300884956,0.8271375464684015,0.8011811023622049,0.0017167654866553277,0.37554300608166813,0.066156479709999,0.00121561070302819,0.08160377358490567,0.07462711510340506,0.6410835214446953,0.14657210401891257,0.04285714285714285,0.2034428794992175,0.11702127659574468,0.6895565092989986,0.7621419676214197,0.5725806451612904,0.7409879839786383,0.14849187935034802,,0.11987381703470032,,0.1429725363489499,0.11856474258970358,0.9060074047533739,0.07967508809651794,0.37269772481040087,0.5400485436893204,0.33665008291873966,0.4839255499153977,0.535377358490566,0.5571177504393673,0.43478260869565216,0.6009316770186335,0.43822597676874336,
ATG,0.770557029177719,0.20634920634920634,9.853187506158244e-05,0.0,7.094714437743881e-05,0.0,0.20401691331923888,0.12500000000000017,0.19838056680161945,0.6918604651162791,0.5235849056603774,0.5859030837004405,0.5025125628140704,,,,,,0.644927536231884,,,,,,,,0.1921708185053381,,,,,,,,,,0.14444444444444443,,,0.34668989547038326,,,,,0.04225352112676056,0.12087912087912088,0.8665132336018412,0.8654867256637169,0.8475836431226768,0.8523622047244095,1.589597672829007e-05,0.37814943527367506,0.16455078503210616,0.0001036567266148069,,0.17172341758930437,0.7810383747178329,,,,0.09042553191489361,,,,0.7903871829105475,,,,,,,,0.012064743474885026,,,,,,,,,,
AUS,0.9814323607427057,0.5170068027210885,0.01576510000985319,0.025333333333333333,0.017382050372472507,0.012012012012012014,0.8509513742071882,0.31250000000000044,0.14271255060728744,0.9860465116279071,0.981132075471698,1.0,1.0,,,,,,0.9130434782608696,0.927536231884058,0.8785714285714287,0.898989898989899,0.8995983935742972,0.8969387755102042,,,0.05604982206405694,,,0.5074420414103137,0.36608745627540995,,0.9209245742092457,0.08750000000000001,0.9778812572759021,0.9956958393113343,0.0,,0.7477954144620812,0.5679442508710801,0.04602510460251046,,0.9919354838709677,0.0975609756097561,0.014084507042253521,0.04395604395604396,0.9815880322209436,0.9823008849557522,0.9609665427509295,0.9940944881889764,0.0,0.6337966985230236,0.34392694205401886,0.05174826492774654,0.11320754716981132,0.3622059745143096,0.9074492099322798,0.10401891252955084,0.036734693877551024,0.20813771517996868,0.021276595744680854,0.9484978540772532,0.982565379825654,0.8306451612903227,0.9652870493991991,0.10672853828306263,,0.1526813880126183,,0.06768982229402261,0.12272490899635985,0.9031410486086229,0.0008958967926894821,0.028169014084507043,0.8871359223300971,0.5339966832504146,0.5634517766497462,0.6273584905660378,0.5553602811950791,0.13285024154589373,0.19099378881987575,0.11298838437170011,
AUT,0.9403183023872679,0.6326530612244898,0.00571484875357178,0.011333333333333332,0.006172401560837175,0.0030030030030030034,0.5570824524312897,0.31250000000000044,0.06275303643724697,0.8965116279069768,0.6603773584905661,0.6960352422907489,0.663316582914573,,,,,,0.855072463768116,0.8478260869565217,0.8642857142857142,1.0,1.0,1.0,,,0.029359430604982212,,,0.5118078469230437,0.3925811876059856,,0.9160583941605839,0.03999999999999999,0.9394644935972061,0.9526542324246773,0.17777777777777778,,0.7583774250440918,0.5836236933797909,0.035265989240884636,,0.9838709677419355,0.10801393728222994,0.07042253521126761,0.03296703296703297,0.9585730724971231,0.9592920353982302,0.9442379182156134,0.9586614173228347,0.0,0.5243266724587315,0.3500305957258933,0.018860812574503272,0.11084905660377359,0.3777062878629622,0.9142212189616253,0.09929078014184396,0.036734693877551024,0.20813771517996868,0.010638297872340427,0.9113018597997138,0.8904109589041096,0.8373655913978496,0.9479305740987986,0.10208816705336428,,0.1583596214511041,0.8574338085539714,0.1691437802907916,0.12168486739469578,0.9141287471635018,0.004300304604909514,0.04658721560130011,0.7876213592233009,0.4660033167495854,0.4873096446700508,0.5778301886792453,0.476274165202109,0.1280193236714976,0.15683229813664595,0.08447729672650475,
