Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
AFG,,0.1662790697674418,0.16037735849056603,0.13043478260869568,0.4844649021864211,0.4849557522123894,,
AGO,0.23209549071618038,0.22674418604651164,0.11792452830188678,0.29710144927536236,0.3279631760644419,0.32743362831858414,0.01739711719239607,0.40519187358916475
ALB,0.6140583554376658,0.5872093023255814,0.4056603773584906,0.6014492753623188,0.8135788262370541,0.8141592920353982,0.04314184249007729,0.5507900677200903
AND,,,0.4103773584905661,,0.9010356731875719,0.9008849557522125,0.36920827240442866,0.9108352144469525
ARE,0.7851458885941645,0.6,0.4575471698113208,0.5579710144927537,0.8216340621403913,0.8212389380530974,0.8227950699811991,1.0
ARG,0.7493368700265253,0.7372093023255815,0.6084905660377359,0.6231884057971014,0.8147295742232451,0.8141592920353982,0.12211405890954669,0.7234762979683973
ARM,0.5875331564986738,0.6848837209302326,0.42924528301886794,0.753623188405797,0.7675489067894131,0.7663716814159294,0.021834134113223314,0.44130925507900676
ATG,,,,,0.8089758342922899,0.808849557522124,0.1448506371422603,0.7528216704288938
AUS,0.9230769230769231,0.9465116279069768,0.8632075471698112,0.8405797101449276,0.9148446490218642,0.9150442477876106,0.27859619803634844,0.863431151241535
AUT,0.8421750663129975,0.7511627906976744,0.6273584905660378,0.6304347826086957,0.8918296892980437,0.8920353982300886,0.307883852099436,0.8803611738148984
AZE,0.5755968169761274,0.6418604651162791,0.37735849056603776,0.7391304347826086,0.6881472957422324,0.688495575221239,0.03252141215792772,0.5045146726862303
BDI,0.13395225464190982,0.11860465116279069,0.11320754716981132,0.10869565217391305,0.4177215189873418,0.4176991150442479,0.004612492166283685,0.2178329571106095
BEL,0.8872679045092838,0.8651162790697674,0.7358490566037736,0.7028985507246377,0.8860759493670887,0.8867256637168143,0.30590348861499894,0.8792325056433409
BEN,0.25464190981432366,0.21046511627906977,0.2075471698113208,0.15942028985507248,0.48906789413118534,0.48849557522123904,0.011715061625235012,0.34537246049661396
BFA,,,0.061320754716981125,,0.3993095512082854,0.4000000000000001,0.007319824524754544,0.27878103837471785
BGD,0.34615384615384615,0.29418604651162783,0.2452830188679245,0.26086956521739135,0.6570771001150747,0.656637168141593,0.011932316691038228,0.34875846501128666
BGR,0.6750663129973475,0.6918604651162791,0.5094339622641509,0.6666666666666666,0.7733026467203683,0.7734513274336283,0.06739085021934406,0.6241534988713319
BHR,0.7785145888594164,0.6441860465116279,0.5235849056603774,0.5652173913043479,0.8250863060989644,0.824778761061947,0.35653227491121786,0.9051918735891648
BHS,,,0.4669811320754717,,0.7871116225546605,0.7876106194690266,0.19623981616879047,0.8036117381489841
BIH,,,,,0.8227848101265823,0.8230088495575221,0.05999582201796532,0.6049661399548533
BLR,0.6326259946949602,0.6709302325581395,0.5188679245283019,0.6159420289855073,0.7042577675489069,0.7044247787610621,0.057998746605389596,0.5993227990970655
BLZ,0.6246684350132627,0.666279069767442,0.4528301886792453,0.6956521739130435,0.7226697353279632,0.72212389380531,0.048213912680175476,0.5688487584650113
BOL,0.5318302387267905,0.622093023255814,0.5283018867924529,0.5144927536231885,0.5753739930955121,0.5752212389380532,0.03420931689993733,0.5124153498871331
BRA,0.6326259946949602,0.5709302325581396,0.5660377358490566,0.36956521739130443,0.7433831990794016,0.743362831858407,0.08882389805723835,0.6704288939051918
BRB,0.7214854111405836,0.6941860465116279,0.5613207547169812,0.608695652173913,0.8078250863060991,0.8070796460176992,0.10901190724879883,0.7042889390519187
BRN,0.8209549071618037,0.658139534883721,0.5330188679245284,0.572463768115942,0.8388952819332566,0.8389380530973453,0.6826739085021934,1.0
BTN,,,0.2452830188679245,,0.571921749136939,0.5716814159292035,0.02190098182577815,0.44130925507900676
BWA,0.4867374005305041,0.5709302325581396,0.4528301886792453,0.5144927536231885,0.39125431530494825,0.39115044247787617,0.08096929183204513,0.654627539503386
CAF,0.14456233421750664,0.18023255813953493,0.14622641509433962,0.1811594202898551,0.2945914844649022,0.29557522123893804,0.005740547315646543,0.24604966139954856
CAN,0.8819628647214856,0.8418604651162792,0.6509433962264152,0.7681159420289856,0.907940161104718,0.9079646017699117,0.2887236264884061,0.8690744920993229
CHE,0.9045092838196286,0.8232558139534885,0.6132075471698113,0.782608695652174,0.9205983889528194,0.9203539823008849,0.43026530185920203,0.9367945823927766
CHL,0.7347480106100797,0.6779069767441861,0.5377358490566038,0.608695652173913,0.8665132336018412,0.8654867256637169,0.11064967620639231,0.7065462753950339
CHN,0.5119363395225465,0.45581395348837206,0.34905660377358494,0.4347826086956522,0.7779056386651323,0.7769911504424779,0.026622101524963443,0.4729119638826184
CIV,0.25596816976127323,0.23953488372093018,0.21226415094339623,0.20289855072463772,0.3429228998849252,0.3433628318584071,0.021967829538332984,0.44243792325056436
CMR,0.3010610079575597,0.31162790697674414,0.22641509433962267,0.31884057971014496,0.39125431530494825,0.39115044247787617,0.018909546688949237,0.4187358916478555
COD,0.1750663129973475,0.25465116279069766,0.22641509433962267,0.21014492753623193,0.3889528193325662,0.3893805309734514,0.003066638813453102,0.1704288939051919
COG,0.3938992042440319,0.4348837209302326,0.3632075471698114,0.3768115942028986,0.4223245109321059,0.42300884955752216,0.030875287236264884,0.49661399548532725
COL,0.596816976127321,0.5209302325581395,0.43396226415094347,0.44202898550724645,0.762945914844649,0.7628318584070798,0.06476707750156674,0.6173814898419864
COM,,,0.28773584905660377,,0.5627157652474108,0.5628318584070797,0.010620430332149572,0.33182844243792325
CPV,,,0.43396226415094347,,0.7341772151898734,0.7345132743362831,0.02993941926049718,0.4909706546275394
CRI,0.6737400530503981,0.5848837209302326,0.4481132075471698,0.5507246376811595,0.8791714614499424,0.8796460176991151,0.0763985794861082,0.6455981941309255
CUB,0.6366047745358091,0.6674418604651163,0.4716981132075472,0.6739130434782609,0.8642117376294591,0.8637168141592922,0.030332149571756842,0.4932279909706547
CYP,0.7957559681697614,0.6895348837209303,0.4905660377358491,0.6884057971014493,0.8895281933256617,0.8902654867256639,0.2306329642782536,0.8306997742663657
CZE,0.7771883289124669,0.7418604651162792,0.5330188679245284,0.7318840579710145,0.8319907940161104,0.831858407079646,0.16446208481303531,0.7742663656884876
DEU,0.870026525198939,0.827906976744186,0.6650943396226415,0.7246376811594204,0.8872266973532796,0.8867256637168143,0.2945059536243994,0.8724604966139955
DJI,0.21618037135278523,0.12209302325581402,0.037735849056603765,0.20289855072463772,0.5201380897583429,0.520353982300885,0.014414038019636515,0.3769751693002257
DMA,,,0.4669811320754717,,0.8642117376294591,0.8637168141592922,0.05918529350323794,0.6027088036117382
DNK,0.8779840848806366,0.8465116279069769,0.679245283018868,0.7463768115942029,0.8653624856156503,0.8654867256637169,0.3376728640066848,0.8950338600451467
DOM,0.5994694960212201,0.5430232558139534,0.47641509433962265,0.4347826086956522,0.757192174913694,0.7575221238938055,0.06032170461667015,0.6060948081264107
DZA,0.5795755968169762,0.472093023255814,0.4056603773584906,0.39130434782608703,0.7479861910241657,0.7469026548672567,0.07787758512638396,0.6478555304740405
ECU,0.6220159151193634,0.5744186046511627,0.48584905660377364,0.47826086956521746,0.7974683544303798,0.7964601769911505,0.05665343639022352,0.5959367945823928
EGY,0.5384615384615385,0.4418604651162791,0.419811320754717,0.3115942028985507,0.7215189873417723,0.72212389380531,0.05855859619803635,0.600451467268623
ERI,,,0.09905660377358491,,0.47986191024165714,0.47964601769911513,0.013210779193649467,0.36343115124153497
ESP,0.8222811671087534,0.730232558139535,0.6367924528301887,0.572463768115942,0.9113924050632912,0.911504424778761,0.23571339043242115,0.8340857787810384
EST,0.7559681697612732,0.8162790697674418,0.5801886792452831,0.8115942028985508,0.7502876869965478,0.7504424778761063,0.12243158554418215,0.7246049661399547
ETH,,,0.08490566037735849,,0.42117376294591485,0.42123893805309737,0.0032254021307708378,0.1760722347629797
FIN,0.8607427055702918,0.8209302325581397,0.7169811320754718,0.644927536231884,0.8837744533947066,0.8831858407079647,0.2717860873198245,0.8589164785553047
FJI,0.6392572944297082,0.7034883720930233,0.5188679245283019,0.6739130434782609,0.7042577675489069,0.7044247787610621,0.05312721955295592,0.5846501128668171
FRA,0.856763925729443,0.7860465116279071,0.6415094339622641,0.6739130434782609,0.903337169159954,0.9026548672566371,0.2867432630039691,0.8679458239277652
FSM,,,,,0.7008055235903337,0.7008849557522125,0.023714226028828077,0.45372460496614
GAB,0.5795755968169762,0.5313953488372092,0.47641509433962265,0.4130434782608696,0.5650172612197929,0.5646017699115045,0.1497890119072488,0.7584650112866816
GBR,0.8779840848806366,0.8686046511627907,0.6509433962264152,0.8188405797101449,0.8837744533947066,0.8831858407079647,0.2660789638604554,0.8555304740406321
GEO,,,0.43867924528301894,,0.7790563866513234,0.7787610619469026,0.02621265928556507,0.46952595936794583
GHA,0.3726790450928382,0.38953488372093026,0.2641509433962264,0.4130434782608696,0.5201380897583429,0.520353982300885,0.01657823271359933,0.3984198645598194
GIN,0.1631299734748011,0.11511627906976743,0.12735849056603774,0.07971014492753623,0.41887226697353286,0.4194690265486725,0.008907457697931899,0.3058690744920993
GMB,0.23740053050397872,0.19069767441860463,0.2075471698113208,0.12318840579710146,0.49367088607594944,0.4938053097345133,0.01031961562565281,0.32731376975169296
GNB,,,0.20283018867924532,,0.43383199079401613,0.43362831858407086,0.009116356799665761,0.30925507900677196
