Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Gender] Share of seats in parliament (% held by women),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
AFG,,0.14069767441860465,0.13207547169811323,0.12318840579710146,,0.46720368239355586,0.46725663716814164,,
AGO,,,0.09433962264150941,,0.1637630662020906,0.29689298043728424,0.2973451327433628,0.01887612283267182,0.4187358916478555
ALB,0.5862068965517241,0.5697674418604651,0.4009433962264151,0.5797101449275363,,0.8009205983889528,0.8,0.0340672655107583,0.5124153498871331
AND,,,0.4103773584905661,,0.12195121951219512,0.8906789413118527,0.8902654867256639,0.3437977856695216,0.8984198645598195
ARE,0.7679045092838197,0.5709302325581396,0.44339622641509435,0.5289855072463768,0.0,0.812428078250863,0.8123893805309735,0.8618007102569459,1.0
ARG,0.7254641909814324,0.6848837209302326,0.5518867924528302,0.6014492753623188,0.3954703832752613,0.8066743383199079,0.8070796460176992,0.1251054940463756,0.7279909706546276
ARM,0.5623342175066314,0.6511627906976744,0.3915094339622642,0.7463768115942029,0.10801393728222997,0.7491369390103567,0.7486725663716816,0.019845414664716943,0.4255079006772009
ATG,,,,,0.1916376306620209,0.8020713463751439,0.801769911504425,0.14004595780238144,0.747178329571106
AUS,0.9151193633952255,0.9465116279069768,0.8537735849056604,0.8333333333333334,0.35540069686411146,0.905638665132336,0.9061946902654867,0.25844996866513475,0.8498871331828443
AUT,0.8289124668435015,0.7372093023255815,0.6084905660377359,0.6231884057971014,0.42857142857142855,0.8814729574223246,0.8814159292035401,0.29115521203258826,0.8702031602708804
AZE,0.5543766578249337,0.622093023255814,0.3584905660377358,0.7318840579710145,0.20731707317073172,0.6777905638665132,0.6778761061946904,0.027984123668268225,0.4808126410835215
BDI,0.12864721485411149,0.11744186046511627,0.11320754716981132,0.10144927536231885,,0.3993095512082854,0.4000000000000001,0.004562356381867558,0.21670428893905191
BEL,0.8793103448275863,0.8593023255813953,0.7358490566037736,0.6884057971014493,0.27351916376306623,0.8791714614499424,0.8796460176991151,0.29118027992479634,0.8702031602708804
BEN,0.24137931034482762,0.19418604651162788,0.18867924528301885,0.14492753623188406,0.12369337979094078,0.4879171461449943,0.4867256637168142,0.011163567996657615,0.3386004514672686
BFA,,,0.0518867924528302,,0.186411149825784,0.39125431530494825,0.39115044247787617,0.006576143722581993,0.2641083521444695
BGD,0.3222811671087533,0.2697674418604651,0.22641509433962267,0.23913043478260873,0.15679442508710803,0.6329113924050633,0.631858407079646,0.011171923960726969,0.3386004514672686
BGR,0.6697612732095493,0.6813953488372094,0.5,0.6594202898550725,0.186411149825784,0.7686996547756042,0.768141592920354,0.06741591811155212,0.6241534988713319
