Country,1990,1995,2000,2005,2010,2015
Afghanistan,15.9,16.0,15.7,16.1,16.0,17.3
Albania,24.1,24.7,27.1,29.2,32.3,36.2
Algeria,18.0,19.4,21.7,24.1,26.0,27.5
Angola,15.8,16.0,16.2,16.3,16.3,16.4
Antigua and Barbuda,24.4,26.6,28.3,28.5,29.3,30.7
Argentina,27.2,27.4,27.9,28.7,29.9,30.8
Armenia,27.2,29.4,30.6,31.8,32.9,33.9
Australia,32.1,33.6,35.4,36.6,36.9,37.4
Austria,36.5,36.3,38.2,40.0,41.9,43.2
Azerbaijan,24.1,24.6,25.6,27.1,28.7,30.3
Bahamas,23.6,25.0,27.0,29.1,30.9,32.5
Bahrain,25.4,26.4,26.6,27.8,30.1,31.2
Bangladesh,18.6,19.5,20.9,22.4,23.9,25.6
Barbados,28.3,31.1,33.5,35.2,37.0,38.5
Belarus,33.1,34.7,36.5,38.1,38.9,39.6
Belgium,36.5,37.6,39.0,40.3,40.9,41.3
Belize,17.9,18.4,19.2,20.2,21.9,23.5
Benin,17.1,17.2,17.3,17.6,17.9,18.2
Bhutan,17.9,17.6,18.8,21.4,23.8,26.3
Bolivia (Plurinational State of),19.1,19.7,20.5,21.6,22.8,24.1
Bosnia and Herzegovina,29.8,33.0,34.9,36.9,38.9,41.0
Botswana,17.5,18.8,20.1,21.5,23.0,24.4
Brazil,22.4,23.7,25.1,27.0,29.0,31.3
Brunei Darussalam,23.2,24.0,25.5,26.8,27.5,30.0
Bulgaria,36.5,38.2,39.7,41.2,42.4,43.5
Burkina Faso,16.3,16.3,16.4,16.6,16.7,17.0
Burundi,16.4,15.3,15.3,16.7,17.6,17.6
Cabo Verde,16.9,17.2,18.0,19.7,22.0,23.8
Cambodia,17.9,17.3,18.1,20.4,22.7,23.9
Cameroon,16.8,16.9,17.3,17.7,18.0,18.3
Canada,32.9,34.8,36.8,38.6,39.7,40.5
Central African Republic,18.4,18.6,18.6,18.6,18.5,17.8
Chad,16.3,15.9,15.6,15.4,15.6,16.1
Chile,25.6,27.1,28.9,30.6,32.1,33.7
China,24.9,27.3,30.1,32.7,35.2,37.0
