Country,1990,1995,2000,2005,2010,2015,2016,2017
Afghanistan,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Albania,1.07,1.07,1.08,1.08,1.08,1.08,1.08,1.08
Algeria,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Angola,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03
Antigua and Barbuda,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Argentina,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
Armenia,1.06,1.08,1.15,1.17,1.15,1.14,1.13,1.13
Australia,1.05,1.06,1.05,1.06,1.06,1.06,1.06,1.06
Austria,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Azerbaijan,1.06,1.08,1.13,1.17,1.17,1.16,1.13,1.13
Bahamas,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Bahrain,1.05,1.05,1.04,1.04,1.04,1.04,1.04,1.04
Bangladesh,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Barbados,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
Belarus,1.06,1.07,1.07,1.06,1.06,1.06,1.06,1.06
Belgium,1.06,1.05,1.04,1.05,1.05,1.05,1.05,1.05
Belize,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Benin,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
Bhutan,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
Bolivia (Plurinational State of),1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Bosnia and Herzegovina,1.07,1.07,1.07,1.07,1.07,1.07,1.06,1.06
Botswana,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Brazil,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Brunei Darussalam,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Bulgaria,1.06,1.05,1.06,1.06,1.06,1.06,1.06,1.06
Burkina Faso,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Burundi,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Cabo Verde,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Cambodia,1.04,1.04,1.04,1.03,1.06,1.05,1.05,1.05
Cameroon,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Canada,1.05,1.06,1.05,1.05,1.05,1.06,1.06,1.06
Central African Republic,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Chad,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Chile,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
China,1.08,1.12,1.14,1.16,1.17,1.16,1.15,1.15
Colombia,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Comoros,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Congo,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Congo (Democratic Republic of the),1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Costa Rica,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Croatia,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Cuba,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Cyprus,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07
Czechia,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Côte d'Ivoire,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Denmark,1.06,1.06,1.06,1.05,1.06,1.06,1.06,1.06
Djibouti,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
Dominican Republic,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Ecuador,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Egypt,1.06,1.06,1.06,1.07,1.07,1.07,1.06,1.06
El Salvador,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Equatorial Guinea,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Eritrea,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Estonia,1.06,1.06,1.07,1.06,1.06,1.05,1.06,1.06
Eswatini (Kingdom of),1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Ethiopia,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
Fiji,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Finland,1.05,1.04,1.05,1.05,1.04,1.05,1.05,1.05
France,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Gabon,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Gambia,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Georgia,1.08,1.08,1.11,1.11,1.11,1.09,1.08,1.08
Germany,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Ghana,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Greece,1.07,1.07,1.06,1.07,1.07,1.06,1.07,1.07
Grenada,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Guatemala,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Guinea,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
Guinea-Bissau,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Guyana,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Haiti,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Honduras,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
"Hong Kong, China (SAR)",1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07
Hungary,1.06,1.05,1.06,1.06,1.05,1.06,1.06,1.06
Iceland,1.06,1.06,1.04,1.04,1.05,1.05,1.05,1.05
India,1.07,1.09,1.1,1.11,1.11,1.11,1.11,1.11
Indonesia,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Iran (Islamic Republic of),1.05,1.05,1.04,1.04,1.05,1.05,1.05,1.05
Iraq,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07
Ireland,1.07,1.07,1.07,1.07,1.06,1.06,1.06,1.06
Israel,1.05,1.06,1.06,1.05,1.05,1.06,1.05,1.05
Italy,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Jamaica,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Japan,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Jordan,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Kazakhstan,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Kenya,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Kiribati,1.07,1.07,1.07,1.07,1.07,1.07,1.06,1.06
Korea (Democratic People's Rep. of),1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Korea (Republic of),1.14,1.14,1.1,1.1,1.07,1.07,1.07,1.07
Kuwait,1.04,1.04,1.04,1.05,1.05,1.05,1.05,1.05
Kyrgyzstan,1.05,1.05,1.07,1.05,1.06,1.06,1.06,1.06
Lao People's Democratic Republic,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Latvia,1.06,1.05,1.07,1.05,1.04,1.06,1.06,1.06
Lebanon,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Lesotho,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Liberia,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Libya,1.05,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Lithuania,1.06,1.05,1.06,1.06,1.05,1.05,1.05,1.05
Luxembourg,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Madagascar,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03
Malawi,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03
Malaysia,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Maldives,1.05,1.08,1.06,1.06,1.06,1.08,1.07,1.07
Mali,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Malta,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Mauritania,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Mauritius,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
Mexico,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Micronesia (Federated States of),1.07,1.07,1.07,1.07,1.07,1.07,1.06,1.06
Moldova (Republic of),1.06,1.06,1.05,1.06,1.06,1.06,1.06,1.06
Mongolia,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Montenegro,1.08,1.08,1.08,1.08,1.08,1.07,1.06,1.06
Morocco,1.05,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Mozambique,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Myanmar,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Namibia,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Nepal,1.05,1.05,1.07,1.07,1.05,1.07,1.07,1.07
Netherlands,1.06,1.06,1.06,1.06,1.06,1.06,1.05,1.05
New Zealand,1.05,1.06,1.06,1.05,1.06,1.06,1.06,1.06
Nicaragua,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Niger,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Nigeria,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Norway,1.05,1.06,1.06,1.05,1.06,1.05,1.06,1.06
Oman,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Pakistan,1.06,1.06,1.08,1.1,1.09,1.09,1.09,1.09
"Palestine, State of",1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Panama,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Papua New Guinea,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
Paraguay,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Peru,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Philippines,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Poland,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Portugal,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Qatar,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Romania,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Russian Federation,1.05,1.06,1.06,1.06,1.06,1.06,1.05,1.05
Rwanda,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02
Saint Lucia,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Saint Vincent and the Grenadines,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Samoa,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
Sao Tome and Principe,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Saudi Arabia,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
Senegal,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
Serbia,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Seychelles,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Sierra Leone,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
Singapore,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07
Slovakia,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Slovenia,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Solomon Islands,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07
