"Child malnutrition, stunting (moderate or severe) (% under age 5)"
"HDI Rank","Country","2010-2016"
"168"," Afghanistan","40.9  a"
"68"," Albania","23.2  a,b"
"85"," Algeria","11.7  a"
"147"," Angola","37.6  a"
"83"," Armenia","9.4  a"
"3"," Australia","2.0  a,b"
"80"," Azerbaijan","18.0  a"
"136"," Bangladesh","36.2  a"
"58"," Barbados","7.7  a"
"106"," Belize","15.0  a"
"163"," Benin","34.0  a"
"134"," Bhutan","33.5  a"
"118"," Bolivia (Plurinational State of)","16.1  a"
"77"," Bosnia and Herzegovina","8.9  a"
"101"," Botswana","31.4  a,b"
"79"," Brazil","7.1  a,b"
"39"," Brunei Darussalam","19.7  a,b"
"183"," Burkina Faso","27.3  a"
"185"," Burundi","55.9  a"
"146"," Cambodia","32.4  a"
"151"," Cameroon","31.7  a"
"188"," Central African Republic","40.7  a"
"186"," Chad","39.8  a"
"44"," Chile","1.8  a"
"86"," China","8.1  a"
"90"," Colombia","12.6  a"
"165"," Comoros","31.1  a"
"137"," Congo","21.2  a"
"176"," Congo (Democratic Republic of the)","42.7  a"
"63"," Costa Rica","5.6  a,b"
"170"," Côte d'Ivoire","21.6  a"
"172"," Djibouti","33.5  a"
"94"," Dominican Republic","7.1  a"
"86"," Ecuador","23.9  a"
"115"," Egypt","22.3  a"
"121"," El Salvador","13.6  a"
"141"," Equatorial Guinea","26.2  a"
"179"," Eritrea","50.3  a"
"144"," Eswatini (Kingdom of)","25.5  a"
"173"," Ethiopia","38.4  a"
"110"," Gabon","17.0  a"
"174"," Gambia","24.6  a"
"70"," Georgia","11.3  a,b"
"140"," Ghana","18.8  a"
"127"," Guatemala","46.7  a"
"175"," Guinea","32.4  a"
"177"," Guinea-Bissau","27.6  a"
"125"," Guyana","11.3  a"
"168"," Haiti","22.0  a"
"133"," Honduras","22.6  a"
"130"," India","37.9  a"
"116"," Indonesia","36.4  a"
"60"," Iran (Islamic Republic of)","6.8  a"
"120"," Iraq","22.1  a"
"97"," Jamaica","6.2  a"
"19"," Japan","7.1  a"
"95"," Jordan","7.8  a"
"58"," Kazakhstan","8.0  a"
"142"," Kenya","26.2  a"
"n.a"," Korea (Democratic People's Rep. of)","27.9  a"
"22"," Korea (Republic of)","2.5  a"
"56"," Kuwait","4.9  a"
"122"," Kyrgyzstan","12.9  a"
"139"," Lao People's Democratic Republic","44.2  a"
"159"," Lesotho","33.4  a"
"181"," Liberia","32.1  a"
"108"," Libya","21.0  a,b"
"161"," Madagascar","49.2  a,b"
"171"," Malawi","37.4  a"
"57"," Malaysia","20.7  a"
"101"," Maldives","18.6  a,b"
"182"," Mali","30.4  a"
"159"," Mauritania","27.9  a"
"74"," Mexico","12.4  a"
"112"," Moldova (Republic of)","6.4  a"
"92"," Mongolia","10.8  a"
"50"," Montenegro","9.4  a"
"123"," Morocco","14.9  a"
"180"," Mozambique","42.9  a"
"148"," Myanmar","29.4  a"
"129"," Namibia","22.7  a"
"n.a"," Nauru","24.0  a,b"
"149"," Nepal","36.0  a"
"124"," Nicaragua","17.3  a"
"189"," Niger","42.2  a"
"157"," Nigeria","43.6  a"
"48"," Oman","14.1  a"
"150"," Pakistan","45.0  a"
"119"," Palestine, State of","7.4  a"
"66"," Panama","19.1  a,b"
"153"," Papua New Guinea","49.5  a"
"110"," Paraguay","5.6  a"
"89"," Peru","13.1  a"
"113"," Philippines","33.4  a"
"158"," Rwanda","36.7  a"
"90"," Saint Lucia","2.5  a"
"104"," Samoa","4.9  a"
"143"," Sao Tome and Principe","17.2  a"
"164"," Senegal","17.1  a"
"67"," Serbia","6.0  a"
"62"," Seychelles","7.9  a"
"184"," Sierra Leone","37.8  a"
"152"," Solomon Islands","31.6  a"
"n.a"," Somalia","25.3  a,b"
"113"," South Africa","27.4  a"
"187"," South Sudan","31.3  a"
"76"," Sri Lanka","17.3  a"
"167"," Sudan","38.2  a"
"100"," Suriname","8.8  a"
"155"," Syrian Arab Republic","27.5  a,b"
"127"," Tajikistan","26.8  a"
"154"," Tanzania (United Republic of)","34.5  a"
"83"," Thailand","10.5  a"
"80"," The former Yugoslav Republic of Macedonia","4.9  a"
"132"," Timor-Leste","50.2  a"
"165"," Togo","27.6  a"
"98"," Tonga","8.1  a"
"69"," Trinidad and Tobago","11.0  a"
"95"," Tunisia","10.1  a"
"64"," Turkey","9.5  a"
"108"," Turkmenistan","11.5  a"
"n.a"," Tuvalu","10.0  a,b"
"162"," Uganda","28.9  a"
"13"," United States","2.1  a"
"55"," Uruguay","10.7  a"
"105"," Uzbekistan","19.6  a,b"
"138"," Vanuatu","28.5  a"
"78"," Venezuela (Bolivarian Republic of)","13.4  a,b"
"116"," Viet Nam","24.6  a"
"178"," Yemen","46.4  a"
"144"," Zambia","40.0  a"
"156"," Zimbabwe","27.1  a"
"<a name="a"></a>a: Data refer to the most recent year available during the period specified.<br /><a name="a"></a>b: Refers to a year between 2006 and 2009.<br />"
