"HIV prevalence, adult (% ages 15-49), total"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016",""
"168"," Afghanistan","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," a"
"68"," Albania","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," a"
"85"," Algeria","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," a"
"147"," Angola","0.2","","0.6","","1.0","","1.4","","1.7","","1.8","","1.8","","1.8","","1.8","","1.9","","1.9",""
"47"," Argentina","0.3","","0.3","","0.3","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4",""
"83"," Armenia","0.1","","0.1","","0.1","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2",""
"3"," Australia","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," a"
"80"," Azerbaijan","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," a"
"54"," Bahamas","1.0","","2.3","","2.9","","2.9","","3.0","","3.0","","3.1","","3.1","","3.1","","3.2","","3.3",""
"43"," Bahrain","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," a"
"136"," Bangladesh","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," a"
"58"," Barbados","0.1","","0.4","","0.7","","1.0","","1.2","","1.2","","1.3","","1.3","","1.3","","1.3","","1.3",""
"53"," Belarus","0.1","","0.1","","0.1","","0.1","","0.2","","0.2","","0.2","","0.3","","0.3","","0.3","","0.4",""
"106"," Belize","0.1","","0.1","","0.6","","1.5","","1.8","","1.9","","1.9","","1.9","","1.9","","1.8","","1.8",""
"163"," Benin","0.2","","0.9","","1.4","","1.3","","1.1","","1.1","","1.1","","1.0","","1.0","","1.0","","1.0",""
"118"," Bolivia (Plurinational State of)","0.1","","0.1","","0.3","","0.4","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3",""
"101"," Botswana","7.0","","20.8","","26.9","","24.6","","23.0","","22.9","","22.7","","22.6","","22.4","","22.2","","21.9",""
"79"," Brazil","0.2","","0.3","","0.3","","0.4","","0.5","","0.5","","0.5","","0.6","","0.6","","0.6","","0.6",""
"51"," Bulgaria","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," a"
"183"," Burkina Faso","3.1","","3.5","","2.5","","1.5","","1.1","","1.0","","1.0","","0.9","","0.9","","0.9","","0.8",""
"185"," Burundi","0.5","","2.3","","3.4","","2.3","","1.5","","1.4","","1.3","","1.2","","1.2","","1.1","","1.1",""
"125"," Cabo Verde","0.5","","0.9","","1.1","","0.9","","0.8","","0.8","","0.8","","0.8","","0.8","","0.8","","0.8",""
"146"," Cambodia","0.1","","1.3","","1.6","","1.1","","0.8","","0.8","","0.7","","0.7","","0.6","","0.6","","0.6",""
"151"," Cameroon","0.8","","2.7","","4.6","","5.1","","4.6","","4.5","","4.3","","4.2","","4.1","","3.9","","3.8",""
"188"," Central African Republic","2.9","","9.1","","9.3","","6.3","","4.8","","4.6","","4.4","","4.3","","4.2","","4.1","","4.0",""
