Country1_Country2,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
AFG_AGO,0.0915119363395227,0.052325581395348875,0.009433962264150941,0.11594202898550729,0.06214039125431525,0.06371681415929198,0.035362439941508256,0.2257336343115124
AFG_ALB,0.3660477453580904,0.34069767441860477,0.14622641509433965,0.4492753623188406,0.27502876869965476,0.2743362831858407,0.06566952162105703,0.3081264108352144
AFG_AND,0.5,0.3511627906976744,0.11792452830188677,0.5072463768115941,0.3532796317606445,0.352212389380531,0.3672780447044078,0.5767494356659142
AFG_ARE,0.5066312997347482,0.3906976744186046,0.1933962264150944,0.4782608695652173,0.2727272727272728,0.27256637168141606,0.5008147064967621,0.6286681715575622
AFG_ARG,0.4588859416445625,0.48372093023255824,0.35849056603773594,0.4492753623188406,0.2600690448791715,0.25840707964601783,0.12635888865677877,0.4063205417607224
AFG_ARM,0.35941644562334246,0.4302325581395351,0.17924528301886794,0.5797101449275364,0.2186421173762947,0.21769911504424777,0.04399415082515146,0.2528216704288939
AFG_ATG,0.42042440318302404,0.3639534883720932,0.17924528301886794,0.4492753623188406,0.25661680092059835,0.25486725663716825,0.15483601420513893,0.437923250564334
AFG_AUS,0.6206896551724139,0.6395348837209305,0.4858490566037735,0.6666666666666667,0.3716915995397009,0.3699115044247788,0.32045122205974513,0.5553047404063206
AFG_AUT,0.5742705570291775,0.5348837209302327,0.29245283018867924,0.6231884057971014,0.3475258918296893,0.3469026548672568,0.3434468351786088,0.5665914221218962
AFG_AZE,0.37533156498673753,0.3767441860465116,0.11792452830188677,0.5507246376811593,0.17491369390103573,0.17345132743362823,0.10717359515354084,0.3803611738148984
AFG_BDI,0.08753315649867363,0.0,0.02830188679245288,0.03623188405797098,0.11277330264672031,0.1132743362831859,0.006559431794443283,0.12189616252821664
AFG_BEL,0.5915119363395227,0.5941860465116281,0.4622641509433962,0.5797101449275364,0.3383199079401611,0.338053097345133,0.32481303530394817,0.5575620767494357
AFG_BEN,0.019893899204244114,0.034883720930232565,0.06603773584905659,0.021739130434782566,0.031070195627157626,0.031858407079646045,0.002381449759766034,0.029345372460496677
AFG_BFA,0.11538461538461528,0.16162790697674415,0.13679245283018873,0.12318840579710144,0.07710011507479853,0.07787610619469032,0.001211614790056402,0.016930022573363457
AFG_BGD,0.10875331564986751,0.05813953488372098,0.014150943396226412,0.12318840579710147,0.15995397008055223,0.15929203539823011,0.008247336536452895,0.08465011286681717
AFG_BGR,0.42572944297082244,0.45000000000000007,0.2358490566037736,0.5434782608695652,0.22554660529344062,0.22477876106194694,0.11010653854188429,0.3848758465011287
AFG_BHR,0.4522546419098145,0.3395348837209302,0.1933962264150944,0.3840579710144928,0.2681242807825086,0.26725663716814174,0.29809066221015246,0.5428893905191874
AFG_BHS,0.4429708222811673,0.41162790697674423,0.16037735849056595,0.5652173913043479,0.2451093210586881,0.24424778761061938,0.171715061625235,0.45372460496613987
AFG_BIH,0.35411140583554385,0.3093023255813955,0.1933962264150944,0.33333333333333337,0.26582278481012656,0.2654867256637168,0.07022352203885524,0.31828442437923243
AFG_BLR,0.4389920424403185,0.5453488372093024,0.29716981132075476,0.6376811594202899,0.1668584579976985,0.16637168141592928,0.11028201378734073,0.3848758465011287
AFG_BLZ,0.3262599469496023,0.38953488372093037,0.15094339622641506,0.5289855072463768,0.15650172612197932,0.15575221238938042,0.047303112596615834,0.2629796839729118
AFG_BOL,0.25729442970822297,0.3348837209302328,0.2169811320754717,0.34782608695652184,0.08975834292289986,0.08849557522123885,0.029705452266555257,0.2042889390519187
AFG_BRA,0.3514588859416446,0.29186046511627917,0.2169811320754717,0.2681159420289856,0.22554660529344062,0.22477876106194694,0.09788176310841863,0.36681715575620766
AFG_BRB,0.4376657824933687,0.45581395348837206,0.3113207547169811,0.4492753623188406,0.24856156501726123,0.24778761061946897,0.11389179026530184,0.39051918735891655
AFG_BRN,0.5159151193633955,0.3790697674418607,0.2358490566037736,0.4057971014492753,0.2819332566168009,0.28141592920353986,0.6581909337789847,0.662528216704289
AFG_BTN,0.13395225464190985,0.02906976744186046,0.089622641509434,0.0579710144927536,0.11622554660529338,0.11504424778761058,0.03408397743889702,0.2212189616252822
AFG_BWA,0.25862068965517254,0.3186046511627908,0.14622641509433965,0.4130434782608696,0.04027617951668572,0.04070796460176995,0.08937539168581575,0.3532731376975169
AFG_CAF,0.14588859416445618,0.06860465116279063,0.12264150943396226,0.02898550724637683,0.24626006904487918,0.24601769911504429,0.005648631710883642,0.09932279909706543
AFG_CAN,0.5915119363395227,0.5790697674418605,0.31603773584905664,0.6811594202898551,0.3601841196777905,0.3592920353982302,0.31514518487570503,0.5519187358916479
AFG_CHE,0.6286472148541116,0.5976744186046512,0.29245283018867924,0.7391304347826088,0.37744533947065606,0.3769911504424778,0.4522999791100898,0.6117381489841985
AFG_CHL,0.46551724137931055,0.4488372093023256,0.27358490566037735,0.49275362318840576,0.3107019562715766,0.3097345132743363,0.1320994359724253,0.4130925507900678
AFG_CHN,0.31962864721485434,0.2639534883720931,0.16037735849056595,0.2898550724637682,0.25316455696202533,0.25132743362831866,0.059327344892416964,0.29458239277652376
AFG_CIV,0.021220159151193352,0.010465116279069764,0.042452830188679236,0.07246376811594205,0.19217491369390105,0.192920353982301,0.008840609985377062,0.08916478555304758
AFG_CMR,0.0610079575596818,0.11162790697674424,0.042452830188679236,0.15217391304347835,0.10241657077100125,0.1026548672566372,0.011372467098391478,0.10835214446952601
AFG_COD,0.07427055702917762,0.05697674418604648,0.033018867924528295,0.15217391304347835,0.07825086306098972,0.07787610619469032,0.007720910800083559,0.15688487584650113
