Country1_Country2,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Gender] Share of seats in parliament (% held by women),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
AFG_AGO,,,0.03773584905660386,,,0.17031070195627168,0.16991150442477876,,
AFG_ALB,,0.4290697674418605,0.2688679245283019,0.4565217391304348,,0.3337169159953969,0.33274336283185846,,
AFG_AND,,,0.2783018867924528,,,0.42347525891829674,0.42300884955752227,,
AFG_ARE,,0.4302325581395349,0.3113207547169812,0.4057971014492754,,0.345224395857307,0.34513274336283195,,
AFG_ARG,,0.5441860465116279,0.41981132075471694,0.4782608695652174,,0.33947065592635195,0.33982300884955763,,
AFG_ARM,,0.5104651162790697,0.25943396226415094,0.6231884057971014,,0.2819332566168008,0.28141592920353997,,
AFG_ATG,,,,,,0.33486766398158796,0.33451327433628353,,
AFG_AUS,,0.8058139534883721,0.7216981132075471,0.7101449275362319,,0.4384349827387799,0.43893805309734524,,
AFG_AUT,,0.5965116279069769,0.4764150943396226,0.5,,0.41426927502876865,0.4141592920353985,,
AFG_AZE,,0.4813953488372093,0.22641509433962256,0.6086956521739131,,0.21058688147295723,0.21061946902654882,,
AFG_BDI,,0.023255813953488372,0.018867924528301938,0.021739130434782622,,0.06789413118527055,0.06725663716814151,,
AFG_BEL,,0.7186046511627906,0.6037735849056604,0.5652173913043479,,0.4119677790563865,0.4123893805309735,,
AFG_BEN,,0.053488372093023234,0.05660377358490559,0.021739130434782608,,0.0207134637514384,0.019469026548672608,,
AFG_BFA,,,0.08018867924528306,,,0.07594936708860767,0.07610619469026542,,
AFG_BGD,,0.12906976744186044,0.09433962264150944,0.1159420289855073,,0.16570771001150741,0.16460176991150444,,
AFG_BGR,,0.5406976744186047,0.3679245283018867,0.5362318840579711,,0.3014959723820483,0.3008849557522124,,
AFG_BHR,,0.4953488372093024,0.4056603773584905,0.4057971014492754,,0.3509781357882622,0.3504424778761063,,
AFG_BHS,,,0.33018867924528306,,,0.31300345224395854,0.31150442477876106,,
AFG_BIH,,,,,,0.33601841196777893,0.33628318584070804,,
AFG_BLR,,0.5186046511627909,0.37735849056603765,0.48550724637681153,,0.24165707710011497,0.2407079646017699,,
AFG_BLZ,,0.5046511627906978,0.3113207547169812,0.5434782608695652,,0.2623705408515533,0.2619469026548673,,
AFG_BOL,,0.4325581395348837,0.33490566037735847,0.37681159420289867,,0.08860759493670878,0.08849557522123896,,
AFG_BRA,,0.4011627906976743,0.4150943396226414,0.2173913043478261,,0.2589182968929803,0.2584070796460177,,
AFG_BRB,,0.5430232558139536,0.4150943396226414,0.4782608695652174,,0.3337169159953969,0.33451327433628353,,
