Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,-1.8772763474389589,-1.804632624024629,-1.7319889006103,-1.65934517719597,-1.6074568033285919,-1.5451907546877377,-1.5036800555938352,-1.451791681726457,-1.3999033078590788,-1.3480149339917005,-1.2961265601243221,-1.2442381862569438,-1.1819721376160899,-1.1093284142017608,-1.0470623655609066,-0.9847963169200525,-0.9225302682791985,-0.8602642196383444,-0.8083758457709662,-0.7461097971301128,-0.7045990980362097,-0.6527107241688314,-0.6112000250749289,-0.5696893259810264,-0.528178626887124,-0.4866679277932215,-0.4451572286993183,-0.41402420437889165
ALB,0.395434427952209,0.395434427952209,0.395434427952209,0.4058121027256855,0.4161897774991606,0.4369451270461122,0.46807815136653885,0.49921117568696555,0.5407218747808687,0.5822325738747705,0.6237432729686737,0.6548762972891004,0.686009321609527,0.7067646711564786,0.7275200207034302,0.7482753702503818,0.7690307197973334,0.80016374411776,0.8209190936647117,0.8624297927586134,0.9039404918525166,0.9350735161729433,0.9765842152668465,1.007717239587273,1.0388502639076997,1.0596056134546514,1.0699832882281264,1.090738637775078
DZA,-0.1338269854950487,-0.10269396117462205,-0.08193861162767045,-0.05080558730724378,-0.01967256298681712,0.011460461333609548,0.05297116042751275,0.09448185952141595,0.1463702333887942,0.18788093248269594,0.2397693063500742,0.2916576802174525,0.34354605408483074,0.395434427952209,0.4473228018195873,0.49921117568696555,0.5407218747808687,0.5822325738747705,0.6237432729686737,0.6652539720625769,0.6963869963830035,0.7171423459299552,0.7482753702503818,0.7690307197973334,0.7897860693442835,0.8209190936647117,0.8416744432116618,0.8624297927586134
AND,0.883185142305565,0.9039404918525166,0.9246958413994683,0.9350735161729433,0.9558288657198949,0.9765842152668465,0.9973395648137966,1.0284725891342248,1.0596056134546514,1.090738637775078,1.1322493368689812,1.1633823611894079,1.1945153855098345,1.2256484098302614,1.2464037593772128,1.2671591089241645,1.2775367836976395,1.2982921332445911,1.308669808018066,1.3190474827915428,1.3294251575650178,1.3398028323384943,1.3605581818854444,1.370935856658921,1.381313531432396,1.3916912062058726,1.4020688809793476,1.4228242305262992
AGO,-2.728245678863962,-2.707490329317011,-2.6867349797700597,-2.6659796302231085,-2.6244689311292055,-2.582958232035303,-2.520692183394449,-2.4480484599801198,-2.365027061792314,-2.2716279888310336,-2.167851241096277,-2.0536968185880444,-1.939542396079813,-1.8150102987981047,-1.6904782015163966,-1.576323779008165,-1.451791681726457,-1.3376372592182246,-1.2234828367099924,-1.1197060889752357,-1.0159293412404793,-0.9329079430526743,-0.8498865448648694,-0.7876204962240153,-0.735732122356637,-0.7045990980362097,-0.6734660737157829,-0.6423330493953563
ATG,0.3539237288583073,0.3746790784052574,0.395434427952209,0.4161897774991606,0.4369451270461122,0.4577004765930638,0.4888335009134905,0.5095888504604421,0.5303442000073922,0.5510995495543438,0.5718548991012954,0.602987923421722,0.6237432729686737,0.6444986225156253,0.6652539720625769,0.6756316468360519,0.6963869963830035,0.7171423459299552,0.7378976954769053,0.7482753702503818,0.7690307197973334,0.7897860693442835,0.80016374411776,0.8209190936647117,0.8312967684381868,0.8520521179851384,0.8728074675320899,0.883185142305565
ARG,0.3746790784052574,0.395434427952209,0.4161897774991606,0.4473228018195873,0.46807815136653885,0.4888335009134905,0.5095888504604421,0.5407218747808687,0.5614772243278203,0.5822325738747705,0.602987923421722,0.6237432729686737,0.6444986225156253,0.6652539720625769,0.686009321609527,0.7067646711564786,0.7171423459299552,0.7378976954769053,0.7586530450238569,0.7690307197973334,0.7897860693442835,0.8105414188912351,0.8209190936647117,0.8416744432116618,0.8624297927586134,0.8728074675320899,0.8935628170790401,0.9039404918525166
ARM,-0.009294888213340579,-0.009294888213340579,0.001082786560134484,0.021838136107086084,0.05297116042751275,0.09448185952141595,0.1463702333887942,0.19825860725617248,0.25014698112355077,0.30203535499092904,0.3539237288583073,0.395434427952209,0.42656745227263565,0.4473228018195873,0.46807815136653885,0.4784558261400139,0.4888335009134905,0.49921117568696555,0.5095888504604421,0.5303442000073922,0.5510995495543438,0.5822325738747705,0.602987923421722,0.6237432729686737,0.6548762972891004,0.6652539720625769,0.686009321609527,0.7067646711564786
AUS,0.9246958413994683,0.9558288657198949,0.9869618900403215,1.0180949143607483,1.0388502639076997,1.0699832882281264,1.090738637775078,1.1218716620955047,1.1426270116424564,1.173760035962883,1.2048930602833097,1.2360260846037379,1.2671591089241645,1.2982921332445911,1.3190474827915428,1.3501805071119695,1.370935856658921,1.3916912062058726,1.4124465557528227,1.4228242305262992,1.443579580073251,1.464334929620201,1.4747126043936776,1.495467953940629,1.5162233034875792,1.526600978261056,1.5473563278080074,1.5681116773549575
AUT,0.7897860693442835,0.8105414188912351,0.8416744432116618,0.8624297927586134,0.8935628170790401,0.9143181666259916,0.9454511909464184,0.9765842152668465,1.007717239587273,1.0388502639076997,1.0596056134546514,1.090738637775078,1.1218716620955047,1.1530046864159313,1.173760035962883,1.2048930602833097,1.2256484098302614,1.2464037593772128,1.2671591089241645,1.287914458471116,1.308669808018066,1.3294251575650178,1.3398028323384943,1.3605581818854444,1.381313531432396,1.3916912062058726,1.4124465557528227,1.4332019052997744
