4,3,7,9
1,3,5,10
5,10,8,11
2,6,12,7
2,6,12,7
5,10,8,11
5,10,8,11
5,10,8,11
2,8,12,7
2,6,12,7
5,10,8,11
4,2,14,13
2,8,12,7
1,3,5,10
4,2,14,9
1,3,5,10
2,6,8,7
5,6,12,7
5,6,12,7
5,10,8,11
5,6,12,7
5,10,8,11
5,10,8,11
5,10,8,11
5,10,8,11
2,6,12,7
1,3,5,10
5,10,8,11
4,2,14,13
2,8,12,7
3,8,10,16
5,10,8,11
5,6,12,11
4,2,14,9
1,3,5,10
4,3,7,10
1,3,5,10
5,10,8,11
1,3,5,10
5,10,8,11
5,10,8,11
5,10,8,11
2,6,12,7
2,6,12,7
2,8,12,7
1,3,7,10
5,10,8,11
2,8,12,7
5,10,8,11
5,10,8,11
5,10,8,11
5,10,8,11
4,3,7,10
2,6,12,7
2,6,12,7
4,2,14,9
2,8,12,7
5,10,8,11
2,6,12,7
1,10,8,10
1,10,5,10
2,8,12,7
5,10,8,11
1,3,5,10
4,2,14,9
1,3,5,10
4,3,7,10
4,3,5,9
2,6,12,7
5,10,8,11
1,10,5,10
5,10,8,11
3,8,10,16
1,10,5,10
2,6,12,7
1,3,5,10
2,6,12,7
5,10,8,11
1,3,5,10
2,6,12,7
5,10,8,11
1,10,5,10
2,8,12,7
2,6,12,7
2,6,12,7
5,10,8,11
5,10,8,11
2,6,12,7
5,10,8,11
1,3,5,10
5,10,8,11
1,3,5,10
1,10,5,10
5,10,8,11
2,6,12,7
3,8,10,16
1,3,5,10
5,10,8,11
4,3,5,10
5,10,8,11
5,10,8,11
3,7,9,16
5,10,8,11
4,3,5,10
2,6,12,7
2,8,12,7
2,6,12,7
1,10,5,10
2,6,12,7
5,10,8,11
1,3,5,10
5,10,8,11
5,10,8,11
5,10,8,11
5,10,8,11
4,2,14,13
2,6,12,7
1,3,5,10
2,6,12,7
5,10,8,11
4,2,14,13
4,3,5,10
5,10,8,11
4,2,7,9
5,10,8,11
1,3,5,10
4,2,14,13
4,3,7,10
5,10,8,11
2,8,12,7
3,8,10,16
1,3,5,10
5,10,8,11
2,6,12,7
5,6,8,7
1,3,5,10
5,10,8,11
5,10,8,11
5,10,8,11
2,6,8,7
1,3,5,10
2,6,12,7
5,10,8,11
2,6,12,7
5,10,8,11
5,10,8,11
3,7,9,16
5,6,8,7
2,6,12,7
1,3,7,10
2,6,12,7
4,3,5,9
1,3,5,10
3,8,10,16
1,3,5,10
4,2,14,13
5,10,8,11
5,6,8,7
4,2,14,13
5,10,8,11
4,2,14,13
1,3,5,10
5,10,8,11
2,6,12,7
2,6,12,7
2,8,12,7
1,3,5,10
5,10,8,11
1,3,5,10
4,2,14,13
1,3,5,10
5,10,8,11
5,10,8,11
5,10,8,11
1,3,5,10
5,10,8,11
5,10,8,11
5,10,8,11
5,10,8,11
5,10,8,11
1,3,5,10
1,3,5,10
5,10,8,11
5,10,8,11
2,8,10,7
5,10,8,11
5,10,8,11
5,10,8,11
5,10,8,11
1,10,5,10
5,10,8,11
4,3,5,9
5,10,8,11
1,3,5,10
1,3,5,10
