1,2,2,12
1,2,2,12
2,6,8,6
2,6,8,6
2,6,8,6
2,6,8,6
2,6,8,6
2,3,3,8
2,6,8,6
2,6,8,6
2,6,3,8
1,2,2,12
2,6,8,6
1,2,2,12
1,2,2,12
1,2,2,12
2,6,8,6
2,6,8,6
2,6,8,6
2,6,8,6
2,6,8,6
2,3,3,8
1,2,3,8
2,3,3,8
2,6,8,6
2,6,11,17
1,2,2,12
1,3,3,8
1,7,7,10
2,6,8,6
2,6,11,17
2,6,8,6
1,4,1,13
1,2,2,12
1,2,2,12
1,2,2,12
1,2,2,12
2,3,3,8
1,2,2,12
1,2,3,8
2,6,3,8
2,6,8,6
2,6,8,6
2,6,8,6
2,6,11,17
1,2,2,12
1,3,3,8
2,6,11,17
2,3,3,8
2,3,3,8
2,3,3,8
1,2,2,12
1,2,2,12
2,6,8,6
2,6,8,6
1,2,2,12
2,6,8,6
1,3,3,8
2,6,8,6
1,2,3,8
1,2,2,12
2,6,8,6
2,6,8,6
1,2,2,12
1,2,2,12
1,2,2,12
1,2,2,12
1,2,2,12
2,6,8,6
2,3,3,8
1,2,2,12
1,2,3,8
2,6,11,17
1,2,2,12
2,6,8,6
1,2,2,12
2,6,8,6
1,3,3,8
1,2,2,12
2,6,8,6
2,6,8,6
1,2,2,12
2,6,8,6
2,6,8,6
2,6,8,6
2,3,3,8
2,6,3,8
2,6,8,6
2,6,8,6
1,2,2,12
1,3,3,8
1,2,2,12
1,2,3,8
2,6,8,6
2,6,8,6
2,6,11,17
1,2,2,12
2,6,3,8
1,2,2,12
2,6,8,6
2,3,3,8
2,5,11,9
2,6,3,8
1,2,2,12
2,6,8,6
2,6,11,17
2,6,8,6
1,2,2,12
2,4,8,13
1,1,3,8
1,2,2,12
1,3,3,8
2,3,3,8
1,2,3,8
2,6,8,6
1,2,7,10
2,6,8,6
1,2,2,12
2,6,8,6
1,3,3,8
1,2,7,10
1,2,2,12
2,6,8,6
1,2,2,12
2,6,3,8
1,2,2,12
1,7,4,10
1,2,2,12
1,2,2,12
2,6,8,6
2,5,11,9
1,2,2,12
1,2,3,8
2,6,8,6
2,6,8,6
1,2,2,12
2,6,3,8
2,3,3,8
1,3,3,8
2,6,8,6
1,2,2,12
2,6,8,6
2,3,3,8
2,6,8,6
1,3,3,8
1,2,3,8
2,1,11,9
2,6,8,6
2,6,8,6
1,2,2,12
2,6,8,6
1,2,2,12
1,2,2,12
2,6,11,17
1,2,2,12
1,2,7,10
1,2,3,8
2,6,8,6
1,7,4,10
2,6,8,6
1,2,2,12
1,2,2,12
2,3,3,8
2,6,8,6
2,6,8,6
2,6,8,6
1,2,2,12
2,6,8,6
1,2,2,12
1,7,7,10
1,2,2,12
2,3,3,8
1,2,3,8
1,3,3,8
1,2,2,12
2,3,3,8
2,6,8,6
2,3,3,8
2,6,3,8
1,2,3,8
1,2,2,12
1,2,2,12
2,6,8,6
2,6,8,6
2,6,11,17
1,3,3,8
2,3,3,8
2,6,3,8
2,3,3,8
1,2,3,8
1,2,3,8
1,2,2,12
1,2,3,8
1,2,2,12
1,2,2,12
