Country,2000,2005,2010,2015
AFG,27.1,37.3,50.0,63.0
ALB,87.6,87.9,88.1,91.4
DZA,89.8,91.2,92.4,93.5
AND,100.0,100.0,100.0,100.0
AGO,37.8,39.0,40.1,41.0
ATG,98.3,97.7,97.1,96.7
ARG,99.0,99.2,99.4,99.6
ARM,95.9,96.7,97.6,98.9
AUS,99.7,99.8,99.9,100.0
AUT,100.0,100.0,100.0,100.0
AZE,76.4,79.1,81.8,84.4
BHS,98.4,98.1,97.9,97.8
BHR,99.9,99.9,100.0,100.0
BGD,94.6,95.6,96.5,97.3
BRB,98.5,98.4,98.2,98.1
BLR,97.9,97.9,98.0,98.0
BEL,100.0,100.0,100.0,100.0
BLZ,87.6,90.7,93.9,97.1
BEN,60.1,62.4,64.8,67.0
BTN,81.0,87.8,93.6,97.6
BOL,78.8,83.9,88.6,92.9
BIH,96.4,96.7,97.3,97.7
BWA,76.9,77.8,78.6,79.2
BRA,93.7,95.1,96.3,97.5
BRN,,,99.5,99.5
BGR,99.7,99.7,99.4,99.3
BFA,46.7,48.8,51.3,53.9
BDI,52.4,53.6,54.8,55.9
CPV,77.9,79.9,83.5,86.5
KHM,52.4,59.9,67.4,75.0
CMR,55.3,58.7,62.1,65.3
CAN,99.9,99.9,99.4,98.9
CAF,52.1,52.8,53.5,54.1
TCD,39.0,40.1,41.3,42.5
CHL,95.3,97.3,99.0,100.0
CHN,77.5,84.3,90.8,95.8
COL,90.0,92.4,94.6,96.5
COM,86.4,85.4,84.4,83.7
COG,56.8,59.7,64.2,68.3
COD,34.4,36.9,39.3,41.8
CRI,93.9,96.4,98.4,99.7
HRV,98.5,98.9,99.3,99.6
CUB,93.0,93.8,94.5,95.2
CYP,100.0,100.0,100.0,100.0
CZE,99.8,99.8,99.9,99.9
CIV,71.9,72.1,72.6,73.1
DNK,100.0,100.0,100.0,100.0
DJI,74.8,75.6,76.3,76.9
DMA,93.5,94.8,96.2,96.5
DOM,91.1,92.3,93.5,94.5
ECU,83.1,86.3,89.5,92.6
EGY,98.2,98.3,98.3,98.4
SLV,80.2,84.5,89.1,93.0
GNQ,48.9,49.0,49.2,49.6
ERI,16.8,17.4,18.1,19.3
EST,99.1,99.3,99.5,99.6
SWZ,52.2,57.2,62.3,67.6
ETH,16.7,24.0,31.5,39.1
FJI,94.6,94.4,94.1,93.7
FIN,100.0,100.0,100.0,100.0
FRA,99.9,99.9,100.0,100.0
GAB,78.7,82.5,85.3,87.5
GMB,73.8,76.0,78.1,80.1
GEO,88.6,90.1,91.7,93.3
DEU,100.0,100.0,100.0,100.0
GHA,64.4,69.0,73.5,77.8
GRC,99.4,99.7,99.9,100.0
GRD,93.3,94.5,95.6,95.6
GTM,85.5,88.3,91.0,93.6
GIN,54.5,58.7,63.0,67.4
GNB,52.8,58.3,63.8,69.2
GUY,88.3,90.4,92.6,95.1
HTI,56.4,59.5,62.1,64.2
HND,82.2,85.7,89.1,92.2
HKG,98.7,99.2,99.7,100.0
HUN,100.0,100.0,100.0,100.0
ISL,100.0,100.0,100.0,100.0
IND,80.4,82.9,85.3,87.6
IDN,74.6,79.8,84.8,89.5
IRN,95.0,95.2,95.1,94.9
IRQ,81.4,78.9,82.5,86.1
IRL,96.1,97.1,98.1,98.9
ISR,100.0,100.0,100.0,100.0
ITA,100.0,100.0,100.0,100.0
JAM,90.8,91.6,92.3,92.9
JPN,98.5,98.5,98.7,98.9
JOR,99.6,99.2,98.9,98.6
KAZ,86.2,87.9,89.6,91.1
KEN,46.4,50.6,54.6,58.5
KIR,60.8,62.2,63.6,64.4
PRK,100.0,99.8,99.7,99.6
KOR,,98.5,99.0,99.6
KWT,100.0,100.0,100.0,100.0
KGZ,80.3,82.3,84.8,87.3
LAO,45.8,58.1,69.6,80.4
LVA,97.7,97.9,98.3,98.6
LBN,85.4,87.7,90.0,92.3
LSO,66.4,68.1,69.9,71.6
LBR,61.7,64.5,67.2,69.9
LBY,,,96.8,96.8
LIE,100.0,100.0,100.0,100.0
LTU,90.0,92.6,95.3,97.4
LUX,99.9,99.9,99.9,100.0
MDG,36.7,40.8,45.7,50.6
MWI,51.6,56.8,62.0,67.2
MYS,98.2,97.5,96.9,96.4
MDV,88.6,94.3,98.2,97.9
MLI,49.2,57.7,66.1,74.3
MLT,100.0,100.0,100.0,100.0
MHL,,79.0,78.5,78.2
MRT,53.6,59.4,64.8,69.6
MUS,99.3,99.5,99.7,99.9
MEX,89.3,92.5,95.5,98.3
FSM,92.6,90.8,89.1,88.4
MDA,84.1,85.0,85.9,86.7
MCO,100.0,100.0,100.0,100.0
MNG,65.0,71.9,78.0,83.2
MNE,,,96.0,97.6
MAR,64.1,70.6,77.0,83.0
MOZ,22.2,30.2,38.7,47.3
MMR,54.8,59.0,63.3,67.5
NAM,77.4,77.6,78.1,78.8
NRU,95.1,97.1,99.0,100.0
NPL,79.5,82.4,85.2,87.7
NLD,100.0,100.0,100.0,100.0
NZL,100.0,100.0,100.0,100.0
NIC,80.6,81.1,81.6,82.3
NER,38.0,40.5,43.1,45.8
NGA,46.1,53.6,60.7,67.3
NOR,100.0,100.0,100.0,100.0
OMN,,76.6,84.2,90.9
PAK,88.9,88.9,88.8,88.5
PLW,91.7,95.1,97.7,99.6
PSE,88.2,88.1,87.9,87.6
PAN,88.2,90.5,92.8,95.0
PNG,36.7,36.7,36.6,36.6
PRY,75.0,83.5,91.4,98.9
PER,80.5,83.9,87.0,89.9
PHL,86.1,87.5,89.0,90.5
POL,,97.9,97.9,97.9
PRT,98.5,99.1,99.6,99.9
QAT,100.0,100.0,100.0,100.0
ROU,100.0,100.0,100.0,100.0
RUS,95.3,95.6,96.0,96.4
RWA,47.0,50.2,53.5,56.7
KNA,98.2,98.6,99.0,
LCA,88.5,90.8,95.0,98.2
VCT,93.2,93.9,94.6,95.1
WSM,93.0,93.3,94.7,95.5
SMR,100.0,100.0,100.0,100.0
STP,66.9,71.3,75.6,79.7
SAU,96.8,97.8,99.4,100.0
SEN,61.6,66.2,70.7,75.2
SRB,91.8,91.3,90.1,91.2
SYC,93.3,94.5,95.7,96.3
SLE,38.7,44.5,51.3,58.1
SGP,100.0,100.0,100.0,100.0
SVK,98.0,98.0,97.9,97.9
SVN,99.6,99.6,99.5,99.5
SLB,80.2,78.8,71.2,64.0
SOM,20.7,26.9,33.4,40.0
ZAF,77.0,79.7,82.3,84.7
SSD,,,,50.4
ESP,100.0,100.0,100.0,99.9
LKA,77.5,82.4,87.4,92.3
SDN,43.4,44.9,51.9,58.9
SUR,88.8,91.3,93.7,94.7
SWE,100.0,100.0,100.0,100.0
CHE,100.0,100.0,100.0,100.0
SYR,94.9,95.7,96.4,96.7
TJK,57.2,63.2,69.3,74.1
TZA,31.6,37.6,43.9,50.1
THA,94.3,95.8,97.1,98.2
MKD,97.9,97.4,96.7,96.8
TLS,,56.1,63.1,70.2
TGO,45.4,51.2,57.0,62.8
TON,98.5,98.6,99.3,99.9
TTO,91.9,94.2,96.5,96.9
TUN,87.7,90.1,92.3,94.2
TUR,95.5,96.7,97.9,98.9
TKM,84.0,87.6,91.2,94.5
TUV,,97.9,98.7,99.3
UGA,30.0,32.9,35.9,38.9
UKR,95.7,96.3,96.9,97.7
ARE,99.7,99.6,99.6,99.6
GBR,100.0,100.0,100.0,100.0
USA,,99.1,99.2,99.2
URY,96.8,97.3,98.4,99.2
UZB,85.4,89.4,91.5,
VUT,81.6,82.6,86.6,90.5
VEN,96.1,96.6,97.1,97.4
VNM,77.9,82.2,86.6,91.2
YEM,42.7,49.8,60.4,70.4
ZMB,48.6,52.9,57.1,61.2
ZWE,70.4,69.6,68.1,66.6
