Country,2010,2011,2012,2013,2014,2015,2016
AFG,0.299,0.26,0.279,0.26,0.293,0.35600000000000004,0.319
ALB,0.197,0.217,0.263,0.289,0.304,0.22,0.232
DZA,0.523,0.5379999999999999,0.54,0.541,0.485,0.485,0.489
AND,0.166,0.156,0.17,0.195,0.192,0.182,0.199
AGO,0.945,0.942,0.953,0.944,0.939,0.924,0.935
ATG,0.139,0.7120000000000001,0.399,0.5660000000000001,0.556,0.56,0.5579999999999999
ARG,0.151,0.15,0.151,0.172,0.18600000000000005,0.196,0.195
ARM,0.226,0.203,0.187,0.22,0.227,0.256,0.269
AUS,0.261,0.279,0.256,0.282,0.266,0.228,0.244
AUT,0.059,0.061,0.06,0.061,0.061,0.062,0.062
AZE,0.872,0.893,0.865,0.8640000000000001,0.863,0.82,0.677
BHS,0.481,0.522,0.46,0.574,0.501,0.529,0.51
BHR,0.34,0.338,0.37,0.32299999999999995,0.39,0.31,0.32
BGD,0.405,0.409,0.401,0.404,0.403,0.409,0.406
BRB,0.13,0.272,0.14400000000000002,0.16899999999999998,0.19,0.153,0.171
BLR,0.247,0.29,0.293,0.248,0.25,0.245,0.168
BEL,0.097,0.095,0.098,0.107,0.104,0.096,0.095
BLZ,0.35,0.241,0.265,0.248,0.219,0.282,0.35600000000000004
BEN,0.334,0.285,0.361,0.287,0.368,0.317,0.312
BTN,0.344,0.341,0.358,0.382,0.366,0.359,0.3720000000000001
BOL,0.412,0.4320000000000001,0.448,0.493,0.467,0.439,0.324
BIH,0.109,0.107,0.106,0.105,0.107,0.102,0.104
BWA,0.607,0.765,0.773,0.812,0.828,0.807,0.8759999999999999
BRA,0.153,0.17,0.146,0.151,0.147,0.128,0.126
BRN,0.6809999999999999,0.6809999999999999,0.6559999999999999,0.665,0.6409999999999999,0.649,0.629
BGR,0.116,0.125,0.14,0.134,0.105,0.093,0.085
BFA,0.57,0.544,0.6940000000000001,0.606,0.55,0.642,0.75
BDI,0.5760000000000001,0.511,0.469,0.62,0.517,0.456,0.445
CPV,0.322,0.349,0.292,0.332,0.35100000000000003,0.306,0.325
KHM,0.334,0.332,0.299,0.32299999999999995,0.327,0.31,0.28600000000000003
CMR,0.361,0.33,0.39,0.404,0.436,0.373,0.407
CAN,0.138,0.151,0.165,0.17,0.17800000000000002,0.14,0.138
CAF,0.359,0.381,0.386,0.4,0.494,0.4270000000000001,0.46
TCD,0.852,0.8909999999999999,0.8,0.902,0.858,0.856,0.738
CHL,0.397,0.379,0.364,0.345,0.334,0.324,0.306
CHN,0.107,0.099,0.102,0.103,0.101,0.104,0.105
COL,0.341,0.405,0.435,0.458,0.459,0.354,0.281
COM,0.525,0.638,0.628,0.609,0.7020000000000001,0.6579999999999999,0.6829999999999999
COG,0.74,0.7659999999999999,0.795,0.705,0.662,0.6829999999999999,0.669
COD,0.381,0.389,0.483,0.4370000000000001,0.462,0.487,0.509
CRI,0.354,0.421,0.455,0.467,0.436,0.228,0.258
HRV,0.126,0.12,0.104,0.085,0.078,0.069,0.066
CUB,0.232,0.222,0.219,0.209,0.215,0.232,0.249
CYP,0.183,0.202,0.179,0.184,0.18600000000000005,0.214,0.234
CZE,0.105,0.106,0.107,0.106,0.113,0.118,0.124
CIV,0.369,0.34700000000000003,0.338,0.309,0.35700000000000004,0.418,0.376
DNK,0.083,0.084,0.092,0.094,0.091,0.095,0.097
DJI,0.307,0.262,0.21600000000000005,0.217,0.227,0.221,0.224
DMA,0.407,0.38,0.435,0.41,0.404,0.407,0.412
DOM,0.145,0.132,0.136,0.17,0.191,0.189,0.217
ECU,0.501,0.515,0.518,0.525,0.5,0.3720000000000001,0.348
EGY,0.153,0.17,0.175,0.16,0.16399999999999998,0.14400000000000002,0.154
SLV,0.21600000000000005,0.196,0.194,0.203,0.21,0.212,0.221
GNQ,0.738,0.715,0.735,0.6709999999999999,0.695,0.677,0.6809999999999999
ERI,0.13699999999999998,0.583,0.685,0.416,0.447,0.359,0.402
EST,0.12,0.145,0.13699999999999998,0.107,0.118,0.116,0.11
SWZ,0.258,0.231,0.228,0.249,0.223,0.235,0.229
ETH,0.365,0.374,0.354,0.314,0.307,0.3,0.302
FJI,0.211,0.28300000000000003,0.272,0.185,0.26,0.214,0.205
FIN,0.134,0.134,0.139,0.145,0.142,0.141,0.14300000000000002
FRA,0.08800000000000001,0.083,0.091,0.091,0.092,0.098,0.098
GAB,0.816,0.8059999999999999,0.8109999999999999,0.8140000000000001,0.807,0.777,0.7609999999999999
GMB,0.215,0.239,0.343,0.359,0.35700000000000004,0.35200000000000004,0.353
GEO,0.209,0.231,0.251,0.245,0.222,0.183,0.198
DEU,0.097,0.092,0.093,0.093,0.097,0.105,0.106
GHA,0.484,0.34700000000000003,0.445,0.417,0.431,0.424,0.428
GRC,0.214,0.26,0.338,0.345,0.339,0.253,0.234
GRD,0.179,0.187,0.18600000000000005,0.18600000000000005,0.19,0.191,0.18600000000000005
GTM,0.142,0.145,0.145,0.139,0.135,0.139,0.133
GIN,0.423,0.462,0.46,0.448,0.449,0.446,0.448
GNB,0.872,0.873,0.873,0.873,0.873,0.875,0.8759999999999999
GUY,0.465,0.483,0.499,0.506,0.454,0.365,0.491
HTI,0.525,0.508,0.509,0.499,0.496,0.517,0.509
HND,0.221,0.251,0.234,0.224,0.204,0.213,0.212
HKG,0.196,0.193,0.206,0.229,0.233,0.25,0.268
HUN,0.141,0.127,0.107,0.105,0.113,0.125,0.123
ISL,0.455,0.452,0.434,0.448,0.445,0.45,0.441
IND,0.16399999999999998,0.183,0.173,0.184,0.175,0.12,0.12
IDN,0.155,0.172,0.17,0.157,0.152,0.138,0.128
IRN,0.599,0.62,0.615,0.5760000000000001,0.5920000000000001,0.515,0.56
IRQ,0.947,0.977,0.955,0.974,0.974,0.969,0.937
IRL,0.259,0.262,0.253,0.24,0.241,0.243,0.242
ISR,0.273,0.292,0.266,0.276,0.287,0.273,0.255
ITA,0.052000000000000005,0.053,0.056,0.055,0.053,0.052000000000000005,0.052000000000000005
JAM,0.425,0.466,0.412,0.441,0.47,0.526,0.441
JPN,0.125,0.115,0.123,0.127,0.127,0.135,0.141
JOR,0.175,0.181,0.163,0.155,0.163,0.161,0.16399999999999998
KAZ,0.628,0.607,0.5920000000000001,0.6579999999999999,0.657,0.563,0.506
KEN,0.217,0.202,0.204,0.217,0.183,0.197,0.196
KIR,0.629,0.754,0.799,0.878,0.816,0.905,0.892
PRK,0.18600000000000005,0.328,0.359,0.373,0.334,0.334,0.399
KOR,0.154,0.152,0.147,0.14800000000000002,0.14800000000000002,0.14800000000000002,0.14400000000000002
KWT,0.662,0.6609999999999999,0.6970000000000001,0.6859999999999999,0.672,0.629,0.627
KGZ,0.28600000000000003,0.276,0.268,0.403,0.436,0.439,0.316
LAO,0.31,0.307,0.29600000000000004,0.28300000000000003,0.26,0.191,0.204
LVA,0.081,0.08199999999999999,0.08800000000000001,0.091,0.096,0.08800000000000001,0.093
LBN,0.125,0.161,0.22,0.125,0.101,0.119,0.113
LSO,0.281,0.282,0.264,0.276,0.279,0.278,0.278
LBR,0.411,0.391,0.344,0.42,0.446,0.446,0.331
LBY,0.79,0.804,0.823,0.7759999999999999,0.733,0.616,0.542
LTU,0.188,0.207,0.2,0.187,0.142,0.133,0.112
LUX,0.134,0.133,0.125,0.116,0.109,0.102,0.102
MDG,0.17800000000000002,0.242,0.226,0.223,0.267,0.295,0.3
MWI,0.5329999999999999,0.423,0.499,0.468,0.481,0.488,0.415
MYS,0.165,0.168,0.16399999999999998,0.172,0.17800000000000002,0.17,0.174
MDV,0.518,0.705,0.763,0.8,0.758,0.7809999999999999,0.769
MLI,0.647,0.59,0.682,0.738,0.7390000000000001,0.774,0.737
MLT,0.4370000000000001,0.4320000000000001,0.4370000000000001,0.415,0.379,0.362,0.336
MHL,0.718,0.7070000000000001,0.7929999999999999,0.725,0.7959999999999999,0.726,0.63
MRT,0.463,0.419,0.439,0.47,0.435,0.371,0.36
MUS,0.249,0.241,0.238,0.248,0.218,0.211,0.203
MEX,0.14800000000000002,0.154,0.146,0.141,0.13,0.122,0.124
FSM,0.555,0.614,0.866,0.7170000000000001,0.753,0.7040000000000001,0.835
MDA,0.145,0.135,0.142,0.151,0.146,0.168,0.165
MNG,0.499,0.504,0.507,0.373,0.468,0.4970000000000001,0.401
MNE,0.371,0.389,0.339,0.302,0.234,0.223,0.212
MAR,0.156,0.16699999999999998,0.162,0.155,0.16,0.166,0.175
MOZ,0.506,0.418,0.318,0.287,0.275,0.311,0.27
MMR,0.375,0.337,0.328,0.424,0.38,0.39,0.289
NAM,0.222,0.234,0.254,0.229,0.254,0.294,0.275
NRU,0.615,0.904,0.931,0.71,0.552,0.638,0.693
NPL,0.14400000000000002,0.14300000000000002,0.142,0.136,0.133,0.138,0.147
NLD,0.12,0.104,0.118,0.112,0.098,0.081,0.07200000000000001
NZL,0.161,0.172,0.172,0.198,0.203,0.16699999999999998,0.162
NIC,0.214,0.218,0.199,0.206,0.219,0.227,0.219
NER,0.377,0.414,0.4,0.348,0.407,0.392,0.297
NGA,0.8009999999999999,0.789,0.7709999999999999,0.805,0.78,0.731,0.7340000000000001
NOR,0.391,0.405,0.406,0.393,0.377,0.334,0.315
OMN,0.583,0.602,0.51,0.496,0.619,0.53,0.506
PAK,0.199,0.184,0.183,0.189,0.193,0.202,0.214
PLW,0.866,0.912,0.89,0.8190000000000001,0.6990000000000001,0.746,0.7170000000000001
PSE,0.171,0.179,0.166,0.162,0.189,0.18600000000000005,0.185
PAN,0.14400000000000002,0.149,0.131,0.126,0.129,0.149,0.151
PNG,0.369,0.301,0.292,0.306,0.28,0.302,0.28600000000000003
PRY,0.361,0.379,0.32,0.342,0.342,0.317,0.336
PER,0.272,0.266,0.266,0.25,0.227,0.247,0.281
PHL,0.313,0.245,0.223,0.225,0.231,0.279,0.287
POL,0.077,0.07200000000000001,0.065,0.064,0.065,0.065,0.067
PRT,0.075,0.079,0.08,0.08800000000000001,0.079,0.078,0.071
QAT,0.516,0.527,0.531,0.526,0.527,0.519,0.4
ROU,0.094,0.091,0.091,0.098,0.099,0.103,0.112
RUS,0.366,0.377,0.382,0.377,0.37,0.316,0.305
RWA,0.43,0.49,0.3670000000000001,0.425,0.359,0.303,0.327
KNA,0.345,0.3,0.327,0.311,0.309,0.336,0.289
LCA,0.256,0.341,0.385,0.409,0.54,0.468,0.501
VCT,0.607,0.458,0.366,0.38,0.371,0.376,0.373
WSM,0.45,0.438,0.34,0.302,0.334,0.335,0.32299999999999995
STP,0.379,0.44,0.456,0.615,0.589,0.597,0.593
SAU,0.695,0.726,0.722,0.746,0.706,0.5539999999999999,0.593
SEN,0.264,0.24,0.249,0.241,0.237,0.232,0.215
SRB,0.077,0.07400000000000001,0.068,0.114,0.106,0.091,0.087
SYC,0.491,0.421,0.574,0.63,0.578,0.502,0.512
SLE,0.243,0.244,0.28,0.419,0.6970000000000001,0.54,0.6579999999999999
SGP,0.266,0.256,0.246,0.253,0.25,0.244,0.24
SVK,0.159,0.156,0.166,0.172,0.174,0.183,0.195
SVN,0.166,0.162,0.156,0.158,0.156,0.166,0.106
SLB,0.6829999999999999,0.578,0.5589999999999999,0.58,0.512,0.607,0.713
SOM,0.619,0.619,0.762,0.73,0.757,0.752,0.448
ZAF,0.136,0.153,0.136,0.136,0.119,0.121,0.121
ESP,0.096,0.095,0.091,0.092,0.092,0.102,0.107
LKA,0.212,0.202,0.203,0.214,0.204,0.204,0.201
SDN,0.8109999999999999,0.8029999999999999,0.557,0.67,0.643,0.6579999999999999,0.648
SUR,0.491,0.493,0.517,0.502,0.459,0.579,0.489
SWE,0.096,0.096,0.095,0.091,0.091,0.08900000000000001,0.091
CHE,0.166,0.168,0.282,0.354,0.256,0.267,0.28800000000000003
SYR,0.337,0.32299999999999995,0.174,0.199,0.175,0.16699999999999998,0.165
TJK,0.502,0.467,0.501,0.487,0.35,0.361,0.349
TZA,0.232,0.303,0.353,0.332,0.257,0.263,0.322
THA,0.086,0.08,0.08199999999999999,0.079,0.076,0.077,0.073
MKD,0.14300000000000002,0.168,0.16399999999999998,0.172,0.189,0.205,0.218
TLS,0.418,0.422,0.89,0.9,0.509,0.6729999999999999,0.579
TGO,0.222,0.207,0.251,0.253,0.247,0.207,0.204
TON,0.301,0.282,0.321,0.336,0.315,0.32299999999999995,0.32
TTO,0.333,0.348,0.331,0.378,0.362,0.34600000000000003,0.317
TUN,0.162,0.165,0.152,0.149,0.146,0.141,0.134
TUR,0.07400000000000001,0.07400000000000001,0.092,0.069,0.069,0.073,0.078
TKM,0.527,0.728,0.772,0.7559999999999999,0.762,0.772,0.722
TUV,0.456,0.7440000000000001,0.615,0.7390000000000001,0.521,0.5479999999999999,0.536
UGA,0.191,0.21600000000000005,0.165,0.184,0.18600000000000005,0.177,0.17
UKR,0.13,0.132,0.121,0.12,0.127,0.135,0.14400000000000002
ARE,0.348,0.387,0.35,0.342,0.32299999999999995,0.256,0.227
GBR,0.111,0.133,0.118,0.152,0.111,0.112,0.108
USA,0.08199999999999999,0.083,0.09,0.095,0.095,0.097,0.1
URY,0.179,0.17800000000000002,0.206,0.228,0.215,0.218,0.228
UZB,0.247,0.238,0.255,0.281,0.275,0.31,0.386
VUT,0.531,0.738,0.603,0.436,0.574,0.477,0.532
VEN,0.679,0.7040000000000001,0.754,0.769,0.645,0.627,0.612
VNM,0.112,0.118,0.13699999999999998,0.168,0.165,0.191,0.173
YEM,0.691,0.626,0.648,0.541,0.5589999999999999,0.451,0.349
ZMB,0.67,0.7,0.654,0.617,0.6659999999999999,0.655,0.664
ZWE,0.221,0.251,0.25,0.28800000000000003,0.316,0.341,0.366
