Country,2010/2017
ALB,-3.0
AGO,-2.7
ARG,-3.9
ARM,-1.2
AUS,0.6
AUT,1.0
AZE,-3.9
BGD,-2.6
BLR,-4.3
BEL,0.5
BLZ,-3.2
BEN,0.6
BOL,-4.6
BIH,-3.4
BRA,-1.7
BGR,1.8
BFA,-1.6
BDI,-1.4
KHM,-4.7
CMR,0.1
CAN,-1.1
CAF,0.0
TCD,-0.4
CHL,-2.5
CHN,-5.3
COL,-2.5
COM,0.5
COG,-4.1
COD,-2.3
CRI,-1.8
HRV,-5.9
CYP,-0.1
CZE,-1.7
CIV,0.3
DNK,2.4
DJI,-0.6
DOM,-2.2
ECU,-0.3
EGY,0.9
SLV,-2.8
EST,-1.4
SWZ,-2.4
ETH,-2.5
FIN,-3.6
FRA,1.6
GAB,0.9
GMB,-0.7
GEO,-3.7
DEU,0.1
GHA,2.0
GRC,4.6
GTM,-2.3
GIN,-1.9
GNB,-1.0
GUY,0.0
HTI,-0.6
HND,-2.3
HUN,-1.2
ISL,-1.3
IND,-1.4
IDN,0.9
IRL,-0.3
ISR,0.3
ITA,0.3
JAM,0.3
JOR,-2.3
KAZ,-5.9
KEN,-2.4
KOR,-2.0
KGZ,-5.0
LAO,0.7
LVA,-0.8
LSO,-1.3
LBR,-2.2
LTU,0.3
LUX,2.1
MDG,-1.6
MWI,-0.8
MDV,7.1
MLI,-1.6
MRT,-0.9
MEX,0.2
MDA,-3.3
MNG,-1.4
MNE,-1.4
MOZ,-4.0
NAM,-3.1
NPL,-2.8
NLD,-0.3
NIC,-1.0
NER,-2.0
NGA,-2.4
NOR,3.0
PAK,-0.2
PAN,-3.6
PRY,0.5
PER,-5.3
PHL,-0.8
POL,-2.3
PRT,2.0
ROU,-0.5
RUS,-2.5
RWA,-2.7
SEN,-1.4
SRB,5.9
SLE,-1.0
SVK,0.2
SVN,-2.6
ZAF,1.0
ESP,8.2
LKA,-2.7
SUR,-1.0
SWE,1.2
CHE,1.5
TJK,-4.1
TZA,-1.8
THA,-3.7
MKD,-3.5
TLS,-2.4
TGO,-0.5
TUN,-1.8
TUR,-4.9
TKM,-4.3
UGA,-1.7
UKR,-2.8
GBR,-0.5
USA,3.0
URY,-1.6
VEN,-3.2
VNM,0.8
YEM,-1.0
ZMB,1.2
